content,username,device,date,title
I have tried other carriers I have tried other phones I've been with Verizon 12 years they have always been there and I will continue with Verizon and Samsung phones,RHickey,Samsung Galaxy S7,2017-03-17,I finally found a phone that my wife likes and can operate
Everything so far I love about this phone. I love that Samsung keeps a charger that is universal to Android (unlike Apple) The 32 gb is great. It is a sturdy and water resistant phone.,Bobonlyknows,Samsung Galaxy S7,2017-04-24,I love this S7!
Much brighter and clearer screen. Camera is a big step up to my old S5 phone news. Well worth price of the upgrade.,R937,Samsung Galaxy S7,2017-03-17,Best phone I have ever owned
"It has a bigger screen than the s6 edge. The screen quality is much better, more crisp. Pictures are wonderful! And I don't have to worry about accidentally spilling anything on it where it's waterproof! So far so good!!",Guessn girl,Samsung Galaxy S7,2017-03-17,Love this phone!
"Still learning how to use it, not sure I'll ever use it to it's full capacity. It seems intuitive, fairly easy to work through the process when using a new feature. As time goes it should become a more comfortable tool.",701Rick,Samsung Galaxy S7,2017-03-17,My first smartphone.
Galaxy s7 has many good features. Ease of use is good. Photos are great. Takes time to learn all the things it can do and to set every up the way you want it. Worth the time.,MooseheadMacMick,Samsung Galaxy S7,2017-03-17,New s7
Easy to use and set up. Beautiful graphics. I'd have preferred a smaller size but this one fits in my pocket without much trouble.,Jaybobma,Samsung Galaxy S7,2017-03-17,Great phone
"great phone, no problems yet good features no compaints..................................................................................................",Val D,Samsung Galaxy S7,2017-04-24,my s7
"Had an S3 then S5, now S7. Transitions have been super easy. Am definitely Samsung user for life. I cannot do apple.",Chopper1972,Samsung Galaxy S7,2017-04-24,Awesome phone!
"I like that I no longer have to bring along my tablet. My new phone phone has all the features I need, and then some. I'm sure I will be learning about all it's features for quite some time.",lindazerbian,Samsung Galaxy S7,2017-03-17,Easy to transition from old phone to Galaxy S7
"Best choice for a phone for the money . Good screen,great sound the best phone I have ever had service is great",Mfondren67,Samsung Galaxy S7,2017-03-17,Love it
I love the galaxy s-7 It's really easy to use products line for it is good and there is alot of different things available to use,Dlbuu,Samsung Galaxy S7,2017-03-17,Easy to use
I took these three deer in Florida over the past few years and have the one I took this year being mounted.,Deer slayer,Samsung Galaxy S7,2017-04-24,I love the s7
No problems. Works as expected. Easy to use if you're used to the Samsung devices. Comes in gold and white options. Good memory space.,Adshep829,Samsung Galaxy S7,2017-03-17,Great phone!
The phone is a improvement from 6-'s Sam Sung. Battery life good. Fun phone. I like using camera for dj events.,Karaoke DJ,Samsung Galaxy S7,2017-03-17,Great phone
I upgraded from a really old galaxy s2 and I knew anything I got would be better. I'm glad Verizon has a new plan so my bill ended up the same with the new phone payments and insurance. Only thing I don't like is the sim and SD card loading tray.,Tmarie17,Samsung Galaxy S7,2017-03-17,Fast easy and practical phone!
I haven't had enough time yet to learn all the features. The features I have used were easy to transition from my old galazy 4,steffyz,Samsung Galaxy S7,2017-03-17,Was an easy transition from my old phone
I am impressed with the various facilities afforded by this phone. That includes the battery life and camera.,Galaxyuser02,Samsung Galaxy S7,2017-03-17,Samsung Galaxy S 7
"So far, I love this phone. The battery life is so much better than the s5, which is what I had before.",Spry1234,Samsung Galaxy S7,2017-03-17,Galaxy s7
"Easy to use, ease of transition from old phone since we were using a Samsung S4 and ungraded to a S7. The new software is extremely fast.",Armstrongman,Samsung Galaxy S7,2017-03-17,Easy to use
"Slightly smaller, which is actually a good thing, than the GS5 I had before. Fits in the pocket more smoothly. Operation-wise, it's fast to boot up, battery lasts a good long while, and it's generally an improvement on the older Galaxy models. Very pleased.",CochiseSteve,Samsung Galaxy S7,2017-04-24,Very pleased with function and form of GS7
"This phone does a lot of things, a bunch of things I probably don't even know about yet. Go s7!!!!!!",Nette621,Samsung Galaxy S7,2017-03-17,Awesome phone
It's got alot of fantastic features. Love the quality. Would love to learn more about what other features it offers..,LorasLee443,Samsung Galaxy S7,2017-03-17,Love how easy it is to use.
"This phone is a little smaller than the S5 & I am not a fan of the slight curve to the phone's edge, but every other feature is excellent. I thought my old phone took good pictures but this one is outstanding! The battery life is much better!",Gallivant4,Samsung Galaxy S7,2017-03-17,Love Galaxy S7
"This phone is easy to use and has some upgrades from my s6 like email functions, which are important since I am a manager and use my phone a lot for my job. I love it",BiggDDenny,Samsung Galaxy S7,2017-03-17,Great phone & easy to use !
"I needed to replace my Galaxy S4, due to lots of redundant issues. I narrowed my choices to The S7, Google's Pixel and an I phone 7. I am so glad i made the choice i did. Everything is really good on the S7, especially the camera. I have problems holding my phone still due to shakiness. Even when I zoom in to 8x the picture is very steady.",jethro 1,Samsung Galaxy S7,2017-03-17,Great additional internal storeage
"I cannot put enough words to describe my love for the phone. To make it easier I'll list my only one complaint. Battery life...but beyond that, the phone is amazing!",Michaelspackman,Samsung Galaxy S7,2017-03-17,What's there not to like?!
Good live my new phone price was good fast on line pictures show well need to receive something free,Leon 2834,Samsung Galaxy S7,2017-03-17,Phone
"I would recommend Verizon. Great customer care, fair prices. Easy to work with. The two main things I look for as a customer are excellent customer care and affordable prices. Those are the two main qualities I look for when choosing to do business with any company and Verizon has them in abundance. Very proud to be a new Verizon customer.",elyse449,Samsung Galaxy S7,2017-03-17,Fabulous phone that is easy to use!
"My new S7 is faster and smoother than my beloved S5. I ride my mobile devices into the ground and traded in my S5 only when it started heating up at inconvenient times, such as when my wife is trying to reach me. Anyway, I love the S7 so far. Using it is effortless.",craig720,Samsung Galaxy S7,2017-03-17,Faster and smoother than my beloved S5.
"Everything I hoped it would be. The size of the phone,the weight and sound is great. I feel this phone is a great value.",Momma Mobile,Samsung Galaxy S7,2017-03-17,wonderful!!!
"My phone does much more than you last android as well as look better, the screen itself was a hazard. But overall I am enjoying this product and look forward to the great customer service that I have not been receiving from my last service provider.",Suki23,Samsung Galaxy S7,2017-03-17,I love my phone
I love my phone ! Way better service then other companies in my area. Friendly staff and fast service,EliV,Samsung Galaxy S7,2017-03-17,S7
"Every day, I find a new use for my phone. It was easy to transition to but it has so many added features. It helps me at school as a timer, I love the beautiful pictures that it takes, I love that it is so thin and the screen is larger...I Just Love It!!!!!!!",JOC13,Samsung Galaxy S7,2017-04-24,It is like my old phone (so easy to use)...but 100 times better
I enjoy this product a lot wish it was a little bigger and had it's own stylist. I enjoy that the phone is so smart.,Sj35,Samsung Galaxy S7,2017-03-17,Samsung Galaxy s7
Nice Phone....sleek and easy to use. Had no problem transferring data from old phone. I would recommend this phone to all my friends and family. It serves my needs,LLesherphone,Samsung Galaxy S7,2017-03-17,Nice Phone Samsung G7
"very well built phone top of the line, fast and snappy, easy to navigate, like apps and the health app is awesome",MrCyber,Samsung Galaxy S7,2017-03-17,easy to use fast and snappy
"The Samsung Galaxy 7 is my third Galaxy phone. I had the S3 and the S5. I was happy with all of them, but they improve with with each upgrade. I am happy with the 32 MB memory, as I had 16MB in the past. I do not like the non-removable battery. I hope this battery lasts. I like the time on the lock screen. And something as small as a small bump on the charging cord that lets me know which way is up when inserting it in the phone in the dark, is a plus for me. The fast charging is also a plus. There were no decisions to be be made. A Samsung 7 was going to be my next phone.",LindaTea,Samsung Galaxy S7,2017-04-24,Every Samsung Galaxy Gets Better!
"So far it has been easy to use, A little getting used to coming from the Samsung Convoy flip phone. But was fairly adept to is in just a couple of hours. If it holds up as well as the Convoy, then all should be good.",Dynarider03,Samsung Galaxy S7,2017-03-17,Was an easy transition.
