"city_matched","label","State","Population_city","hosp_count","mean_rating","median_rating","ACCESS2_city","hcoverage_city","BINGE_city","BPHIGH_city","BPMED_city","CANCER_city","CASTHMA_city","CHD_city","CHECKUP_city","CHOLSCREEN_city","COLONSCREEN_city","COPD_city","COREM_city","COREW_city","CSMOKING_city","DIABETES_city","HIGHCHOL_city","KIDNEY_city","LPA_city","MAMMOUSE_city","MHLTH_city","OBESITY_city","PAPTEST_city","SLEEP_city","STROKE_city","long","lati","PlaceName"
"dallas","Dallas, TX","TX",1197816,19,3,3,31.6,68.4,15.2,34.9,62,5.5,9.1,6.4,68.6,70.3,57.8,6.5,32.4,30.5,17.9,13.2,33.9,3.6,30.5,77.5,11.9,34.3,76.4,34.9,3.7,-96.7656929463,32.7939804066,"Dallas"
"daly city","Daly City, CA","CA",101123,2,2,2,13.9,86.1,12.7,25,52.3,4.6,6.9,4.3,66,75.1,61.1,3.7,26.1,30.1,11.1,9.6,31.3,2.2,23.2,80.9,9.2,17.6,76.3,35.1,2.1,-122.468298024,37.6861552276,"Daly City"
"danbury","Danbury, CT","CT",80893,1,2,2,15.4,84.6,17.2,28.3,56.1,6.3,9.1,5.5,64.8,78.1,66.3,5.8,32.6,36.9,19.2,8.5,30.7,2.4,22.6,79.3,11.8,25.1,83.2,35.4,2.6,-73.470938682,41.4015898606,"Danbury"
"davenport","Davenport, IA","IA",99685,1,4,4,11.3,88.7,20.9,29.3,60.7,6,8.6,5.7,71.4,72.7,64.1,5.6,34.9,34.4,20.9,9.1,35.1,2.5,23.4,81.1,10.1,33.3,82.4,33.2,2.8,-90.6051730163,41.5557926876,"Davenport"
"dayton","Dayton, OH","OH",141527,6,4,4,20.5,79.5,13.6,38.8,66.7,5.6,12.7,8.6,70.8,72.1,57.2,10.7,29.6,22.6,28.7,15.9,33.6,3.8,32.2,73.4,17,47.2,74.8,45.7,4.9,-84.1997930517,39.779768039,"Dayton"
"dearborn","Dearborn, MI","MI",98153,1,3,3,16.3,83.7,19.4,32.3,56.5,6.8,11.3,7.3,67.2,74.6,64.1,9.6,34.9,30.9,25.8,9.5,36.8,3.2,25.6,79.4,14.6,31.2,78.4,38.8,3.2,-83.2129368006,42.3126884626,"Dearborn"
"decatur","Decatur, IL","IL",76122,2,2,2,15.7,84.3,18.4,33.6,63.2,6,11,6.5,66.4,71,57.5,7.6,33.9,27.7,23.4,10.6,32.8,2.7,28.1,73.7,13.6,35.3,77.5,36.6,3.4,-88.9336983421,39.8555822645,"Decatur"
"denton","Denton, TX","TX",113383,5,4,4,21.1,78.9,16.4,30.1,60.9,6.1,8.5,5.6,69.4,75.6,61.3,6,35.4,33.2,16.9,9.7,34,3.2,24.1,76.5,10.5,29.9,77.2,32.3,2.8,-97.1412438684,33.2156160443,"Denton"
"denver","Denver, CO","CO",600158,6,4,4,17.8,82.2,19.9,27.3,51.8,5.7,8.8,4.9,59.2,73.8,62.6,4.8,36.7,30.9,17,7.7,31.6,2.4,16.7,73.7,10.1,19.7,81.3,28.1,2.7,-104.876365322,39.7620283743,"Denver"
"des moines","Des Moines, IA","IA",203433,4,3,3,13,87,18.3,31.2,60.2,5.8,8.5,5.9,69.1,75.2,62.3,6.1,38.7,32.6,22.9,9.7,36.4,2.4,25.2,79.3,10.5,32.6,82.2,31.3,3,-93.6165066086,41.5741349525,"Des Moines"
"detroit","Detroit, MI","MI",713777,7,2,2,25.5,74.5,13.5,46.3,64.5,5.9,13.9,8.4,74.5,74.2,58.6,10.8,24.5,21.2,29.8,17.6,36.6,4.6,36.4,81.8,17.2,45.2,78,50.8,5.8,-83.1053178776,42.3847015631,"Detroit"
"downey","Downey, CA","CA",111772,3,3,3,22.7,77.3,16,26.4,50,5.2,7.7,5.7,66.1,74.3,58.7,4.8,24.1,24.8,13.5,11.2,34.8,2.7,23.8,80.3,11.8,26.3,82.7,36.5,2.6,-118.131150116,33.937867256,"Downey"
"duluth","Duluth, MN","MN",86265,3,3,3,10.5,89.5,21.2,25.5,59.4,6.1,9.4,5.8,66.7,73.5,64.4,5.6,35.9,33.6,22,8.1,29.1,2.1,21.5,74.7,10.4,30.1,80.8,31.1,2.8,-92.1342013763,46.7854703427,"Duluth"
"durham","Durham, NC","NC",228330,3,4,4,20.4,79.6,13.2,35,63.5,5.7,8.8,6.3,76.6,77.8,69.6,6.2,39.2,38.8,17,10.8,31.8,2.6,22.8,84.1,11.6,31.3,85.5,33.5,3.5,-78.9059161097,35.9809147402,"Durham"
"edinburg","Edinburg, TX","TX",77100,3,3,3,39.5,60.5,14.3,31.5,59.7,4.3,7.7,6.2,65.2,66.3,51,5.2,29.3,26.8,13.7,15.1,34.7,3.4,30.1,71.4,11.2,36.5,75.8,31.9,3,-98.1637130371,26.3155843974,"Edinburg"
"edmond","Edmond, OK","OK",81405,2,3,3,11.2,88.8,15.2,30.8,59.5,6.1,9,5.6,63.4,73.3,65.7,5.4,42.6,43.6,15.4,7.7,33.9,2.2,20.1,75.6,10.9,26.8,82.8,31.8,2.3,-97.4159205309,35.6689350516,"Edmond"
"el monte","El Monte, CA","CA",113475,2,4,4,32.2,67.8,12.7,28.7,51.7,4.4,8.2,6.3,63.8,70.7,47.4,5.8,19.1,19.8,17,14.4,36.5,2.9,33,75.2,14.2,26.4,71.8,40.4,3.2,-118.029071951,34.073919653,"El Monte"
"el paso","El Paso, TX","TX",649121,8,2,2,35.5,64.5,16.3,31,60.8,4.5,7.9,6.2,66.3,69.6,52,5.2,25.2,24.7,15.6,14.9,32.5,3.2,29,75.1,11.1,35.5,78.1,34,3,-106.432021874,31.8481123506,"El Paso"
"elgin","Elgin, IL","IL",108188,2,4,4,18.4,81.6,19.7,28.8,59.3,5.5,9.2,6,65.7,71,58.1,5.9,33.3,28.1,17.7,10.2,33.1,2.6,25.8,72.8,11.4,30.8,80.7,35.1,2.8,-88.3224947104,42.0385402472,"Elgin"
"elizabeth","Elizabeth, NJ","NJ",124969,1,2,2,29.3,70.7,14.7,29.9,58.8,4.9,8.9,7,72.2,72.7,49.7,6.6,25.2,21.1,21.1,13.1,33.5,3,33.2,75.6,13.8,32.7,79.3,43.4,3.4,-74.1938679138,40.6664447729,"Elizabeth"
"erie","Erie, PA","PA",101786,3,3,3,17.7,82.3,16.9,34.1,63.5,6.2,11.3,7.2,70.2,70.9,61.2,8.6,31.4,29.3,27.6,11.7,34.9,2.6,26.1,74.5,15.8,36,75.7,37.3,3.6,-80.0730358517,42.1164698754,"Erie"
"escondido","Escondido, CA","CA",143911,1,3,3,23.1,76.9,16.7,27.3,52.6,5.7,9,6.3,64.1,72.6,59.1,6.8,27.7,24.9,17.1,11.1,31.6,2.8,26.7,76.4,14.1,26.5,78.9,36.4,3.1,-117.072122618,33.1346952955,"Escondido"
"eugene","Eugene, OR","OR",156185,1,2,2,13.2,86.8,18.9,28.6,53.6,6.7,9.6,5.5,58,68,64.6,5.9,34.6,32,17.7,7.9,32.8,3.1,14.9,77.3,12.7,28.7,79.7,31.4,2.7,-123.117327584,44.0559363346,"Eugene"
"evanston","Evanston, IL","IL",74486,2,2,2,9.3,90.7,20.9,27.1,60.1,5.8,8.9,4.7,70.4,74,66.9,4.2,36.9,32.6,13.6,7.9,30.6,2.3,18,80.6,8.9,24,83.4,32,2.4,-87.6940348773,42.0463099649,"Evanston"
"evansville","Evansville, IN","IN",117429,2,3,3,18.2,81.8,15.8,35.9,65,6.1,11,6.9,71.1,72.2,63.1,9,31.9,29.1,25.3,10.5,33.8,2.8,28.9,74.3,14.4,35.1,77.8,39.3,3.3,-87.538270731,37.9867158026,"Evansville"
"everett","Everett, WA","WA",103019,1,3,3,14.5,85.5,16,31.5,51.3,6.5,10.3,6,61.3,72.4,64.9,6.8,32.4,32.5,18.2,9.5,33,3.1,20.4,76.6,12.6,32.3,79.4,35.7,2.9,-122.160703911,47.9497966189,"Everett"
"fairfield","Fairfield, CA","CA",105321,1,2,2,15.8,84.2,16.4,29.7,54.6,5.6,8.9,5.6,65.2,73.8,63.4,5.7,27,28.3,15.8,10.2,32.3,2.6,22.8,78.5,12.2,26.7,79.9,35.3,2.9,-122.039303253,38.2558446343,"Fairfield"
"fall river","Fall River, MA","MA",88857,2,4,4,11.7,88.3,17.4,32,60.4,6.8,14.7,7.6,80.1,78.8,64.4,11.1,29.3,22.6,28.6,11.7,38.6,3.1,28.8,82.9,18.3,32.5,82.9,43.9,3.5,-71.0996396919,41.7139907598,"Fall River"
"fargo","Fargo, ND","ND",105549,2,4,4,9.9,90.1,23,30.4,60.5,5.9,8.3,5.7,67.4,72.6,63.9,4.5,39.7,37.1,17.7,7.5,30.8,2.1,18.9,79,8.1,31.7,82.4,29,2.5,-96.8289882328,46.8652457832,"Fargo"
"farmington hills","Farmington Hills, MI","MI",79740,2,2,2,9,91,19.8,28.7,57.8,6.6,9.4,5.3,72.2,79.9,71.6,5.2,35.1,37.5,14.2,7.9,32.9,2.8,18.1,82.5,9.6,26.4,85.8,35.6,2.3,-83.3771159714,42.4859956992,"Farmington Hills"
"fayetteville","Fayetteville, AR","AR",73580,2,3,3,14,86,15.3,32.2,62.1,6.4,8.9,6.8,63.6,68.2,59.1,7.1,34.6,31.9,21.3,9.3,33.5,2.7,25,71.1,12.5,30.4,78.8,33.5,2.8,-94.1659600436,36.0712117312,"Fayetteville"
"fayetteville","Fayetteville, NC","NC",200564,1,3,3,19.2,80.8,13.3,38.8,63.7,5.7,8.9,6.6,78.3,76.6,68.2,6.7,37,39.9,21,11.8,31.7,2.7,24.1,81.5,12.4,34.6,84.8,39.9,3.6,-78.9791676456,35.0851309527,"Fayetteville"
"federal way","Federal Way, WA","WA",89306,1,3,3,14.7,85.3,17.7,28.3,51.7,6.1,10,5.4,60.2,72,63.8,5.8,30.4,33.2,15.7,9,30,2.9,18.2,73.7,11.8,25.9,78,33.6,2.9,-122.335755583,47.3090846316,"Federal Way"
"fishers","Fishers, IN","IN",76794,2,4,4,8.1,91.9,17.5,28.3,61.9,6.2,8.6,4.8,68.8,78.8,71.3,4.4,37.1,34.8,12.6,7.1,30.9,2.1,15.4,79.6,8.7,25.7,86.9,29.6,1.9,-85.969310702,39.9587635263,"Fishers"
"flint","Flint, MI","MI",102434,2,2,2,23.3,76.7,14.8,42.9,62.7,6,13.3,8.4,72.8,72.4,59.8,11.4,27,24.1,28.5,15.8,34.8,4.1,36.4,80.1,17.4,42.7,78,44,5.2,-83.6920640313,43.0236339386,"Flint"
"folsom","Folsom, CA","CA",72203,1,2,2,8.9,91.1,19.5,27.1,51.7,6.2,7.8,4.7,65,76.2,71.4,4.3,33,33.8,13.5,7.1,29.9,2.1,15.2,84.1,9.5,21.8,87.1,29.8,2.1,-121.147605753,38.6750494328,"Folsom"
"fontana","Fontana, CA","CA",196069,1,3,3,23.4,76.6,15.5,29.2,52.5,5.1,8.9,6.1,65.2,70.7,57.2,5.9,25.4,23.4,15.6,12.4,32.6,2.8,26.6,78.8,13.2,28.1,81.8,37.7,3.1,-117.459241285,34.0974227833,"Fontana"
"fort collins","Fort Collins, CO","CO",143986,2,4,4,11.4,88.6,18,23.9,52,6,8.8,4.6,62.8,73.5,65.8,4.6,37.2,31.7,14.7,6.1,30.6,2.2,14.5,74.2,9.4,20.1,83.1,24.5,2.3,-105.065904872,40.5487758924,"Fort Collins"
"fort lauderdale","Fort Lauderdale, FL","FL",165521,3,2,2,22,78,17.5,31.2,62.6,6.2,9,6.4,73.6,75.6,64.6,7,31.4,28.6,19.2,10.2,33,3.2,23.2,79.9,13.5,27.5,80.3,38.3,3.2,-80.1471225502,26.1418205174,"Fort Lauderdale"
"fort smith","Fort Smith, AR","AR",86209,2,2,2,22,78,13.1,37.6,62.4,6.2,9.8,8,65,68.1,56.1,9.1,29.7,30.3,26.1,11.6,34.5,3.1,33.9,72.8,15.4,35.8,74,38,3.6,-94.3696317306,35.3491692636,"Fort Smith"
"fort wayne","Fort Wayne, IN","IN",253691,6,3,3,18.9,81.1,14.9,31.1,64.5,6.1,10.5,6.5,61,71.4,59.3,7.8,31.2,25.9,23.7,10.8,32.9,2.7,26.2,69.9,13.3,33.4,75.8,36.3,3.1,-85.1435898792,41.0884920417,"Fort Wayne"
"fort worth","Fort Worth, TX","TX",741206,13,4,4,27,73,15.3,33.6,61.9,5.7,9.2,6.2,68,74.5,59.6,6.6,32.6,31.4,18,12.5,33.2,3.4,28.3,74.8,11.4,34.2,78.5,36.1,3.4,-97.3470323225,32.780192804,"Fort Worth"
"fremont","Fremont, CA","CA",214089,2,3,3,10.3,89.7,13.7,23.1,50.4,5.1,6.9,4.1,66.5,74.1,67.7,3.5,33,30.6,10.1,8,31.1,2,18.7,81.1,8.4,15.6,81,32.5,1.9,-121.984121512,37.5278685405,"Fremont"
"fresno","Fresno, CA","CA",494665,4,2,2,24.3,75.7,14.7,31.4,54.3,5.5,9.6,6.6,63.3,67.7,58,7.1,27.4,25.1,16.8,12.3,34,2.8,30.3,75.5,14.8,28.7,76.7,32.9,3.4,-119.794126569,36.7826786711,"Fresno"
"frisco","Frisco, TX","TX",116989,2,3,3,11.9,88.1,18.8,26.8,58.1,6.1,7.3,4.4,71.6,78.9,68.4,3.9,36.8,38.6,11.2,7.5,30.9,2.7,17.3,80.7,7.5,23.7,84.2,30.4,2,-96.8201336312,33.1507545152,"Frisco"
"fullerton","Fullerton, CA","CA",135161,1,3,3,16.5,83.5,16.3,26.9,52.5,5.5,8,5,65.4,74.4,62.2,4.9,26.8,30.3,13.7,9.1,31.7,2.3,22.5,80.2,11.1,20.6,79,32.7,2.4,-117.927850895,33.8840378013,"Fullerton"
"gainesville","Gainesville, FL","FL",124354,2,2,2,20.4,79.6,16.3,33.2,63.3,6.3,9.3,6.4,70.5,75.4,64.7,7.4,34.4,28.9,19.7,10.1,31.8,3,22.6,76.1,13.7,27.9,77,36.2,3.3,-82.345278266,29.6817027431,"Gainesville"
"garden grove","Garden Grove, CA","CA",170883,1,4,4,20.8,79.2,14.5,27.4,52.8,4.9,7.9,5.3,64.6,73.3,55.9,5.3,22.9,26.6,15.4,10.8,32.2,2.5,28.1,77.7,12,19.9,73.2,35.6,2.7,-117.960111162,33.7786940635,"Garden Grove"
"garland","Garland, TX","TX",226876,2,2,2,28.8,71.2,15.6,31.7,60,5.6,8.6,6,67.9,70.9,59.2,6.3,33.5,32.2,17.4,11.5,33.6,3.3,29.2,77,11.3,30.8,76.1,34,3.1,-96.6304258603,32.9100799867,"Garland"
"gary","Gary, IN","IN",80294,1,3,3,28.6,71.4,10.3,47.8,69.4,5.2,13.5,7.9,71,70.7,46.3,10.2,18.8,16.6,31.4,18.2,33.9,3.8,37.3,70.6,17.3,46.9,71.7,52,5.6,-87.3472907397,41.5904779239,"Gary"
"gastonia","Gastonia, NC","NC",71741,2,4,4,24.6,75.4,13.3,35.8,64.1,6,9.6,7.1,73.3,74.6,63.4,8.3,34.3,35.3,24.8,11.2,37,2.7,28.3,76.6,14.1,32.6,81.8,38.7,3.7,-81.1836588468,35.2472984431,"Gastonia"
"gilbert","Gilbert, AZ","AZ",208453,3,4,4,9.7,90.3,17.2,25.3,54.2,6.1,9,4.8,66.3,73.8,69,4.9,35.7,36.9,14.7,7.1,32.8,3,15.6,81.2,9.6,23.5,85,32,2.2,-111.746237467,33.310149392,"Gilbert"
"glendale","Glendale, AZ","AZ",226721,2,3,3,20.5,79.5,14.7,28.3,56.4,5.9,10.2,6.1,64.3,70.3,60.4,7.2,31.5,30.4,19.8,9.9,34.1,3.5,23.7,76.7,13,29.6,78.6,35.8,3.1,-112.225306421,33.5796123089,"Glendale"
"glendale","Glendale, CA","CA",191719,3,3,3,14.4,85.6,16.2,26.7,51,6,8.4,5.6,66.1,74.6,61.4,5.8,26.6,27.3,15.3,9,34.9,2.4,20.5,79.5,12,22.5,79.8,35.3,2.7,-118.24676666,34.181889373,"Glendale"
"grand rapids","Grand Rapids, MI","MI",188040,2,4,4,17.5,82.5,18.9,35.9,60.1,6.4,11,6.8,71.4,74.6,66.5,7.9,35.5,38.5,20.5,11,35,3.3,27,81.9,13.5,35.1,81.5,35.8,3.3,-85.6556858473,42.9614815414,"Grand Rapids"
"greeley","Greeley, CO","CO",92889,1,4,4,20.7,79.3,16.1,28.1,53.5,5.6,9,5.3,56.5,70.2,58.9,5.6,35.8,28.6,18.6,7.9,29.1,2.6,22.1,69.5,11.4,27,79.2,31.7,2.7,-104.771170982,40.4141369521,"Greeley"
"green bay","Green Bay, WI","WI",104057,4,3,4,13.7,86.3,24,30.5,58.1,6,10.1,5.9,68.6,72.6,66.8,6.1,34.1,28.2,20.5,9.3,33.6,2.4,23.2,79.9,12.3,32.3,82.4,32,2.9,-87.9896195955,44.5149847816,"Green Bay"
"greensboro","Greensboro, NC","NC",269666,1,4,4,20.6,79.4,13.6,35.7,63.7,5.7,8.9,6.3,75.3,76.5,68.2,6.7,38.5,37.6,19.8,10.7,34.2,2.7,22.7,80.6,12.2,32.8,83.2,35,3.5,-79.8276833061,36.0960480415,"Greensboro"
"greenville","Greenville, NC","NC",84554,3,3,3,19.8,80.2,12.4,38.9,65.2,5.8,9.3,6.8,76.4,75.8,66.6,7.3,36,36.6,20.4,11.3,35.5,2.7,24.6,79.3,12.9,32,83.1,35.7,3.8,-77.3766133673,35.5959211876,"Greenville"
"gresham","Gresham, OR","OR",105594,1,3,3,17.5,82.5,20.1,27.4,51.6,6.6,10.2,5.9,57.7,70.7,61.6,6.6,32.4,28,22,9.5,31.3,3.2,18.9,75,13.9,26.9,78.7,31.1,3,-122.441469029,45.5024256798,"Gresham"
"gulfport","Gulfport, MS","MS",67793,2,2,2,21.9,78.1,13.7,40.7,68.7,6,9,6.9,74.3,71,57.4,7.4,34,30.6,24.1,12.4,37.2,3.1,30.7,69.5,14.1,34.6,78.7,38.9,3.9,-89.0701908439,30.427377008,"Gulfport"
"hammond","Hammond, IN","IN",80830,1,3,3,27.3,72.7,13.7,36.4,63.3,5.6,10.9,7.3,64.3,70.2,47.2,8.9,24.2,21,27.2,13,34.4,3,32.2,66.5,15,37.5,72.4,43.6,3.6,-87.4909551115,41.6171442828,"Hammond"
"hampton","Hampton, VA","VA",137436,1,3,3,17.1,82.9,13.9,35.1,66.6,5.6,10.1,6.1,77,77.6,66.6,6.6,35.3,33,22.2,11.7,31.3,2.6,26,82.4,11.7,37.7,84.2,44.4,3.5,-76.3665945624,37.0533009025,"Hampton"
"hartford","Hartford, CT","CT",124775,4,2,2,24.4,75.6,12.3,39.5,65.1,5.3,12.1,7.2,70.9,74.4,56.5,8,24.2,25,21.6,15.5,36.5,3.5,33.8,79,15.9,38.6,80.5,42,4.4,-72.6834012389,41.7660706419,"Hartford"
"hayward","Hayward, CA","CA",144186,2,2,2,18.7,81.3,14.4,25.7,52,5.3,8.4,5.4,65.1,73.1,62,5.2,29.7,25.6,14.5,10.8,31.5,2.6,24.7,78.1,11.9,23.8,80,35.6,2.8,-122.077051051,37.6329591551,"Hayward"
"hemet","Hemet, CA","CA",78657,1,1,1,22.6,77.4,15.4,32.1,51.2,6.1,10.1,6.8,64.8,72.3,56.6,8,25.3,25.5,20.5,11.1,34.3,2.8,29.1,76.2,15.4,31.5,77.6,39,3.4,-116.994605005,33.7352277311,"Hemet"
"henderson","Henderson, NV","NV",257729,3,2,3,14.2,85.8,17.6,27.4,53.7,6.2,8.6,5.6,64.2,72.8,63.2,6.2,34.9,30.9,17.7,8.5,32.1,3,20.5,74,10.6,26.1,81.3,36.2,2.5,-115.037392161,36.0122394916,"Henderson"
"hialeah","Hialeah, FL","FL",224669,3,3,3,42.8,57.2,14.2,30,59.9,4.5,7.8,7.1,69.5,70.4,51.2,5.8,21.5,19.5,17.6,14.7,35.9,3.9,34.7,75,14.6,32.2,75.9,36.7,3.1,-80.3045294666,25.869626948,"Hialeah"
"high point","High Point, NC","NC",104371,2,2,2,22.7,77.3,13.6,35,63.3,5.7,9.1,6.7,74.3,75.9,65.9,7.5,37.5,36,21.5,11.1,34.5,2.7,24.6,79,13.1,32.7,81.2,35.2,3.7,-79.9932956384,35.9881243803,"High Point"
"hillsboro","Hillsboro, OR","OR",91611,2,4,4,14.3,85.7,17.7,27.5,54,6.4,8.9,5.3,63.1,72.4,63.5,5.3,30.4,32.1,15.5,8.6,32.4,3.1,16.2,77.5,11.7,26,82.2,32.8,2.6,-122.937442209,45.529027994,"Hillsboro"
"hollywood","Hollywood, FL","FL",140768,1,3,3,24.3,75.7,17.3,29,60.6,6,8.5,6.2,72.7,75.3,62.8,6.5,30.3,27.3,17.9,10.2,33.1,3.2,24,79,13.1,26.8,80.4,37.5,2.9,-80.1683976059,26.0287025703,"Hollywood"
"houston","Houston, TX","TX",2099451,28,3,3,31.1,68.9,14.9,35.1,62.9,5.2,8.5,6.1,68.9,72.8,57.6,6.1,28.4,30.2,16.4,13,34.8,3.2,29.7,77.2,11.4,33.9,76.5,36,3.5,-95.3860033966,29.7806691396,"Houston"
"huntington beach","Huntington Beach, CA","CA",189992,1,3,3,11.1,88.9,19.6,25.4,51.3,6.1,8,4.8,65.8,76.7,67.7,4.7,29.1,33.1,13.2,7.4,30.9,2.2,18,81.9,10.4,19.6,83.5,30.4,2.2,-118.001810806,33.6952749077,"Huntington Beach"
"huntsville","Huntsville, AL","AL",180105,2,3,3,16.3,83.7,12.3,36.7,66.9,6.5,9.6,6.7,70.8,76.2,65.8,7.5,39.7,36.9,21.3,10.7,35.8,2.6,24.9,80,14,32,83.5,39.7,3.2,-86.6387042882,34.6989692671,"Huntsville"
"independence","Independence, MO","MO",116830,1,3,3,17.1,82.9,15.9,29.3,63.1,6.5,10.1,6.6,65.2,70.6,60.8,8,38.4,38.2,25,9.7,34.2,2.3,25.4,72.9,13.3,32.2,77.3,33.7,3.1,-94.3502748237,39.0870794771,"Independence"
"indianapolis","Indianapolis, IN","IN",820445,9,3,3,20,80,14.9,32.9,63.4,5.7,11.5,6.6,66.1,71.6,62,8.4,36.3,31.4,23.9,11.2,34.1,2.9,27.6,75.1,13.8,34.9,77,39.2,3.5,-86.145782152,39.7771221075,"Indianapolis"
"indio","Indio, CA","CA",76036,1,2,2,27.7,72.3,15.4,30.9,49.7,5.6,9.1,6.5,64.4,72,57.1,6.4,25.9,25.9,17.3,11.8,34.2,2.9,29.6,77.8,14.3,31.6,79.4,38,3.1,-116.237258141,33.7298067837,"Indio"
"inglewood","Inglewood, CA","CA",109673,1,4,4,26.3,73.7,13.8,34.3,55.8,5.2,9.9,6.5,69.3,74.1,57.6,6.2,19.8,21.4,17.4,14.8,34.5,3.1,27.9,81.5,14.5,33.6,81.6,42.4,4.1,-118.344444926,33.9565748018,"Inglewood"
"iowa city","Iowa City, IA","IA",67862,2,4,4,9.3,90.7,20.1,27.6,60.7,6,8.3,5.3,68.5,74,66.5,4.8,36.9,34,16.3,8,31.6,2.3,19.9,79.4,8.9,28.5,83.4,27.4,2.5,-91.5308854927,41.6558950332,"Iowa City"
"irving","Irving, TX","TX",216290,3,4,4,27.3,72.7,15.2,31.9,59.9,5.5,8.3,6.1,68,70.4,58,6.2,33.3,31.4,15.9,11.5,33.9,3.3,28.3,76.5,10.7,29.7,76.4,33.1,3.1,-96.9703058323,32.8583808131,"Irving"
"jackson","Jackson, MS","MS",173514,5,2,2,23.5,76.5,11.4,45.2,72.1,5.6,10,6.9,77.5,72.4,59.7,7.2,34,29.6,23.4,15.1,36.3,3.4,33,75.8,14.5,40.6,82.4,43.6,4.8,-90.2124528561,32.31627222,"Jackson"
"jacksonville","Jacksonville, FL","FL",821784,8,3,3,20.2,79.8,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,37.8,3.4,-81.6752266207,30.3319820139,"Jacksonville"
"jacksonville","Jacksonville, NC","NC",70145,1,3,3,19.9,80.1,14.6,36.8,61.3,5.9,8.4,6.5,74.3,75.5,68.8,6.8,38.7,38,21.5,10.3,35.2,2.5,24.2,80.4,12.3,31.6,83.7,36.7,3.3,-77.3951822819,34.7331103037,"Jacksonville"
"jersey city","Jersey City, NJ","NJ",247597,3,2,2,17.8,82.2,15,31.6,60.9,4.9,8.9,6,76.2,75.5,54.3,5.8,22.6,21.9,16.2,11.3,33.4,2.6,28.6,75,11.1,25.4,76.5,43.7,3.1,-74.0687740635,40.7188130852,"Jersey City"
"johns creek","Johns Creek, GA","GA",76728,1,3,3,10.4,89.6,15.8,25.8,57.3,5.9,6.8,4.2,75.1,80.1,71.3,3.7,37.9,39.4,10.1,7.4,30.7,2.4,14.1,82.4,7.8,19,86.6,32.9,1.9,-84.2027195506,34.0332991998,"Johns Creek"
"joliet","Joliet, IL","IL",147433,3,3,4,16.7,83.3,19.8,30.8,60.2,5.7,9.8,6.2,65.5,73,58.5,6.2,30.5,25.4,19.5,10.7,32.5,2.7,26.4,74,11.8,35.2,80.3,38.1,3,-88.1507097756,41.5206390037,"Joliet"
"jonesboro","Jonesboro, AR","AR",67263,2,2,2,17.1,82.9,14.4,36.3,64.8,6.4,9.4,7.4,65.3,69.6,58.9,8,32.6,31.6,24.3,10.3,34.8,2.9,30.1,70.1,13.9,32.9,78.6,35.8,3.2,-90.6794991686,35.8208121538,"Jonesboro"
"kalamazoo","Kalamazoo, MI","MI",74262,2,3,3,17.3,82.7,17.7,34.7,60.8,6.5,11.7,7.3,70.7,72.1,66.4,9,35.3,31.7,21.6,11.5,34.9,3.4,26.3,79.9,14.6,41.2,80.1,35.5,3.6,-85.588188576,42.2748756474,"Kalamazoo"
"kansas city","Kansas City, KS","KS",145786,2,4,4,28.4,71.6,14.3,36.4,59.9,5.7,10.4,6.8,65.9,67.4,53.8,8.2,25,27,25.2,13.4,32.2,3.2,32.2,74.8,12.6,38.2,76.8,36.5,4,-94.7441921112,39.1234621409,"Kansas City"
"kansas city","Kansas City, MO","MO",459787,9,3,3,17.7,82.3,14.7,32.9,66.1,6.1,10.3,6.5,67.8,71.5,61.2,7.3,35.9,35.6,22.3,11.5,33.5,2.7,25.7,74.6,12.6,34.7,79.3,35.6,3.5,-94.5541236795,39.1239413971,"Kansas City"
"kenner","Kenner, LA","LA",66702,1,3,3,23,77,17.6,35.6,64.1,5.8,7.9,7.2,75.1,73.8,63.7,6.2,35.9,35,21,10.6,33.4,2.7,29.1,82.4,12.4,36.7,84.5,37.6,3.1,-90.2550320135,30.0106937201,"Kenner"
"kennewick","Kennewick, WA","WA",73917,1,3,3,16.8,83.2,18,29.2,52.2,6.5,10.6,6.3,61.6,70.2,65,7,29.9,34.5,18.6,9.5,33,2.9,21.6,74.7,13.1,31.2,78.2,33.1,3,-119.173245847,46.198438428,"Kennewick"
"kenosha","Kenosha, WI","WI",99218,2,4,4,14.4,85.6,22.3,30.5,59.4,5.9,9.9,5.8,67.4,72.6,65.4,6,29.1,29.9,20.2,9.6,32.8,2.5,22.9,78.2,12.1,35.3,82.4,33.5,2.9,-87.8735745085,42.585570271,"Kenosha"
"killeen","Killeen, TX","TX",127921,2,4,4,22.4,77.6,14.7,35.3,63.6,5.5,8.9,6,72,73.3,59.3,6.1,33.3,29.4,19.1,12.5,33.4,3.5,28.7,76.4,11.1,33.8,77.5,37.8,3.4,-97.7285651299,31.0757648143,"Killeen"
"knoxville","Knoxville, TN","TN",178874,5,3,3,17.4,82.6,10.8,35.7,66.6,6.5,10,7.1,74.7,76.9,62.6,8.6,38.3,39.8,25.4,11.2,31.8,3,27.7,77.1,15.2,32.4,82.8,39,3.4,-83.9495877264,35.9690594531,"Knoxville"
