"Hospital.Name","Hospital.Type","Address","label","State","ZIP.Code","Emergency.Services","Hospital.overall.rating","count","city_matched","Population2010","Geolocation","ACCESS2_AdjPrev","ARTHRITIS_AdjPrev","BINGE_AdjPrev","BPHIGH_AdjPrev","BPMED_AdjPrev","CANCER_AdjPrev","CASTHMA_AdjPrev","CHD_AdjPrev","CHECKUP_AdjPrev","CHOLSCREEN_AdjPrev","COLON_SCREEN_AdjPrev","COPD_AdjPrev","COREM_AdjPrev","COREW_AdjPrev","CSMOKING_AdjPrev","DENTAL_AdjPrev","DIABETES_AdjPrev","HIGHCHOL_AdjPrev","KIDNEY_AdjPrev","LPA_AdjPrev","MAMMOUSE_AdjPrev","MHLTH_AdjPrev","OBESITY_AdjPrev","PAPTEST_AdjPrev","PHLTH_AdjPrev","SLEEP_AdjPrev","STROKE_AdjPrev","TEETHLOST_AdjPrev","owner_tri","PlaceName","f_address.x","long.x","lati.x","f_address.y","long.y","lati.y"
"GEORGE WASHINGTON UNIV HOSPITAL","Acute Care Hospitals","900 23RD ST NW","Washington, DC","DC",20037,"true",1,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Proprietary","Washington","900 23RD ST NW Washington DC 20037",-77.0507854,38.9013368,"900 23RD ST NW Washington DC 20037",-77.0507854,38.9013368
"HOWARD UNIVERSITY HOSPITAL","Acute Care Hospitals","2041 GEORGIA AVE NW","Washington, DC","DC",20060,"true",1,NA,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","2041 GEORGIA AVE NW Washington DC 20060",-77.0204417,38.9175305,"2041 GEORGIA AVE NW Washington DC 20060",-77.0204417,38.9175305
"MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL","Acute Care Hospitals","3800 RESERVOIR RD","Washington, DC","DC",20007,"true",1,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","3800 RESERVOIR RD Washington DC 20007",-77.0752748,38.9114532,"3800 RESERVOIR RD Washington DC 20007",-77.0752748,38.9114532
"SIBLEY MEMORIAL HOSPITAL","Acute Care Hospitals","5255 LOUGHBORO RD NW","Washington, DC","DC",20016,"true",3,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","5255 LOUGHBORO RD NW Washington DC 20016",-77.109259,38.9365582,"5255 LOUGHBORO RD NW Washington DC 20016",-77.109259,38.9365582
"PROVIDENCE HOSPITAL","Acute Care Hospitals","1150 VARNUM ST NE","Washington, DC","DC",20017,"true",1,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","1150 VARNUM ST NE Washington DC 20017",-76.9915731,38.9437638,"1150 VARNUM ST NE Washington DC 20017",-76.9915731,38.9437638
"UNITED MEDICAL CENTER","Acute Care Hospitals","1310 SOUTHERN AVENUE  SE","Washington, DC","DC",20032,"true",1,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Proprietary","Washington","1310 SOUTHERN AVENUE  SE Washington DC 20032",-76.9849936,38.8359393,"1310 SOUTHERN AVENUE  SE Washington DC 20032",-76.9849936,38.8359393
"MEDSTAR WASHINGTON HOSPITAL CENTER","Acute Care Hospitals","110 IRVING ST NW","Washington, DC","DC",20010,"true",2,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","110 IRVING ST NW Washington DC 20010",-77.0144985,38.9295004,"110 IRVING ST NW Washington DC 20010",-77.0144985,38.9295004
"CHILDREN'S HOSPITAL NMC","Childrens","111 MICHIGAN AVE, NW","Washington, DC","DC",20010,"true",NA,1,"washington",601723,"(38.90992414260, -77.0147205666)",9.9,21.4,20.3,31.2,59.3,5.7,10.2,4.8,72,80,66.9,5.1,31.5,28.7,18,69.2,10,32.4,2.6,20.5,79.9,10.9,25.4,86,9.8,35.2,3.5,11.7,"Non-profit","Washington","111 MICHIGAN AVE, NW Washington DC 20010",-77.014524,38.9273107,"111 MICHIGAN AVE, NW Washington DC 20010",-77.014524,38.9273107
"UF HEALTH JACKSONVILLE","Acute Care Hospitals","655 W 8TH ST","Jacksonville, FL","FL",32209,"true",1,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Non-profit","Jacksonville","655 W 8TH ST Jacksonville FL 32209",-81.6645858,30.3488168,"655 W 8TH ST Jacksonville FL 32209",-81.6645858,30.3488168
"BETHESDA HOSPITAL EAST","Acute Care Hospitals","2815 S SEACREST BLVD","Boynton Beach, FL","FL",33435,"true",3,1,"boynton beach",68217,"(26.52798180520, -80.0814660417)",22.3,24,16.4,33.6,63.5,6.4,9.2,6.4,72.8,77.3,64.7,7.3,33.8,29.9,20.6,60.4,10.3,35.6,3.2,24.5,77.3,13.8,26.7,81.3,13.2,40.7,3.2,12.8,"Non-profit","Boynton Beach","2815 S SEACREST BLVD Boynton Beach FL 33435",-80.0703818,26.5047567,"2815 S SEACREST BLVD Boynton Beach FL 33435",-80.0703818,26.5047567
"ORLANDO HEALTH","Acute Care Hospitals","52 W UNDERWOOD ST","Orlando, FL","FL",32806,"true",3,1,"orlando",238300,"(28.48006467710, -81.3452411179)",22.9,24.4,16.8,33.2,61.7,5.9,9.2,6.5,70.5,74.6,63.9,7,27.3,30,18.9,57.9,11.2,33.5,3.4,26.3,79.8,13.5,28.6,79.2,13.2,36,3.4,16.2,"Non-profit","Orlando","52 W UNDERWOOD ST Orlando FL 32806",-81.3776052,28.5265247,"52 W UNDERWOOD ST Orlando FL 32806",-81.3776052,28.5265247
"FLORIDA HOSPITAL","Acute Care Hospitals","601 E ROLLINS ST","Orlando, FL","FL",32803,"true",2,1,"orlando",238300,"(28.48006467710, -81.3452411179)",22.9,24.4,16.8,33.2,61.7,5.9,9.2,6.5,70.5,74.6,63.9,7,27.3,30,18.9,57.9,11.2,33.5,3.4,26.3,79.8,13.5,28.6,79.2,13.2,36,3.4,16.2,"Non-profit","Orlando","601 E ROLLINS ST Orlando FL 32803",-81.3698232552569,28.57443815,"601 E ROLLINS ST Orlando FL 32803",-81.3698232552569,28.57443815
"BAPTIST HOSPITAL OF MIAMI","Acute Care Hospitals","8900 N KENDALL DR","Miami, FL","FL",33176,"true",3,NA,"miami",399457,"(25.78229589700, -80.2215647762)",37,22.2,14.3,32.4,62.3,4.8,8.5,7.2,71.1,71.2,53.2,6.6,22,20.3,18.9,53.6,14.4,35.6,3.9,32.8,75.7,14.8,32.1,76.3,16.6,37.4,3.6,16.7,"Non-profit","Miami","8900 N KENDALL DR Miami FL 33176",-80.3403287,25.6830929,"8900 N KENDALL DR Miami FL 33176",-80.3403287,25.6830929
"UNIVERSITY OF MIAMI HOSPITAL","Acute Care Hospitals","1400 NW 12TH AVE","Miami, FL","FL",33136,"true",1,1,"miami",399457,"(25.78229589700, -80.2215647762)",37,22.2,14.3,32.4,62.3,4.8,8.5,7.2,71.1,71.2,53.2,6.6,22,20.3,18.9,53.6,14.4,35.6,3.9,32.8,75.7,14.8,32.1,76.3,16.6,37.4,3.6,16.7,"Non-profit","Miami","1400 NW 12TH AVE Miami FL 33136",-80.2217799,25.955077,"1400 NW 12TH AVE Miami FL 33136",-80.2217799,25.955077
"HOLMES REGIONAL MEDICAL CENTER","Acute Care Hospitals","1350 S HICKORY ST","Melbourne, FL","FL",32901,"true",3,NA,"melbourne",76068,"(28.11588057820, -80.6508814613)",18.2,24.8,20.5,29.4,59.6,6.6,8.9,6.2,70.4,74.8,64.9,7.2,33.5,31.2,21.6,61.3,9,34.1,2.8,22.7,79.2,13.2,25,80.6,12,37.8,2.9,14.6,"Non-profit","Melbourne","1350 S HICKORY ST Melbourne FL 32901",-80.6132286,28.0822298,"1350 S HICKORY ST Melbourne FL 32901",-80.6132286,28.0822298
"JACKSON MEMORIAL HOSPITAL","Acute Care Hospitals","1611 NW 12TH AVE","Miami, FL","FL",33136,"true",1,1,"miami",399457,"(25.78229589700, -80.2215647762)",37,22.2,14.3,32.4,62.3,4.8,8.5,7.2,71.1,71.2,53.2,6.6,22,20.3,18.9,53.6,14.4,35.6,3.9,32.8,75.7,14.8,32.1,76.3,16.6,37.4,3.6,16.7,"Government","Miami","1611 NW 12TH AVE Miami FL 33136",-80.2217799,25.955077,"1611 NW 12TH AVE Miami FL 33136",-80.2217799,25.955077
"NORTH SHORE MEDICAL CENTER","Acute Care Hospitals","1100 NW 95TH ST","Miami, FL","FL",33150,"true",1,1,"miami",399457,"(25.78229589700, -80.2215647762)",37,22.2,14.3,32.4,62.3,4.8,8.5,7.2,71.1,71.2,53.2,6.6,22,20.3,18.9,53.6,14.4,35.6,3.9,32.8,75.7,14.8,32.1,76.3,16.6,37.4,3.6,16.7,"Proprietary","Miami","1100 NW 95TH ST Miami FL 33150",-80.2149569,25.861557,"1100 NW 95TH ST Miami FL 33150",-80.2149569,25.861557
"BAYFRONT HEALTH - ST PETERSBURG","Acute Care Hospitals","701 6TH ST S","St. Petersburg, FL","FL",33701,"true",2,1,"st. petersburg",244769,"(27.79289497100, -82.6650743239)",19.2,24.7,19.5,32.4,61.8,6.5,9.1,6.4,71.3,75.9,65,7.2,34.3,33.3,22.3,57.8,9.7,34.6,2.9,21.5,78.7,13.4,29,79.9,12.4,38.3,3.1,15.2,"Non-profit","St. Petersburg","701 6TH ST S St. Petersburg FL 33701",-82.6410139,27.764261,"701 6TH ST S St. Petersburg FL 33701",-82.6410139,27.764261
"MOUNT SINAI MEDICAL CENTER","Acute Care Hospitals","4300 ALTON RD","Miami Beach, FL","FL",33140,"true",3,1,"miami beach",87779,"(25.81671016140, -80.1341952652)",23.9,19.7,17,28.5,59.3,5.5,7.4,6,71.3,73.4,62.2,5.2,27.3,26.4,15.1,66.6,10.3,34.7,3.1,23.4,79,11.6,25.8,81.1,11.8,32.8,2.5,10,"Proprietary","Miami Beach","4300 ALTON RD Miami Beach FL 33140",-80.1378599,25.806571,"4300 ALTON RD Miami Beach FL 33140",-80.1378599,25.806571
"MEMORIAL REGIONAL HOSPITAL","Acute Care Hospitals","3501 JOHNSON ST","Hollywood, FL","FL",33021,"true",3,1,"hollywood",140768,"(26.02870257030, -80.1683976059)",24.3,23,17.3,29,60.6,6,8.5,6.2,72.7,75.3,62.8,6.5,30.3,27.3,17.9,61.4,10.2,33.1,3.2,24,79,13.1,26.8,80.4,12.5,37.5,2.9,11.8,"Government","Hollywood","3501 JOHNSON ST Hollywood FL 33021",-80.1573858,26.0185753,"3501 JOHNSON ST Hollywood FL 33021",-80.1573858,26.0185753
"BROWARD HEALTH MEDICAL CENTER","Acute Care Hospitals","1600 S ANDREWS AVE","Fort Lauderdale, FL","FL",33316,"true",2,NA,"fort lauderdale",165521,"(26.14182051740, -80.1471225502)",22,23.4,17.5,31.2,62.6,6.2,9,6.4,73.6,75.6,64.6,7,31.4,28.6,19.2,61.2,10.2,33,3.2,23.2,79.9,13.5,27.5,80.3,12.5,38.3,3.2,12.1,"Government","Fort Lauderdale","1600 S ANDREWS AVE Fort Lauderdale FL 33316",-80.14078,26.1022242,"1600 S ANDREWS AVE Fort Lauderdale FL 33316",-80.14078,26.1022242
"ST VINCENT'S MEDICAL CENTER RIVERSIDE","Acute Care Hospitals","1 SHIRCLIFF WAY","Jacksonville, FL","FL",32204,"true",3,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Non-profit","Jacksonville","1 SHIRCLIFF WAY Jacksonville FL 32204",-81.689871,30.307202,"1 SHIRCLIFF WAY Jacksonville FL 32204",-81.689871,30.307202
"MEASE DUNEDIN HOSPITAL","Acute Care Hospitals","601 MAIN ST","Clearwater, FL","FL",34698,"true",4,1,"clearwater",107685,"(27.98059979190, -82.7544099135)",21.2,24.5,20,30.9,60.5,6.6,8.9,6.4,69.8,75.1,64.7,7.3,35.1,34.2,22.6,57.4,9.2,34.9,2.8,21.9,77.8,13.6,28.5,79,12.7,37.3,2.9,14.7,"Non-profit","Clearwater","601 MAIN ST Clearwater FL 34698",-82.6936989,27.991069,"601 MAIN ST Clearwater FL 34698",-82.6936989,27.991069
"LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS","Acute Care Hospitals","1475 W 49TH ST","Hialeah, FL","FL",33012,"true",2,1,"hialeah",224669,"(25.86962694800, -80.3045294666)",42.8,21.4,14.2,30,59.9,4.5,7.8,7.1,69.5,70.4,51.2,5.8,21.5,19.5,17.6,52.3,14.7,35.9,3.9,34.7,75,14.6,32.2,75.9,16.9,36.7,3.1,15.3,"Non-profit","Hialeah","1475 W 49TH ST Hialeah FL 33012",-80.3015879,25.866754,"1475 W 49TH ST Hialeah FL 33012",-80.3015879,25.866754
"HIALEAH HOSPITAL","Acute Care Hospitals","651 E 25TH ST","Hialeah, FL","FL",33013,"true",3,1,"hialeah",224669,"(25.86962694800, -80.3045294666)",42.8,21.4,14.2,30,59.9,4.5,7.8,7.1,69.5,70.4,51.2,5.8,21.5,19.5,17.6,52.3,14.7,35.9,3.9,34.7,75,14.6,32.2,75.9,16.9,36.7,3.1,15.3,"Proprietary","Hialeah","651 E 25TH ST Hialeah FL 33013",-80.2640279,25.845438,"651 E 25TH ST Hialeah FL 33013",-80.2640279,25.845438
"ST ANTHONYS HOSPITAL","Acute Care Hospitals","1200 SEVENTH AVE N","St. Petersburg, FL","FL",33705,"true",2,1,"st. petersburg",244769,"(27.79289497100, -82.6650743239)",19.2,24.7,19.5,32.4,61.8,6.5,9.1,6.4,71.3,75.9,65,7.2,34.3,33.3,22.3,57.8,9.7,34.6,2.9,21.5,78.7,13.4,29,79.9,12.4,38.3,3.1,15.2,"Non-profit","St. Petersburg","1200 SEVENTH AVE N St. Petersburg FL 33705",-82.650757,27.7786029,"1200 SEVENTH AVE N St. Petersburg FL 33705",-82.650757,27.7786029
"FLORIDA HOSPITAL CARROLLWOOD","Acute Care Hospitals","7171 N DALE MABRY HWY","Tampa, FL","FL",33614,"true",3,1,"tampa",335709,"(27.99619804100, -82.4450349799)",22.6,23.7,17.5,36.3,63.7,6,9.3,6.5,70.8,74.9,62.5,7.1,31.1,29.8,19.9,56.1,11.5,34.2,3.2,23.3,77.6,13.7,30.6,79.6,13.4,37.9,3.4,16.7,"Non-profit","Tampa","7171 N DALE MABRY HWY Tampa FL 33614",-82.5064159,27.901672,"7171 N DALE MABRY HWY Tampa FL 33614",-82.5064159,27.901672
"HOLY CROSS HOSPITAL","Acute Care Hospitals","4725 N FEDERAL HWY","Fort Lauderdale, FL","FL",33308,"true",2,1,"fort lauderdale",165521,"(26.14182051740, -80.1471225502)",22,23.4,17.5,31.2,62.6,6.2,9,6.4,73.6,75.6,64.6,7,31.4,28.6,19.2,61.2,10.2,33,3.2,23.2,79.9,13.5,27.5,80.3,12.5,38.3,3.2,12.1,"Non-profit","Fort Lauderdale","4725 N FEDERAL HWY Fort Lauderdale FL 33308",-80.1199314,26.1871437,"4725 N FEDERAL HWY Fort Lauderdale FL 33308",-80.1199314,26.1871437
"ST JOSEPHS HOSPITAL","Acute Care Hospitals","3001 W MARTIN LUTHER KING JR BLVD","Tampa, FL","FL",33677,"true",3,NA,"tampa",335709,"(27.99619804100, -82.4450349799)",22.6,23.7,17.5,36.3,63.7,6,9.3,6.5,70.8,74.9,62.5,7.1,31.1,29.8,19.9,56.1,11.5,34.2,3.2,23.3,77.6,13.7,30.6,79.6,13.4,37.9,3.4,16.7,"Non-profit","Tampa","3001 W MARTIN LUTHER KING JR BLVD Tampa FL 33677",-82.4910521,27.9827603,"3001 W MARTIN LUTHER KING JR BLVD Tampa FL 33677",-82.4910521,27.9827603
"JFK MEDICAL CENTER","Acute Care Hospitals","5301 S CONGRESS AVE","Boynton Beach, FL","FL",33462,"true",2,1,"boynton beach",68217,"(26.52798180520, -80.0814660417)",22.3,24,16.4,33.6,63.5,6.4,9.2,6.4,72.8,77.3,64.7,7.3,33.8,29.9,20.6,60.4,10.3,35.6,3.2,24.5,77.3,13.8,26.7,81.3,13.2,40.7,3.2,12.8,"Proprietary","Boynton Beach","5301 S CONGRESS AVE Boynton Beach FL 33462",-80.0915388,26.5986046,"5301 S CONGRESS AVE Boynton Beach FL 33462",-80.0915388,26.5986046
"BROWARD HEALTH NORTH","Acute Care Hospitals","201 E SAMPLE RD","Pompano Beach, FL","FL",33064,"true",2,NA,"pompano beach",99845,"(26.24283356990, -80.1312451610)",26.8,24.7,16.5,31.7,62.9,6.2,9.4,6.8,72.9,74.9,61.8,8,30.1,27.1,21.8,55.9,10.9,33.3,3.4,26.6,78.1,15,29.4,78,14.3,40,3.5,14.1,"Government","Pompano Beach","201 E SAMPLE RD Pompano Beach FL 33064",-80.1214753,26.2769286,"201 E SAMPLE RD Pompano Beach FL 33064",-80.1214753,26.2769286
"BAPTIST MEDICAL CENTER JACKSONVILLE","Acute Care Hospitals","800 PRUDENTIAL DR","Jacksonville, FL","FL",32207,"true",3,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Non-profit","Jacksonville","800 PRUDENTIAL DR Jacksonville FL 32207",-81.6564933,30.3163091,"800 PRUDENTIAL DR Jacksonville FL 32207",-81.6564933,30.3163091
"WUESTHOFF MEDICAL CENTER-ROCKLEDGE","Acute Care Hospitals","110 LONGWOOD AVE","Melbourne, FL","FL",32955,"true",2,1,"melbourne",76068,"(28.11588057820, -80.6508814613)",18.2,24.8,20.5,29.4,59.6,6.6,8.9,6.2,70.4,74.8,64.9,7.2,33.5,31.2,21.6,61.3,9,34.1,2.8,22.7,79.2,13.2,25,80.6,12,37.8,2.9,14.6,"Non-profit","Melbourne","110 LONGWOOD AVE Melbourne FL 32955",-80.723195,28.335224,"110 LONGWOOD AVE Melbourne FL 32955",-80.723195,28.335224
"UF HEALTH SHANDS HOSPITAL","Acute Care Hospitals","1600 SW ARCHER RD","Gainesville, FL","FL",32610,"true",2,NA,"gainesville",124354,"(29.68170274310, -82.3452782660)",20.4,25.2,16.3,33.2,63.3,6.3,9.3,6.4,70.5,75.4,64.7,7.4,34.4,28.9,19.7,58.2,10.1,31.8,3,22.6,76.1,13.7,27.9,77,13.2,36.2,3.3,13.4,"Non-profit","Gainesville","1600 SW ARCHER RD Gainesville FL 32610",-82.3426742,29.6399529,"1600 SW ARCHER RD Gainesville FL 32610",-82.3426742,29.6399529
"BAPTIST MEDICAL CENTER - BEACHES","Acute Care Hospitals","1350 13TH AVE S","Jacksonville, FL","FL",32250,"true",4,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Non-profit","Jacksonville","1350 13TH AVE S Jacksonville FL 32250",-81.3981499,30.2732933,"1350 13TH AVE S Jacksonville FL 32250",-81.3981499,30.2732933
"FLORIDA HOSPITAL FLAGLER","Acute Care Hospitals","60 MEMORIAL MEDICAL PKWY","Palm Coast, FL","FL",32164,"true",3,1,"palm coast",75180,"(29.54055909760, -81.2508206143)",19.5,24.8,18.5,30.1,60.9,6.5,9,6.4,69.6,75.7,65.2,7.3,36.3,28.7,20.8,60.7,9.3,33.3,3,23.2,78.7,13.7,26.1,79.3,12.5,35.6,2.9,14,"Non-profit","Palm Coast","60 MEMORIAL MEDICAL PKWY Palm Coast FL 32164",-81.1894316,29.4791799,"60 MEMORIAL MEDICAL PKWY Palm Coast FL 32164",-81.1894316,29.4791799
"PALMS OF PASADENA HOSPITAL","Acute Care Hospitals","1501 PASADENA AVE S","St. Petersburg, FL","FL",33707,"true",2,1,"st. petersburg",244769,"(27.79289497100, -82.6650743239)",19.2,24.7,19.5,32.4,61.8,6.5,9.1,6.4,71.3,75.9,65,7.2,34.3,33.3,22.3,57.8,9.7,34.6,2.9,21.5,78.7,13.4,29,79.9,12.4,38.3,3.1,15.2,"Proprietary","St. Petersburg","1501 PASADENA AVE S St. Petersburg FL 33707",-82.7310789,27.770775,"1501 PASADENA AVE S St. Petersburg FL 33707",-82.7310789,27.770775
"MORTON PLANT HOSPITAL","Acute Care Hospitals","300 PINELLAS ST","Clearwater, FL","FL",33756,"true",3,NA,"clearwater",107685,"(27.98059979190, -82.7544099135)",21.2,24.5,20,30.9,60.5,6.6,8.9,6.4,69.8,75.1,64.7,7.3,35.1,34.2,22.6,57.4,9.2,34.9,2.8,21.9,77.8,13.6,28.5,79,12.7,37.3,2.9,14.7,"Non-profit","Clearwater","300 PINELLAS ST Clearwater FL 33756",-82.7125353,28.01262385,"300 PINELLAS ST Clearwater FL 33756",-82.7125353,28.01262385
"TAMPA GENERAL HOSPITAL","Acute Care Hospitals","1 TAMPA GENERAL CIR","Tampa, FL","FL",33606,"true",2,1,"tampa",335709,"(27.99619804100, -82.4450349799)",22.6,23.7,17.5,36.3,63.7,6,9.3,6.5,70.8,74.9,62.5,7.1,31.1,29.8,19.9,56.1,11.5,34.2,3.2,23.3,77.6,13.7,30.6,79.6,13.4,37.9,3.4,16.7,"Non-profit","Tampa","1 TAMPA GENERAL CIR Tampa FL 33606",-82.4591847,27.9381269,"1 TAMPA GENERAL CIR Tampa FL 33606",-82.4591847,27.9381269
"TALLAHASSEE MEMORIAL HOSPITAL","Acute Care Hospitals","1300 MICCOSUKEE RD","Tallahassee, FL","FL",32308,"true",3,1,"tallahassee",181376,"(30.45489512110, -84.2526459938)",19.3,24.3,17.4,31.7,64.5,6.3,9.4,5.9,72.2,77.8,68.6,6.7,36.1,33.1,18.9,63.5,9.9,33.4,3.1,21.7,80.2,13.2,28.7,80.9,12.1,36.6,3.2,12.1,"Non-profit","Tallahassee","1300 MICCOSUKEE RD Tallahassee FL 32308",-84.2611236436685,30.4575137,"1300 MICCOSUKEE RD Tallahassee FL 32308",-84.2611236436685,30.4575137
"MAYO CLINIC","Acute Care Hospitals","4500 SAN PABLO RD","Jacksonville, FL","FL",32224,"true",4,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Non-profit","Jacksonville","4500 SAN PABLO RD Jacksonville FL 32224",-81.437682,30.2658808,"4500 SAN PABLO RD Jacksonville FL 32224",-81.437682,30.2658808
"LAKELAND REGIONAL MEDICAL CENTER","Acute Care Hospitals","1324 LAKELAND HILLS BLVD","Lakeland, FL","FL",33805,"true",2,1,"lakeland",97422,"(28.05584826640, -81.9539536462)",22.7,25.4,16.7,34.9,62.9,6.4,9.7,6.9,70.6,75,61.9,8.2,32.6,29.9,21.9,56.8,10.7,33.7,3.1,26,75.9,14.7,31.2,77.2,13.8,37.8,3.4,16.3,"Non-profit","Lakeland","1324 LAKELAND HILLS BLVD Lakeland FL 33805",-81.9546908,28.0606898,"1324 LAKELAND HILLS BLVD Lakeland FL 33805",-81.9546908,28.0606898
"PLANTATION GENERAL HOSPITAL","Acute Care Hospitals","401 NW 42ND AVE","Plantation, FL","FL",33317,"true",3,NA,"plantation",84955,"(26.12598539230, -80.2616762465)",16.5,21.5,18.3,27.6,59.9,6.2,8,5.4,74.4,77.5,68.7,5.3,32.3,30.4,14.6,69.5,8.5,32,2.9,19,81.9,11.1,23.7,84.2,9.9,35.7,2.5,9.1,"Proprietary","Plantation","401 NW 42ND AVE Plantation FL 33317",-80.205193,26.126466,"401 NW 42ND AVE Plantation FL 33317",-80.205193,26.126466
"BOCA RATON REGIONAL HOSPITAL","Acute Care Hospitals","800 MEADOWS RD","Boca Raton, FL","FL",33486,"true",2,1,"boca raton",84392,"(26.37490127150, -80.1078208861)",15,20.9,18.9,29.1,60.1,6.7,7.7,5.3,71.6,77.4,71.5,5.2,38,34.4,15.1,71.9,7.3,35.3,2.6,17.6,80.2,10.7,20.9,85,9.6,34.8,2.2,7.6,"Non-profit","Boca Raton","800 MEADOWS RD Boca Raton FL 33486",-80.101737,26.358767,"800 MEADOWS RD Boca Raton FL 33486",-80.101737,26.358767
"FLORIDA HOSPITAL TAMPA","Acute Care Hospitals","3100 E FLETCHER AVE","Tampa, FL","FL",33613,"true",2,1,"tampa",335709,"(27.99619804100, -82.4450349799)",22.6,23.7,17.5,36.3,63.7,6,9.3,6.5,70.8,74.9,62.5,7.1,31.1,29.8,19.9,56.1,11.5,34.2,3.2,23.3,77.6,13.7,30.6,79.6,13.4,37.9,3.4,16.7,"Non-profit","Tampa","3100 E FLETCHER AVE Tampa FL 33613",-82.423589,28.0714161,"3100 E FLETCHER AVE Tampa FL 33613",-82.423589,28.0714161
"MEMORIAL HOSPITAL JACKSONVILLE","Acute Care Hospitals","3625 UNIVERSITY BLVD S","Jacksonville, FL","FL",32216,"true",3,1,"jacksonville",821784,"(30.33198201390, -81.6752266207)",20.2,25.3,17.4,33,64.3,6.3,9.2,6.4,70.6,75.9,65.4,7.4,31.5,29.1,21.1,57.7,10.6,34.8,3.2,25.5,78.7,13.8,30.6,78.6,12.9,37.8,3.4,16,"Proprietary","Jacksonville","3625 UNIVERSITY BLVD S Jacksonville FL 32216",-81.6011644,30.2878473,"3625 UNIVERSITY BLVD S Jacksonville FL 32216",-81.6011644,30.2878473
"ST PETERSBURG GENERAL HOSPITAL","Acute Care Hospitals","6500 38TH AVE N","St. Petersburg, FL","FL",33710,"true",2,1,"st. petersburg",244769,"(27.79289497100, -82.6650743239)",19.2,24.7,19.5,32.4,61.8,6.5,9.1,6.4,71.3,75.9,65,7.2,34.3,33.3,22.3,57.8,9.7,34.6,2.9,21.5,78.7,13.4,29,79.9,12.4,38.3,3.1,15.2,"Proprietary","St. Petersburg","6500 38TH AVE N St. Petersburg FL 33710",-82.7259135,27.8064661,"6500 38TH AVE N St. Petersburg FL 33710",-82.7259135,27.8064661
