,mother_node,title_steam,app_id,user_rating,game_spcs,percent,reivew_users,keywords_list,genre_list,no_dlc,dlc_av,rank_no,current,all_time,24_peak,time_diff,YEAR,price,DATE,unique,Indie,Action_g,Adventure_g,Strategy,Simulation,RPG,Casual,Early Access,Sports,Violent,Racing,Singleplayer,Multiplayer,Great Soundtrack,Atmospheric,Story Rich,Open World,2D,Co-op,Sci-fi,Adventure_k,Fantasy,Puzzle,First-Person,Shooter,Difficult,Funny,Classic,Sandbox,Horror,Female Protagonist,FPS,Pixel Graphics,Comedy,Survival,Third Person,Anime,Platformer,Action_k,Turn-Based,Exploration,total_key,agreement,retention
529,Cube Runner,Cube Runner,567280,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards",91.0,207.0,"Action, Indie, Casual","Action, Indie, Casual",0.0,0.0,5583,14.0,370.0,42.0,145 days 00:00:00.000000000,2016.0,1.99,2016-12-13,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,3.78378378378
530,Cubicle Quest,Cubicle Quest,349500,Mostly Positive,"Single-player,Steam Trading Cards",78.0,363.0,"RPG, Indie, Simulation, RPGMaker, Comedy, Fantasy, Singleplayer, JRPG, Puzzle, Adventure, Surreal, Story Rich, Atmospheric, Difficult, Walking Simulator","Indie, RPG, Simulation",0.0,0.0,4835,22.0,270.0,48.0,802 days 00:00:00.000000000,2015.0,0.49,2015-02-25,"JRPG, Atmospheric, Fantasy, Puzzle, Singleplayer, Surreal, Adventure, Walking Simulator, RPGMaker, Story Rich, Comedy, Difficult",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.0,0.2,8.14814814815
531,Cublast HD,Cublast HD,580590,,"Single-player,Local Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support",,,"Casual, Indie, Platformer, Puzzle, Puzzle-Platformer","Indie, Casual",0.0,0.0,5369,1.0,7.0,4.0,9 days 00:00:00.000000000,2017.0,8.49,2017-04-28,"Puzzle-Platformer, Platformer, Puzzle",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,0.4,14.2857142857
532,Cursed Sight,Cursed Sight,360550,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards",90.0,110.0,"Indie, Visual Novel, Anime, Story Rich",Indie,0.0,0.0,5692,1.0,34.0,1.0,643 days 00:00:00.000000000,2015.0,6.99,2015-08-03,"Story Rich, Anime, Visual Novel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0.25,2.94117647059
533,Cuties,Cuties,479260,,"Single-player,Steam Trading Cards",42.0,21.0,"Casual, Indie, Action, Adventure","Indie, Adventure, Action, Casual",0.0,0.0,7815,18.0,702.0,35.0,343 days 00:00:00.000000000,2016.0,2.99,2016-05-29,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,2.5641025641
534,CyberLink PhotoDirector 8 Ultra,CyberLink PhotoDirector 8 Ultra,501640,,Single-player,,,"Photo Editing, Utilities, Software, Movie, Stylized, Education, Relaxing",Photo Editing,0.0,0.0,771,2.0,5.0,4.0,185 days 00:00:00.000000000,2016.0,64.99,2016-11-03,"Relaxing, Movie, Utilities, Stylized, Education, Software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.142857142857,40.0
535,CyberLink PowerDirector 15 Ultimate,CyberLink PowerDirector 15 Ultimate,501620,,,,,"Utilities, Audio Production, Video Production, Education, Software Training, Software, Action, Design & Illustration, VR","Video Production, Education, Software Training, Audio Production, Utilities",0.0,0.0,1060,6.0,16.0,10.0,142 days 00:00:00.000000000,2016.0,79.99,2016-12-16,"Action, VR, Design & Illustration, Software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,0.555555555556,37.5
536,Cyborg Detonator,Cyborg Detonator,462370,,"Single-player,Steam Achievements,Steam Trading Cards",50.0,128.0,"Casual, Puzzle, Arcade, Platformer, Replay Value, Family Friendly, Atmospheric, Fantasy, Difficult, Indie, Physics, Point & Click, Surreal, Singleplayer, Cartoony, Colorful, Comedy, Strategy, Parody, Simulation",Casual,0.0,0.0,4021,479.0,1930.0,658.0,380 days 00:00:00.000000000,2016.0,3.99,2016-04-22,"Atmospheric, Colorful, Arcade, Singleplayer, Indie, Puzzle, Simulation, Surreal, Platformer, Fantasy, Strategy, Difficult, Point & Click, Family Friendly, Comedy, Physics, Replay Value, Cartoony, Parody",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.0,0.05,24.8186528497
537,DARK SOULS II: Scholar of the First Sin,DARK SOULS II: Scholar of the First Sin,335300,Very Positive,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support",87.0,12671.0,"RPG, Dark Fantasy, Difficult, Action, Third Person, Atmospheric, Action RPG, Character Customization, Co-op, Multiplayer, Fantasy, Adventure, Medieval, Singleplayer, Dark, Remake, Lore-Rich, Story Rich, PvP, Hack and Slash","Action, RPG",0.0,0.0,129,2325.0,12106.0,2691.0,767 days 00:00:00.000000000,2015.0,39.99,2015-04-01,"Action RPG, Co-op, Atmospheric, Medieval, PvP, Singleplayer, Multiplayer, Character Customization, Lore-Rich, Dark, Fantasy, Hack and Slash, Dark Fantasy, Remake, Story Rich, Difficult, Third Person, Adventure",0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,0.1,19.2053527177
538,DARK SOULS III,DARK SOULS III,374320,Very Positive,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards",87.0,29833.0,"Dark Fantasy, Difficult, Atmospheric, RPG, Lore-Rich, Third Person, Exploration, Story Rich, PvP, Co-op, Action RPG, Adventure, Open World, Action, Great Soundtrack, Multiplayer, Singleplayer, Character Customization, Horror, Replay Value",Action,3.0,1.0,63,11818.0,129975.0,14916.0,391 days 00:00:00.000000000,2016.0,59.99,2016-04-11,"PvP, Co-op, Atmospheric, Singleplayer, Dark Fantasy, Horror, Great Soundtrack, Multiplayer, Character Customization, Lore-Rich, Exploration, Adventure, RPG, Story Rich, Action RPG, Replay Value, Third Person, Open World, Difficult",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20.0,0.05,9.09251779188
539,DARK SOULS: Prepare To Die Edition,DARK SOULS: Prepare To Die Edition,211420,Very Positive,"Single-player,Multi-player,Steam Achievements,Partial Controller Support",89.0,40785.0,"RPG, Dark Fantasy, Difficult, Action, Exploration, Fantasy, Lore-Rich, Adventure, Atmospheric, Third Person, Action RPG, Open World, Replay Value, Multiplayer, Dark, Great Soundtrack, Story Rich, Singleplayer, Medieval, Character Customization","Action, RPG",0.0,0.0,135,3492.0,11259.0,3905.0,1718 days 00:00:00.000000000,2012.0,19.99,2012-08-23,"Action RPG, Multiplayer, Atmospheric, Medieval, Singleplayer, Great Soundtrack, Lore-Rich, Character Customization, Dark Fantasy, Dark, Fantasy, Exploration, Adventure, Story Rich, Replay Value, Third Person, Open World, Difficult",0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20.0,0.1,31.0151878497
540,DEADBOLT,DEADBOLT,394970,Overwhelmingly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",96.0,1093.0,"Indie, Action, Stealth, Pixel Graphics, Great Soundtrack, 2D, Difficult, Gore, Side Scroller, Zombies, Blood, Singleplayer, Vampire, Atmospheric, Shooter, Violent, Horror","Action, Indie",0.0,0.0,2160,28.0,491.0,36.0,419 days 00:00:00.000000000,2016.0,9.99,2016-03-14,"Side Scroller, Stealth, Atmospheric, Great Soundtrack, Pixel Graphics, Horror, Shooter, Singleplayer, Vampire, 2D, Violent, Blood, Zombies, Difficult, Gore",1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17.0,0.117647058824,5.70264765784
541,DISTRAINT,DISTRAINT,395170,Overwhelmingly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",95.0,883.0,"Adventure, Indie, Casual, Horror, Psychological Horror, Pixel Graphics, 2D, Story Rich","Indie, Adventure, Casual",0.0,0.0,1621,13.0,2867.0,43.0,564 days 00:00:00.000000000,2015.0,0.99,2015-10-21,"2D, Pixel Graphics, Horror, Story Rich, Psychological Horror",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.0,0.375,0.453435647018
542,DJ Streamer,DJ Streamer,497150,Positive,"Steam Cloud,Stats",80.0,10.0,"Utilities, Audio Production","Utilities, Audio Production",0.0,0.0,5549,2.0,8.0,5.0,304 days 00:00:00.000000000,2016.0,9.99,2016-07-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,25.0
543,DLC Quest,DLC Quest,230050,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards",88.0,4738.0,"Platformer, Indie, Satire, Comedy, Short, Parody, Pixel Graphics, 2D, Singleplayer, Funny, Retro, Adventure, Exploration, Casual, Action, Side Scroller, Metroidvania, Zombies, Memes",Indie,0.0,0.0,1866,3.0,737.0,7.0,1511 days 00:00:00.000000000,2013.0,2.99,2013-03-18,"Side Scroller, Funny, Short, Singleplayer, Pixel Graphics, Parody, Satire, Metroidvania, 2D, Platformer, Exploration, Adventure, Zombies, Action, Memes, Comedy, Casual, Retro",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,19.0,0.0526315789474,0.407055630936
544,DOOM,DOOM,379720,Very Positive,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",91.0,22406.0,"FPS, Action, Gore, Demons, Shooter, First-Person, Multiplayer, Great Soundtrack, Singleplayer, Fast-Paced, Sci-fi, Classic, Horror, Atmospheric, Difficult, Remake, Zombies, Co-op, Blood, Memes",Action,3.0,1.0,159,1634.0,44271.0,1983.0,360 days 00:00:00.000000000,2016.0,59.99,2016-05-12,"Shooter, Atmospheric, Sci-fi, Great Soundtrack, Fast-Paced, Horror, Multiplayer, FPS, Singleplayer, Demons, Co-op, Blood, Zombies, Remake, First-Person, Memes, Difficult, Classic, Gore",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,20.0,0.05,3.69090375189
545,DOOM 3,DOOM 3,9050,Very Positive,"Single-player,Multi-player,Steam Cloud",88.0,1701.0,"Horror, FPS, Action, Sci-fi, Dark, First-Person, Shooter, Singleplayer, Classic, Atmospheric, Zombies, Gore, Survival Horror, Demons, Futuristic, Mars, Moddable, Multiplayer, Co-op, Adventure",Action,0.0,0.0,2358,24.0,265.0,34.0,4660 days 00:00:00.000000000,2004.0,4.99,2004-08-03,"Dark, Shooter, Atmospheric, Sci-fi, Singleplayer, Horror, Classic, Multiplayer, FPS, Demons, Moddable, Co-op, Gore, Zombies, Mars, First-Person, Survival Horror, Futuristic, Adventure",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,20.0,0.05,9.05660377358
546,DOOM II,DOOM II,2300,Very Positive,"Single-player,Multi-player,Steam Cloud",92.0,1484.0,"Classic, FPS, Action, Shooter, 1990's, Moddable, Demons, Sci-fi, Retro, Violent, First-Person, Multiplayer, Gore, Singleplayer, Zombies, Great Soundtrack, Pixel Graphics, Horror, Online Co-Op, 2.5D",Action,0.0,0.0,1769,13.0,110.0,21.0,8403 days 00:00:00.000000000,1994.0,4.99,1994-05-05,"Shooter, Sci-fi, Great Soundtrack, Pixel Graphics, Horror, Multiplayer, FPS, 1990's, Demons, Moddable, Violent, Online Co-Op, Retro, Zombies, 2.5D, First-Person, Classic, Singleplayer, Gore",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,20.0,0.05,11.8181818182
547,DRAGON BALL XENOVERSE,DRAGON BALL XENOVERSE,323470,Very Positive,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",88.0,9720.0,"Anime, Fighting, Action, Multiplayer, Character Customization, Co-op, Adventure, Singleplayer, Online Co-Op, RPG, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op",Action,3.0,1.0,2099,232.0,22850.0,251.0,801 days 00:00:00.000000000,2015.0,39.99,2015-02-26,"Action RPG, Co-op, Singleplayer, Fast-Paced, Multiplayer, Character Customization, Fighting, Dragons, Funny, Fantasy, Controller, Online Co-Op, Anime, RPG, Third Person, Beat 'em up, Local Co-Op, Open World, Adventure",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20.0,0.05,1.01531728665
548,DRAGON BALL XENOVERSE 2,DRAGON BALL XENOVERSE 2,454650,Mostly Positive,"Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards",79.0,3688.0,"Anime, Fighting, Action, Character Customization, Multiplayer, Adventure, Massively Multiplayer, Co-op, RPG, Singleplayer, Third Person, Online Co-Op, MMORPG, Great Soundtrack, Beat 'em up, Story Rich, Open World, Dragons, Casual, Heist","Massively Multiplayer, Adventure, Action, Casual",5.0,1.0,202,1206.0,19416.0,1373.0,192 days 00:00:00.000000000,2016.0,49.99,2016-10-27,"Co-op, Singleplayer, Great Soundtrack, Multiplayer, Character Customization, Fighting, Beat 'em up, Online Co-Op, Third Person, RPG, MMORPG, Story Rich, Dragons, Heist, Open World, Anime",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20.0,0.2,6.21137206428
549,DRAGON QUEST HEROES Slime Edition,DRAGON QUEST HEROES Slime Edition,410850,,"Single-player,Steam Achievements,Full controller support,Steam Cloud",67.0,685.0,"Action, Hack and Slash, JRPG, Anime, Singleplayer, RPG, Third Person, Action RPG, Dragons, Fantasy, Casual, Tower Defense","Action, RPG",0.0,0.0,409,18.0,933.0,39.0,521 days 00:00:00.000000000,2015.0,39.99,2015-12-03,"Hack and Slash, Singleplayer, Tower Defense, Dragons, Fantasy, Anime, Action RPG, Casual, Third Person, JRPG",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12.0,0.166666666667,1.92926045016
550,DUCATI - 90th Anniversary,DUCATI - 90th Anniversary,456780,,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",59.0,42.0,"Simulation, Racing, Sports","Simulation, Racing, Sports",0.0,0.0,4233,9.0,30.0,21.0,332 days 00:00:00.000000000,2016.0,1.99,2016-06-09,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,30.0
551,DUNGEONS - Steam Special Edition,DUNGEONS - Steam Special Edition,57650,,Single-player,43.0,314.0,"Strategy, RPG, Fantasy, Simulation","RPG, Strategy",2.0,1.0,4349,6.0,175.0,9.0,2278 days 00:00:00.000000000,2011.0,9.99,2011-02-10,"Fantasy, Simulation",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.5,3.42857142857
552,Damned,Damned,251170,Mostly Positive,"Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support",75.0,1718.0,"Horror, Co-op, Multiplayer, Survival, Adventure, Survival Horror, Online Co-Op, Indie, First-Person, Team-Based",Adventure,0.0,0.0,4027,10.0,1038.0,26.0,944 days 00:00:00.000000000,2014.0,19.99,2014-10-06,"Co-op, Team-Based, Indie, Horror, Multiplayer, Online Co-Op, First-Person, Survival Horror, Survival",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10.0,0.1,0.963391136802
553,Dandelion - Wishes brought to you -,Dandelion - Wishes brought to you -,321290,Very Positive,"Single-player,Steam Trading Cards,Steam Cloud",91.0,332.0,"Visual Novel, Dating Sim, Otome, Simulation, Female Protagonist, Anime, Romance",Simulation,0.0,0.0,2413,24.0,75.0,24.0,1714 days 00:00:00.000000000,2012.0,29.99,2012-08-27,"Otome, Dating Sim, Visual Novel, Romance, Anime, Female Protagonist",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.0,0.142857142857,32.0
554,Danganronpa 2: Goodbye Despair,Danganronpa 2: Goodbye Despair,413420,Overwhelmingly Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",97.0,1956.0,"Anime, Detective, Visual Novel, Mystery, Story Rich, Great Soundtrack, Singleplayer, Adventure, Psychological Horror, Horror, Dark Comedy, Memes, Atmospheric, Puzzle, Comedy, Dating Sim, Mature, Dark, Walking Simulator, Illuminati",Adventure,0.0,0.0,1363,157.0,1632.0,226.0,384 days 00:00:00.000000000,2016.0,29.99,2016-04-18,"Detective, Mystery, Dark Comedy, Atmospheric, Mature, Dating Sim, Psychological Horror, Illuminati, Horror, Great Soundtrack, Singleplayer, Visual Novel, Dark, Anime, Walking Simulator, Story Rich, Memes, Comedy, Puzzle",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,20.0,0.05,9.62009803922
555,Danganronpa: Trigger Happy Havoc,Danganronpa: Trigger Happy Havoc,413410,Overwhelmingly Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",97.0,2508.0,"Anime, Mystery, Visual Novel, Detective, Great Soundtrack, Story Rich, Singleplayer, Adventure, Psychological Horror, Horror, Dark Comedy, Dark Humor, Puzzle, Action, Point & Click, Survival, Comedy, Funny, Exploration, Memes",Adventure,0.0,0.0,425,118.0,1554.0,134.0,444 days 00:00:00.000000000,2016.0,29.99,2016-02-18,"Mystery, Detective, Dark Comedy, Story Rich, Great Soundtrack, Horror, Psychological Horror, Singleplayer, Visual Novel, Funny, Exploration, Anime, Puzzle, Dark Humor, Action, Point & Click, Memes, Comedy, Survival",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,20.0,0.05,7.59330759331
556,Danmaku Unlimited 3,Danmaku Unlimited 3,450950,Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",100.0,46.0,"Action, Indie, Shoot 'Em Up, Bullet Hell, Arcade, Sci-fi, Great Soundtrack","Action, Indie",0.0,0.0,1776,4.0,25.0,8.0,59 days 00:00:00.000000000,2017.0,6.99,2017-03-09,"Bullet Hell, Great Soundtrack, Sci-fi, Arcade, Shoot 'Em Up",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.285714285714,16.0
557,Dark Messiah of Might & Magic,Dark Messiah of Might & Magic,2100,Very Positive,"Single-player,Multi-player,Valve Anti-Cheat enabled",93.0,2105.0,"RPG, Action, First-Person, Fantasy, Adventure, Dark Fantasy, Swordplay, Magic, Classic, Multiple Endings, Stealth, Story Rich, Singleplayer, Medieval, Atmospheric, Hack and Slash, Action RPG, Gore, Multiplayer, FPS","Action, RPG",0.0,0.0,2633,37.0,551.0,59.0,3847 days 00:00:00.000000000,2006.0,9.99,2006-10-25,"Hack and Slash, Magic, Medieval, Classic, Swordplay, Multiplayer, Singleplayer, Dark Fantasy, Fantasy, Stealth, Gore, FPS, Story Rich, First-Person, Action RPG, Multiple Endings, Atmospheric, Adventure",0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0,0.1,6.71506352087
558,Dark Sector,Dark Sector,29900,Mostly Positive,"Single-player,Multi-player,Partial Controller Support",78.0,159.0,"Action, Third-Person Shooter, Singleplayer, Third Person, Shooter, Gore, Horror",Action,0.0,0.0,3766,1.0,26.0,5.0,2967 days 00:00:00.000000000,2009.0,9.99,2009-03-23,"Singleplayer, Horror, Shooter, Gore, Third Person, Third-Person Shooter",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.0,0.142857142857,3.84615384615
559,Darkest Dungeon,Darkest Dungeon,262060,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",86.0,20254.0,"Turn-Based Combat, Dark Fantasy, Dungeon Crawler, RPG, Rogue-like, Lovecraftian, Difficult, Turn-Based, Perma Death, Atmospheric, Singleplayer, Indie, Strategy, Dark, 2D, Horror, Fantasy, Rogue-lite, Gothic, Kickstarter","Indie, RPG, Strategy",1.0,1.0,184,1609.0,14819.0,1728.0,474 days 00:00:00.000000000,2016.0,24.99,2016-01-19,"Rogue-like, Perma Death, Atmospheric, Singleplayer, Kickstarter, Horror, Lovecraftian, Dark Fantasy, Dark, Fantasy, Rogue-lite, Turn-Based Combat, Turn-Based, 2D, Dungeon Crawler, Gothic, Difficult",1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,20.0,0.15,10.8576827046
560,Darkest Hour: A Hearts of Iron Game,Darkest Hour: A Hearts of Iron Game,73170,Very Positive,"Single-player,Multi-player",92.0,683.0,"Strategy, Grand Strategy, World War II, Historical, World War I, Simulation, Wargame, Military, RTS, Cold War, War, Moddable",Strategy,0.0,0.0,2943,190.0,502.0,221.0,2221 days 00:00:00.000000000,2011.0,9.99,2011-04-08,"World War I, World War II, RTS, Grand Strategy, Simulation, Moddable, Historical, Military, Cold War, Wargame, War",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0.0833333333333,37.8486055777
561,Darklands,Darklands,327930,Very Positive,Single-player,94.0,89.0,"RPG, Adventure, Classic, Open World, Medieval, Sandbox, Historical, Retro, Pixel Graphics, 1990's","RPG, Adventure",0.0,0.0,3707,1.0,52.0,4.0,9258 days 00:00:00.000000000,1992.0,6.99,1992-01-01,"Medieval, Classic, Pixel Graphics, 1990's, Sandbox, Retro, Historical, Open World",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10.0,0.2,1.92307692308
562,Darkness Assault,Darkness Assault,332790,,"Single-player,Steam Achievements,Steam Trading Cards",46.0,286.0,"Indie, Action, Violent, Gore, Horror, Survival Horror, Singleplayer, Top-Down Shooter, Female Protagonist, Psychological Horror, Survival, Puzzle, Hidden Object","Action, Indie, Violent, Gore",0.0,0.0,7560,1.0,113.0,5.0,821 days 00:00:00.000000000,2015.0,1.99,2015-02-06,"Hidden Object, Psychological Horror, Horror, Singleplayer, Survival, Survival Horror, Top-Down Shooter, Female Protagonist, Puzzle",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,13.0,0.307692307692,0.884955752212
563,Darkout,Darkout,257050,,"Single-player,Steam Achievements,Steam Trading Cards",57.0,470.0,"Sandbox, Indie, Action, Adventure, Crafting, Survival, Sci-fi, Platformer, Side Scroller, 2D, Space, Singleplayer, Procedural Generation","Action, Indie, Adventure",0.0,0.0,6378,3.0,192.0,9.0,1250 days 00:00:00.000000000,2013.0,3.74,2013-12-04,"Side Scroller, 2D, Crafting, Sci-fi, Space, Survival, Singleplayer, Sandbox, Procedural Generation, Platformer",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,13.0,0.230769230769,1.5625
564,Darksiders II Deathinitive Edition,Darksiders II Deathinitive Edition,388410,Mostly Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",75.0,2747.0,"Action, Adventure, RPG, Hack and Slash, Open World, Singleplayer, Third Person, Fantasy, Puzzle, Story Rich, Great Soundtrack, Action RPG, Parkour, Gore, Spectacle fighter, Multiplayer, Co-op, Controller","RPG, Action, Adventure",1.0,1.0,369,831.0,2927.0,1212.0,549 days 00:00:00.000000000,2015.0,29.99,2015-11-05,"Hack and Slash, Co-op, Parkour, Great Soundtrack, Puzzle, Multiplayer, Singleplayer, Fantasy, Controller, Spectacle fighter, Open World, Story Rich, Action RPG, Third Person, Gore",0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0,0.166666666667,28.3908438674
565,Darksiders Warmastered Edition,Darksiders Warmastered Edition,462780,Very Positive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",84.0,1541.0,"Action, Adventure, Hack and Slash, Violent, RPG, Third Person, Fantasy, Singleplayer, Dark Fantasy, Gore, Puzzle, Open World, Remake","Violent, Adventure, RPG, Action",0.0,0.0,406,1483.0,2904.0,2014.0,159 days 00:00:00.000000000,2016.0,19.99,2016-11-29,"Hack and Slash, Singleplayer, Puzzle, Dark Fantasy, Fantasy, Third Person, Remake, Open World, Gore",0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.0,0.307692307692,51.0674931129
