submit_date,down_votes,up_votes,meaning,date,phrase
" April 01, 2004",5485,8426,"to be down with your husband/wife no matter what, through it all the good and the bad.",Dec 8,ride or die
" December 06, 2013",5046,4139,When someone walks in front of you getting to their seats at a sports event and they choose to go facing you. If you are still sitting down then it will be their crotch to your face. This is considered poor practice and should be replaced by their backside in your face.,Dec 7,crotch-first
" July 07, 2013",5338,3881,"A fetish involving a desire to engage in sexual activity with man made constructions. These may include, buildings, houses, towers and bridges.",Dec 20,Constructophilia
" June 30, 2013",4326,6124,"The anger occurring after someone accidentally wakes you up during, or on the precipice of a nap.",Dec 19,Sleepy Bear Syndrome
" November 30, 2013",6011,4902,A group of people surround a lone person on the dancefloor and when appropriate begin twerking aggressively on the person in the middle. The tighter the circle during the twerk the better. It is typically performed during r &amp; b or rap music.,Dec 1,Circle twerk
" November 25, 2013",6098,6339,"Long winded, boring, nauseating, uninteresting description of an event or the story of someone's life.",Nov 29,story vomit
" March 23, 2003",7061,9061,"Bastardization of 'Thnx,' which is a bastardization of 'Thanx,' which is a bastardization of 'Thanks,' which is a bastardization of 'Thank You.'",Nov 28,thx
" August 05, 2013",6886,7406,Blasting such a disgusting rotten shit smelling fart that it cases people to believe there is a sewer leak in the area.,Dec 29,Sewage Fart
" March 16, 2013",6820,5528,Ruling class of wealthy spoiled children that grew old but never grew up.,Dec 28,Plutobrat
" November 22, 2013",5779,6636,"When a manager says ""we"" and means ""you""",Nov 24,managerial we
" June 03, 2013",4260,4672,What you become if someone walks close behind you to avoid getting hassled by charity collectors in the street.,Dec 16,Human charity shield
" August 31, 2011",5404,6661,when your dog hears something and its ears go up and get all stiff,Dec 5,ear boner
" December 03, 2013",5327,5461,"An Alzheimer's Purchase is when you buy something online that takes so long to be delivered, you forgot you ordered it in the first place.",Dec 4,Alzheimer's Purchase
" December 02, 2013",5106,5233,"Walking directly behind someone who is pushing through a crowd, to avoid having to push through the crowd yourself. Only works if you stay in the empty area directly behind the person in front of you. Usually done behind someone tall or buff.",Dec 3,crowd slipstreaming
" November 25, 2013",6770,4517,"An oral condition that is the undesired result of consuming too many sodium injected foods, such as ham. The main symptom of ham tongue is a perpetual and unquenchable thirst accompanied by a lack of saliva.",Nov 27,ham tongue
" February 23, 2011",6189,5682,"A common cause of stress, often leading to paralysis and even death resulting from an overloaded email inbox.",Nov 26,inboxia
" November 22, 2013",7050,5280,To bury someones face in a pile of canine of love and affection.,Nov 25,puppy bukakke
" September 11, 2013",7087,5915,When you put your troubles at the feet of Almighty Google and find yourself a miracle.,Dec 27,Praise Google Christ!
" November 20, 2013",5995,6745,"When you try to type ""Go fuck yourself"", but you auto correct turned it to that. Also can happen if you have large thumbs, and you type ""go fuck yourself""",Nov 23,go duck yourself
" July 09, 2012",6112,5683,The disorder in which a person experiences excessive anger towards those who smack their food or breathe too heavily.,Nov 22,Misophonia
" May 23, 2004",5837,6399,Sieze the night. The oposite of carpe diem. Get work done durring the night and sleep all day!,Nov 21,carpe noctem
" July 09, 2013",6575,4726,Laughing hella hard,Nov 20,lhh
" September 16, 2010",5053,4497,Being so content with your fantasy football roster that you feel the urge to masturbate to it.,Nov 19,Rosterbating
" November 13, 2013",4940,6785,Running fully clothed through a nudist colony.,Nov 17,Reverse Streaking
" October 29, 2013",4952,4404,to admire someone for their fatherly qualities; to love someone as a father figure,Dec 15,dadmire
" November 05, 2013",5320,3331,"1. camouflage consisting of red, green, and white.2. Wearing a hodgepodge of Christmas colors in an unfashionable manor.",Dec 26,christmas fatigues
" December 13, 2008",5428,6908,"It's when you see a group of girls or guys and they look hot, but when you see each person individually they are NOT, that an effect, when they are in groups they look hot.",Nov 18,Cheerleader effect
" November 09, 2013",5460,3986,"Also known as 'laptop leg', this is when your foot and/or leg goes numb because of the way you are standing/sitting. Due to your avid interest in you device, however, you don't notice until it becomes painful.",Nov 16,phone foot
" November 10, 2013",5143,4107,"When you get a larger beer/drink than what you need, or perhaps even want. The bigger the drink, the cooler the guy/girl... That's the mentality that leads to overcupensating.",Nov 15,Overcupensating
" November 10, 2013",4246,4666,"N. The markings on the body from sleeping for an extended period of time, caused by blankets, clothing, or any other thing one would sleep on. Commonly found on the chest, face, and arms.",Nov 14,sleep tattoos
" July 01, 2013",4892,4248,"When a girl (or woman that thinks she is still a girl) wears booty shorts where both cheeks are hanging out. This is is not to be confused with well known phrase ""two sheets to the wind"" signifiying that a person is drunk.",Dec 14,Two cheeks to the wind
" December 12, 2013",3782,2536,"A syndrome, usually diagnosed in single people who are subscribed to any online dating service, characterized by a persistent pattern of impulsiveness, a short attention span, and often hyperactivity, and interfering especially with ever maintaining a long and lasting relationship.",Dec 13,attention dating deficit disorder
" December 09, 2013",4742,4419,"Sin City, Nevada, where people go in the hopes of winning it big, but usually end up just losing their shirts .",Dec 11,Loss Vegas
" November 05, 2013",4080,3950,"A special occasion recognized by the Google homepage. Google traditionally commemorates the event with some kind of doodle. Sometimes its an actual holiday like Valentines day, Chinese New Year, or Independence day for another country. Sometimes its an obscure reference to someone who died over a century ago.",Nov 10,Google Holiday
" November 06, 2013",4185,4726,"noun; A fit of violent anger by an office worker due to nonperformance by equipment. Normally directed at printers, computers, phones, etc. Similar to: road rage.",Nov 13,office rage
" November 05, 2013",5223,4469,"The process of repeatedly farting into a confined space or area, or on an item so as to infuse the space or item with the pure essence of the fart musk.",Nov 12,fart reduction
" October 28, 2013",5427,5996,When something in nature looks like a dick.,Nov 3,nature's boner
" November 05, 2013",4555,4870,People who smoke crack with their favourite politician.,Nov 9,crackstituents
" November 03, 2013",5022,4765,Grab a drink or smoke a cigarette,Nov 8,bend an elbow
" November 05, 2013",4412,5333,The act of trimming ones friends lists in various social media sites.,Nov 11,Friendscaping
" October 20, 2013",5764,6307,Watching tv and letting the knowledge come to you,Oct 25,Passive learning
" October 27, 2013",5939,3873,Electronics replaced after water damage by begging the company to do it under warranty.,Nov 2,peefurbished
" October 13, 2013",4847,3646,A guy you meet at a concert or music festival that you dance (or whatever) with for one song or even the whole time you're there. Usually you pick a guy you've never seen and will probably never see again. Sometimes relationships or friendships can form. Sometimes this is more like a one night (concert) stand situation.,Oct 18,concert boyfriend
" November 03, 2013",4826,3793,"A thought that you believe to be true. The ""facts"" are completely fabricated and are supported by zero empirical evidence whatsoever. The only qualifier is that you believe the fact to be true.",Nov 7,brain fact
" October 29, 2013",10825,9582,"A Facebook friend that gives up their 'likes' almost indiscriminately. Typically they will 'like' almost any post you make, regardless of how mundane or 'unlikeworthy' it actually was.",Nov 6,easy like
" October 29, 2013",4257,4272,"The day on which you give in to your computer's non-stop reminders and install lots of updates at once. No work may be done on the computer on this day, hence it being a ""Sabbath.""",Nov 5,Download Sabbath
" October 28, 2013",4326,4648,The game I watch during a commercial break of the game I'm really watching.,Nov 4,commercial game
" October 18, 2013",6231,6314,"Maury, Jerry Springer, and any show that purposefully uses the extremely poor and/or desperate uneducated people to exploit them for the purpose of entertainment.",Oct 24,poverty porn
" October 20, 2013",5940,5837,This is the point in your life where you pour the largest amount of bullshit you can muster into a paper. And then send it to colleges.,Oct 23,College essays
" June 18, 2007",6003,6036,"NOUNwhiplash of the nipple or nipples.  Extreme soreness of the nipple or nipples from seatbelt or clothing malfunction.",Oct 22,niplash
" October 28, 2013",4872,4203,"v. int. The act of pushing one's face in between two ample breasts, and staying motionless/silent, like floating calmly on two nice soft billowy clouds. Opposite of motorboat.",Nov 1,motorfloating
" October 24, 2013",5666,4065,"A type of bad pun especially prevalent within the poor writing of low budget or basement project porn videos. These are especially noteworthy when the porno, the pun, or both are in reference to a popular slang or media element within the generation of the film's creation.",Oct 30,Bad porno pun
" October 13, 2013",5102,4896,"When someone, usually trying to be gangster, is stressing how he does not like how something is run or what they didn't do in a situation.",Oct 17,ain't about that life
" October 12, 2013",4727,3280,"The anniversary of the day you started working at a particular business. Not normally celebrated (unless it's a big one like 10 years, 20 years, etc) but sometimes acknowledged by the person, co-workers or the boss.",Oct 16,Work birthday
" October 12, 2013",4692,4431,Nerdspeak for Pabst Blue Ribbon. The chemical symbol for Phosphorus Bromide is PBr. PBR is the acronym for Pabst Blue Ribbon.,Oct 15,Phosphorus Bromide
" October 03, 2013",5931,6147,"A term used by people making Vines, to do ANYTHING it takes for entertainment or comedic purposes.",Oct 10,do it for the vine
" October 13, 2013",5516,8567,Methodically learning another person's routine in order to systematically avoid them.,Oct 21,antistalking
" October 13, 2013",5751,5368,"The inability to remember to plug a cell phone in to recharge occasionally, thus resulting in a battery-dead device.",Oct 20,charger-challenged
" October 13, 2013",5441,4696,"A loud English person, typically american.",Oct 19,anglo-klaxon
" October 23, 2013",7400,5332,Somone who has never eaten meat. A vegetarian from birth,Oct 28,Birth Vegan
" September 26, 2013",4774,3681,"When a car gets stuck between two larger trucks/trailers/etc. on single (sometimes multi-laned) roads. Often happens in industrial areas, construction zones, and around dicks.",Oct 3,Car Sandwich
" October 12, 2013",4595,4628,"One who cuddles with intent.Generally to escalate to penetration, but always to grind one's genitals against another person; regardless of their state of consciousness",Oct 14,active cuddler
" October 12, 2013",4240,4206,The red marks you get on your elbows/forearms from resting your arms on your knees after having spent a long time on the toilet.,Oct 13,Concentration marks
" October 05, 2013",5351,7056,The ability to masturbate with equal efficiency using either hand.,Oct 11,fapidextrous
" October 03, 2013",5332,5849,Noun. An exposure of breast or genitalia by a good friend.,Oct 9,friend flash
" June 17, 2013",6360,4120,"""behind paywall, didn't read""Etymology: An adaptation of tl;dr.",Oct 8,bp;dr
" October 20, 2013",6890,7325,An excuse to blow off a date or appointment.,Oct 27,wash the cat
" October 05, 2005",6439,5513,Business entity where one can purchase vehicles or have vehicle maintenance and repairs performed at exorbitant prices. Remember to bend over and bring lots of lube. Variant of dealership.,Oct 26,stealership
" June 09, 2009",4356,3773,"Noun. The microscopic particles of urine that bounce off of the urinal when urinating. Some or most of these microscopic droplets of urine end up on the urinator's pants, depending on the urinal.",Oct 2,backspray
" June 28, 2013",3149,4482,Wasting time and energy. Being generally unproductive even though you have a lot of very important stuff to do.,Oct 1,congressing
" September 26, 2013",3559,4066,"Much like in the game of chess, a bathroom stalemate is when two people are in a public restroom and neither wants to be the first to go, so both sit silently in their respective stalls as they wait for the other to leave, or for some loud noise to disguise their business.",Sep 30,bathroom stalemate
" September 26, 2013",3536,3292,Something that as soon as it is done becomes decided upon to repeat the next year and years to come. Does not necessarily have to had been done previous years to be defined an instant tradition.,Sep 29,instant tradition
" September 24, 2013",3290,3508,"Someone (usually a friend) who accompanies you to an in-person meeting arranged via Craigslist to provide support in case of anything going wrong (ex: the Craigslist person being dangerous, creepy, or a scammer). The Craigslist Bodyguard can also simply provide moral support or transportation.",Sep 26,craigslist bodyguard
" February 09, 2006",5064,4575,A member of the media who will alter their story and reporting based on financial interests or other ties with usually partisan individuals or groups.,Oct 7,presstitute
" May 26, 2006",5502,6219,you care too much about how you look. about how other people look. about what you say and do and what other people say and do. it's ocd with eyeshadow.,Oct 6,superficial
" September 27, 2013",5862,5922,"When an individual has no affinity for any sex, only love for pomegranates.",Oct 5,pomosexuality
" July 26, 2009",4866,5854,"Similar to bed time, but takes place about 5 minutes prior. It's that special time of night when, you guessed it, masterbation occurs.",Oct 4,beat time
" September 10, 2013",4754,4724,"1. People who follow the same path/live up to the same expectations as their parents2. People who fall into the expected stereotypes of a previous generation",Sep 13,generation xerox
" September 24, 2013",10512,11842,Taking on the night life after taking care of business during the day.,Sep 28,going batman
" September 24, 2013",4183,3657,A golden shower where the victim and the offender are one and the same.,Sep 27,golden selfie
" September 17, 2013",4913,6833,Someone who routinely does things that would be awesome if intentional.,Sep 22,accidental jedi
" August 09, 2013",3578,3896,"The way rejection tends to be handled by Californians, who are sunny in disposition and less brusque than East Coast residents. Instead of bluntly saying ""no,"" Californians say no by avoiding the question, forgetting to respond to emails, and generally postponing the issue. The best way to give a California no is to do nothing at all, as opposed to saying it outright.This is especially popular in the entertainment industry. For example, Everybody Loves Raymond creator Phil Rosenthal is quoted as saying: ""To me, postponing a Hollywood lunch meeting is the new passing. They figure they'll postpone you until you go away. This way, they are not saying no. If that happens more than twice -- obviously emergencies come up -- you've got to get the hint.""",Sep 12,California no
" December 14, 2011",9299,8791,Also known as dirty dancing. When a woman slams her bottom on a mans pelvic area while dancing. The man can also lunge his pelvic area forward for a harder bang. This usually performed in a dance club along with upbeat music.,Aug 30,Twerking
" September 17, 2013",5229,4410,The accepted standard that the tagged side of a towel is for designated nether-regions while the non-tagged side is reserved for the face and hair. This convention is used to avoid cross-contamination and is to be assumed as general practice. Practical in situations where one must use a borrowed or foreign towel.,Sep 21,ass-tag convention
" September 17, 2013",4604,5452,Sending the wrong text to someone when engaging in multiple text based conversations (i.e. simultexting).,Sep 20,crosstext
" September 17, 2013",5435,6289,The 12 month rule is when parents have to stop saying how many months old their baby is after they reach 1 year old. Some parents say their baby is 34 months old. They make you do extra math when they could easily say 2 years and 10 months old.,Sep 19,12 month rule
" September 10, 2013",4247,4260,"Premature Articulation is the act of speaking/bragging too soon before all the facts are in, the game is over, etc.",Sep 11,Premature Articulation
" January 09, 2011",3401,2654,Acronym for Fear of Sobering Up. Someone who has FOSU may begin their drinking with Bloody Mary's over breakfast just to ensure they're never sober.People suffering from FOSU often use boring people as a reason to get drunk in the first place.,Sep 10,FOSU
" August 09, 2013",2727,2543,This is a form of studying where one skims through a text and simply memorizes/learns everything in bold or italicized.,Sep 9,bold font method
" August 20, 2013",6798,4590,A period in which an adult man disguises himself as a woman in order to secretly spend time with his children.Not to be confused with a Tootsie weekend in which a man assumes a female identity for a short period to determine whether or not he would enjoy being a woman.,Aug 28,Doubtfire holiday
" December 14, 2008",5062,4210,"1. If A=B, and B=C, then A=C. Used in Geometry.2. If Person A hooks up with Person B, and Person B hooks up with person C, person A has hooked up with person C. This property is hated by most high school/college age persons.3. Definition 2, as a verb. To hook up with someone by the transitive property.",Aug 26,Transitive Property
" August 20, 2013",5916,6579,"The loss of feeling in the legs due to prolonged smartphone use whilst sitting down, in particular on the toilet.",Aug 25,Smartphone dead leg
" July 11, 2013",6078,5876,Unrestricted power to fart at one's own discretion. Permission to fart freely.,Aug 24,Farte Blanche
" September 15, 2013",4311,4541,"Going as friends usually is an unfortunate scenario for one party and just ok for the other. It is when (usually) a guy asks a girl that he likes on a date. But for this poor soul the girl only sees him as a friend. She will accept but as to negate the guy having any thoughts of making any sort of romantic move she labels it as going as friends. The guy, even though in the long run it is bad for him, accepts as to just get to spend time with her. This occurs commonly when a party has been placed in the friendzone.This scenario could be reversed where the girl is the guy and the guy is the girl.",Sep 16,going as friends
" September 11, 2013",5661,5195,Hyper caffeinated after drinking one too many cups of coffee in the morning,Sep 14,hopped up on the bean
" September 04, 2013",3578,3220,"When a computer virus or other malware sends junk mail to recipients on your contact list, and a correspondence results between you and someone on your contact list with whom you have not communicated in a long time.",Sep 6,Malware Reunion
" November 01, 2012",5243,3948,1) Noun; One who is addicted to watching others twerk or to dancing in the style of twerking with another.,Sep 4,Twerkaholic
" August 16, 2013",6172,4319,"A slang term for Ecstacy (MDMA) commonly used in the San Francisco Bay area of the United States. However, the slang term has become widely popular by the song ""Don't Drop That Thun Thun"" by Finatticz.",Aug 21,thun thun
" March 15, 2012",6471,4158,To change something into something better,Aug 23,Fanute
" March 08, 2003",6195,5702,"After an insult is made, make motion with hands similar to a basketball free throw and proceed to yell ""count it"" showing your superiority to whoever you just tooled on.",Aug 19,Count it
" July 09, 2013",5918,4766,The liquor one hides in a couch (and throughout the house) while pretending to be sober,Aug 18,Couch syrup
" May 21, 2010",5201,5514,That which occurs when you wipe after evacuating ones bowels only to find that there is no excrement on the paper.,Aug 17,Clean Pinch
" August 15, 2013",5012,3732,"This phrase originated with the Quakers in a 1955 pamphlet (Speak Truth to Power: A Quaker Search for an Alternative to Violence) promoting pacifism, in the belief that love can overcome hatred. It has come to mean ""speaking out to those in authority"" and is now used in politics and human rights activism.",Aug 22,Speak Truth to Power
" July 05, 2013",4867,3623,When one gets many more likes/retweets/favorites on a social networking site than usual.,Aug 5,Like shock
" June 18, 2011",3236,3426,A person that can produce their phone with lightning speed and return a text message almost instantaneously.,Aug 13,phoneslinger
" November 17, 2004",9030,16380,People often confuse this word with figuratively.,Aug 16,literally
" August 23, 2008",2923,2834,"The time after the pointless teen years in which a young person develops what are called ""standards"" and ""morals."" It is a time in which eyes are opened and ""The Truth"" suddenly becomes clear.Usually beginning when one enters college, said young person reads deep literature, searches for the meaning of life, and listens to college radio, all the while secretly becoming even more confused than when he/she was an lame 16 year old.The Post-Adolescent Idealistic Phase usually entails naive 18-20something year olds upholding hopeful, yet unrealistic morals. Often, utopian dreams can be confused for ""The Truth.""After the phase has ended, the young person must beware becoming highly hypocritical and/or jaded once life has slapped them around a bit.",Aug 15,Post-Adolescent Idealistic Phase
" July 03, 2013",7052,7197,To pleasure oneself sexually whilst washing or immersing one's body in water.,Jul 31,Masturbathe
" July 03, 2013",6320,4722,A person to whom one has at one point sent a successful social networking friends request or from whom one has accepted such request.,Jul 30,almost-quaintance
" July 01, 2013",9515,8331,The feeling after spending a lot of money on a lot of takeout food and realising afterwards that it wasn't a good idea.,Jul 22,pizza regret
" June 29, 2013",7507,6994,"A person who refuses to pay dues for a gym membership or sneaks into a gym for a workout without paying. An illegal gymagrant often convinces gym managers that they are going to ""test out the gym"" prior to signing up for an official membership where they have to pay.",Jul 21,Illegal Gymagrant
" July 08, 2013",3765,4837,When you piss on the side of the bowl of the toilet instead of the water to make less noise at night.,Aug 12,Piss Muting
" June 14, 2011",4373,2817,A shortened way of saying one is hungry.,Aug 11,Hungs
" December 11, 2011",2728,2187,"An off-shoot (or sub-culture) of the general hipster trend, but while most contemporary hipsters attempt to buy indie flavor by frequenting Urban Outfitters or American Apparel, a ""thriftster"" alternatively obtains said style by frequenting thrift stores or through general use of hand-me-downs. While shopping at the Salvation Army may have been included in the original definition of a ""hipster,"" now that mainstream commercialism has caught onto the hipster fashion trends, the term ""thriftster"" must be adopted to differentiate those who appreciate used clothing and the ideals that come along with it from the ever-increasing group of trendy 20 and 30-somethings who are content to buy the massed-produced version of this clothing without asking how it got to be there in the first place.",Aug 10,thriftster
" July 04, 2013",3508,3162,"A hug given as an unavoidable social grace even though one or both people engaged in the hug hate each other and would not willingly hug if they were alone. Characterized by being a very fast and ""going through the motions"" hug with as little contact, duration, and eye contact as possible.",Aug 14,hate hug
" November 06, 2011",8992,7747,noun. Dubstep that makes for great driving music.,Jul 17,Drivestep
" July 02, 2010",6367,7008,An medical variant of the condition known as 'tennis elbow' primarily affecting the dominant arm of hyperactive males who don't play tennis.,Jul 2,Porno elbow
" June 28, 2013",9398,8165,"Being too emotional, that eventually as a result, you fall asleep.",Jul 19,Emotionap
" June 29, 2013",7859,8257,A person's sidekick who texts for the driver.,Jul 18,textretary
" July 06, 2013",4024,3573,A politician who feels more qualified than women and their doctors to make women's health care decisions. A combination of the words gynecologist and politician.,Aug 9,gynotician
" July 06, 2013",3208,3272,Adding a large number of friends or followers on social media in the hours after returning home from summer camp.,Aug 8,Friend surge
" October 25, 2011",7834,7223,"(v) getting wild or excessively crazy. Typically used in the context of a party.It is normally followed by a prepositional phrase (For the party, In that place, On that hoe) and it is often used in the past tense (turned up). ""Turning up"" is almost never said.As far as I can tell, it is the 2011 equivalent of what Getting Crunk was in the early 2k's and late 90's.",Jul 16,Turn Up
" June 27, 2013",7630,9230,"The act of being out in a social public setting (i.e. Restaurant, Cocktail Bar, Coffee shop) and only spending time on your mobile device; not the people with or around you.",Jul 13,Nocializing
" June 27, 2013",6475,5757,Riding a motorcycle between two traffic lanes between cars.,Jul 12,lane splitting
" June 27, 2013",8063,6131,The spreading of a craving/desire for a specific food or restaurant from person to person. Usually spread almost instantaneously after leaving someone's mouth.,Jul 10,Food Herp
" June 27, 2013",6780,6989,"Cover the sound of masturbation by playing loud, shitty dubstep.",Jul 8,Wub one out
" January 10, 2009",9114,8137,A pejorative term used to describe someone who is preoccupied with self-reflection and the understanding of oneself; preoccupation with attempts at understanding the psychological and/or existential meaning of the self.,Jul 3,navel gazing
" October 24, 2009",6308,8306,"When you're with someone and run into an acquaintance of his/hers. They exchange greetings, which leads to a conversation, and you stand there smiling like a dummy wondering if you'll ever be introduced.",Jul 1,greeting orbit
" November 08, 2004",5965,7876,adjective: used in a very crowded or tight situation.,Jun 30,Nuts to Butts
" June 23, 2013",6628,6189,"Those words invented at home, and used in the family but don't have a meaning outside of the family or friendship group",Jun 28,homemade word
" June 23, 2013",5978,4594,"This person has no skill at dancing, yet will try to auto-choreograph their unholy movements to the lyrics of the song being played, often with a delay as they can't remember the lyrics, and have to come up with something on the fly as they hear it.",Jun 26,Interpretive Dunce
" November 13, 2010",6053,6569,"A large gathering of bros on a mission to do one thing, to get bombed, tanked, or wasted usually ending in some people doing something stupid.",Jun 25,Bropocalypse
" July 04, 2013",3480,3461,Someone who begins to act drunk when those around him/her are drunk but is not really intoxicated.,Aug 7,Sympathy Drunk
" June 20, 2013",5267,4907,"A serious talk between two close male friends, in which they talk about all the things going on in their life at the moment. Deep bro talks are sacred meetings, and all the things discussed during them cannot be told to anyone else without the other's consent.",Jun 23,Deep Bro Talk
" April 20, 2008",3515,4134,"When someone who is new to a social circle ends up becoming more important and loved in that group than the person who introduced them to said circle. Often times, the 'introducer' actually ends up getting kicked out of the group through a gradual phasing out. Most times friend jacking is the result of some inherent character flaw of the person who has been kicked out of the group.",Jun 15,friend jack
" June 20, 2013",4952,5775,"Piss angle is an intense math calculation that dudes use when trying not to get back-sprayed while pissing into a urinal.Pissing against the back wall of the urinal at a 90 degree angle will cause extreme backspray. Thus, a man must strategically place his piss stream onto the side wall of the urinal, prefferably at less than 20 degrees to prevent getting back-sprayed.",Jun 24,Piss Angle
" June 05, 2013",4123,4395,"The act of drinking Red Bull when you are already wide awake, simply because you like the taste.",Jun 8,Red bull without a cause
" June 18, 2013",4954,9467,"When you've finished a book and you suddenly return to the real world, but the real world feels incomplete or surreal because you're still living in the world of the book.",Jun 22,Book hangover
" June 19, 2013",4286,3726,"An individual who is assigned the task of drinking for other people because they are driving, pregnant, or have to get up early the next morning.",Jun 21,Designated Imbiber
" June 18, 2013",4104,3851,"The act of purging after drinking coffee, anally or otherwise.",Jun 20,decafate
" June 14, 2013",3293,3654,"The feeling of regret after posting a particular item on Facebook, such as a status update, photo or video.",Jun 14,Poster's Remorse
" June 12, 2013",4311,3347,To eat a large quantity of food (usually unhealthy food) rapidly due to extreme hunger.,Jun 13,Slam Nom
" June 10, 2013",3776,4042,"The act of sharing passwords for sites such as Netflix, Hulu, HBOGO, etc, in order to receive similar passwords.",Jun 12,Hipster Cable
" June 09, 2013",4412,3537,When a person has such bad teeth that it invokes a strong response.,Jun 11,Dental Damn
" March 31, 2006",3206,3355,"An insider who reveals an act, generally illegal, taking place, which the person committing the act would not wish to be public.The word comes from the idea that the whistleblower is ""blowing a whistle"" to stop the illegal action that he/she sees.",Jun 10,whistleblower
" June 07, 2013",3759,4236,The act performed on a can of Pringles when pouring the chips directly from the can into your mouth; especially when using your tongue to get the last few pieces.,Jun 9,Pringlelingus
" June 01, 2006",4582,4697,"This expression is used to describe the weather when it is raining and sunny, also referred to as a ""sunshower.""",Jun 7,devil is beating his wife
" January 16, 2008",4754,9149,"government is like a condom in that it allows for inflation, halts production, destroys subsequent generations, protects a bunch of pricks, and provides its constituents with a sense of security while they are actually being screwed.",Jun 6,government
" June 03, 2013",3135,3135,When you approach a member of the opposite sex to ask them out and they respond with a pitying smile.,Jun 5,Smilezoned
" November 30, 2012",4605,5860,"A person who holds a significant amount of money tied up in Gift Cards, Store Credit, Groupons and other forms of vouchers.",Jun 4,Gift Card Millionaire
" June 17, 2013",4510,4345,When you miss your flight from being too hungover or too drunk.,Jun 19,Irish Layover
" October 28, 2002",4282,4616,"a burp laced with a little vomit, usually occurs when you've had one too many and it has become difficult to distinguish between the two",May 31,vurp
" June 02, 2013",2982,3877,"The feeling of excitement when exacting petty revenge, or simply witnessing someone get what they deserve.",Jun 3,justice boner
" April 23, 2006",4315,3773,"An acronym - ""Sorry Mate, I Didn't See You"" is a common excuse given by cagers in car-motorcycle accidents.",Jun 1,SMIDSY
" March 10, 2011",2914,2960,When someone types what should have been a message or email in a comment on a public board (example: facebook).,Jun 18,Comment-Message
" October 02, 2005",3787,3633,A phrase used to describe the quality of work difference of that of private enterprise and the government.,Jun 17,close enough for government work
" July 26, 2010",4842,5027,"A ""Homance"" is the female equivalent of a Bromance. A homance is a strong love between two straight females, the relationship can be described as closer than friends but less than a dating relationship.",May 30,Homance
" May 28, 2013",3917,4383,"an instagram post that features the user boasting about their life, usually in the form of food or leisure/travel.",May 29,gloatgram
" September 05, 2011",3071,2945,"an individual who rides their motorcycle with complete and total disregard for the safety of themselves or others.an individual who rides purely to satisfy their own ego, refusing to shift gears because revving their engine sounds so cool.",May 28,motorpsycho
" May 24, 2013",2884,3104,The gradual yet unstoppable process by which your wife or girlfriend's clothes take over your wardrobe. It often begins by the male partner naiively agreeing that he will temporarily host a single garment because of a short term capacity issue in the female wardrobe. From this point on the male no longer has control of his wardrobe.,May 27,Wardrobe creep
" May 25, 2013",3260,3136,The belief or attitude that one is cooler than another because they pursue or pursued illicit deeds.,May 26,Immoral superiority
" February 16, 2011",3543,4345,"1.Any woman who has a deep fasination with the wonderful, beautiful, talented English stage and on-screen actor Benedict Cumberbatch.2. A refernce given to people who admire the beautiful features of Benedict Cumberbatch. ex- his green eyes, beautiful cheekbones, sexy toussled hair.3. Can be proper ladies, or ""dirty. dirty ladies"" and everyone in between.",May 25,Cumberbitch
" August 20, 2010",3759,4058,"A ringing in the ears that sounds like a hovering mosquito, brought on by the anticipation that mosquitoes WILL begin to torment you just as you are dozing off.",May 23,mosquito tinnitus
" April 06, 2010",3745,3708,A rude and age-ist accusation made by young drivers against older drivers whose speed does not exceed the legal limit.,May 22,Driving While Gray
" May 12, 2013",2585,2119,"Mass reporting of any violation of a rule while disrespecting the intent of the rule, just for the sake of getting something removed.",May 21,rulebombing
" May 19, 2013",1866,2381,A Michael Scott Racist is a generally well-intentioned person who tries so hard to be politically correct and to demonstrate that they are not racist that they show themselves to actually be racist. Named for Steve Carell's character on The Office who made a habit of being this.,May 20,Michael Scott Racist
" May 18, 2013",2185,2731,"The belief that, when high, you can speak two or more languagesCan be actual knowledge of the language that was forgotten but was remembered because your high. Or a completely false belief (when their translation has nothing to do with the actual translation)",May 19,Highlingual
" March 24, 2009",2455,3069,"The opposite of jump the shark, i.e. when a TV show goes from unspectacular/boring/outlandish to completely awesome.  It references Star Trek: The Next Generation, which was unspectacular until season 2, when Commander Riker grew a beard.  The show kicked ass from then on.",May 18,Riker's Beard
" October 09, 2006",2730,3001,A term coined by Whitney Houston in an interview by Barbara Walters. Whitney Houston was denying her drug addiction by citing the simple fact that she can afford to do BETTER drugs. ,May 17,crack is whack
" May 06, 2013",2185,2368,"The phrase that people say to their boss when they know that they have fucked up and their boss has yelled at them at them. This is the acceptable response apart from ""sorry"" that should be used when apologising to a boss. The harshness of the reason can vary from being late to shredding a court case report. The result is always the same, the accused, embarrassed and flustered, the boss, pissed off, saying ""it better not"" and the rest of the workers staring at the accused.",May 8,It won't happen again
" September 24, 2007",4106,3685,"A nap taken after someone has consumed any amount of caffeine    (i.e. coffee) resulting not in sleep, but blissful rest, while still mildly conscious.",May 7,coffee nap
" May 01, 2013",2592,2639,"The act of delivering bad or unpleasant news via email at the very last point in the day, so as to purposely avoid being there when the response is received. Usually deployed just after 5pm or before going away on holiday.",May 6,Send and run
" April 29, 2013",3035,3736,"Creating a problem that affects millions of people, then praising oneself for fixing the small part of the problem that affects you and then masturbating.Coined by Jon Stewart",May 5,Congratsturbating
