category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,US,Louis M. Martini 2014 Monte Rosso Vineyard Gnarly Vine Zinfandel (Sonoma Valley),Zinfandel,60,750 ml,90,Louis M. Martini,"Fully ripe, extracted fruit dominates in this robust, heady wine, a mixture of red berry jam and vanilla that takes on a perceptible sweetness on the palate. From the mighty mountain vineyard, it also shows dustings of dried herb and brush, an herbal undertone that balances its overall intensity.",16.20%,2014
Red,US,Mira 2012 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,95,750 ml,90,Mira,"Entirely varietal from one appellation and aged in 100% new French oak tanks for more than two years, this is a substantially robust and tannic wine, puckering somewhat on the palate. Red berry, coconut and a strong herbal component combine for a leathery grip and need for cellaring. Enjoy best from 2022 through 2030.",14.50%,2012
Red,US,Neyers 2015 Placida Pinot Noir (Russian River Valley),Pinot Noir,45,750 ml,90,Neyers,"Dense in tannin and yet bristling in acidity, this youthful wine is still looking for its ultimate identity. Still, it works, as a complex, adolescent combination of cinnamon, clove, cola and dried herb.",13.60%,2015
Red,US,Paraduxx 2013 Red (Atlas Peak),Red Blend,80,750 ml,90,Paraduxx,"This blends 51% Cabernet Sauvignon with 31% Zinfandel and 18% Sangiovese. Together they offer juicy red fruit, licorice and leather in a thickly concentrated package, ripe and full-bodied with a bright core of acidity. Mountain sage is sprinkled throughout.",14.90%,2013
Red,Portugal,Quinta da Lagoalva de Cima 2015 Lagoalva Reserva Red (Tejo),Portuguese Red,18,750 ml,90,Quinta da Lagoalva de Cima,"This is a serious blend of Alfrocheiro, Syrah and Touriga Nacional from the Lagoalva estate. Spice and wood go with dark tannins and firm red fruits. It is still a young wine with fine potential. Drink from 2019.",14%,2015
White,Portugal,Quinta do Casal Branco 2015 Falcoaria Ferno Pires (Tejo),Ferno Pires,20,750 ml,90,Quinta do Casal Branco,"Produced from 60-year-old vines, this wine has a great balance between crisp acidity and ripe yellow and white stone fruit flavors. It is rich with a touch of toast and spice from wood fermentation and aging. The wine is still young and will be better from 2018.",13%,2015
Red,US,Rock Wall 2014 Obsideana Red (Red Hills Lake County),Red Blend,25,750 ml,90,Rock Wall,"There is no denying the richness and concentration of this very full-bodied, intensely fruity, smooth-textured and sweet-seeming wine. Made from equal parts Zinfandel and Petite Sirah, it smells and tastes like chocolate and black cherries so ripe they're starting to shrivel, and has a touch of balsamic on the boysenberry-like finish.",15.20%,2014
Red,Australia,Voyager Estate 2012 Cabernet Sauvignon-Merlot (Margaret River),Cabernet Sauvignon-Merlot,70,750 ml,90,Voyager Estate,"This is labeled as Cabernet Sauvignon-Merlot, but be realistic about your expectations: This is 94% Cabernet, with only 5% Merlot and 1% Petit Verdot. Cedar, cassis, sage and bay leaf notes are classic Margaret River expressions, as is the wine's medium body and streamlined feel. It's a harmonious if not particularly flamboyant wine that will be at home with a variety of dishes. Drink now2025.",13.50%,2012
Red,US,29 & Oak Wines 2013 Proprietary Red (Napa Valley),Bordeaux-style Red Blend,45,750 ml,90,29 & Oak Wines,"Half Cabernet Sauvignon, and a quarter each of Cabernet Franc and Merlot, this wine is a smoky blend that's gamy and feral, while also pretty on the nose in violet and bramble. Red currant and red cherry fill out the midpalate with tart fruit.",13.60%,2013
White,Spain,Adega Algueira 2015 Brandan Godello (Ribeira Sacra),Godello,18,750 ml,90,Adega Algueira,Peach and nectarine aromas come with a dusty covering. This Godello feels both round and pulpy but also balanced and well cut by acidity. Dry almost briny white-fruit flavors are stony and suggest nectarine on the finish. Drink now.,12.50%,2015
Red,US,Amici 2013 Cabernet Sauvignon,Cabernet Sauvignon,125,750 ml,90,Amici,"Leathery, thick and densely concentrated, this wine has a depth of black currant, plum and wild raspberry balanced against a richer component of chocolate and black pepper.",14.60%,2013
Red,US,Ballentine 2014 Estate Grown Zinfandel (Napa Valley),Zinfandel,30,750 ml,90,Ballentine,"Rich and thick, this full-bodied, ripely bold wine has small amounts of Petite Sirah, Petit Verdot, Syrah, Merlot and Cabernet Franc. Mocha chocolate meets blackberry jam washed down in fresh-brewed coffee, making for a memorable experience.",15.30%,2014
Red,US,Beaulieu Vineyard 2014 Reserve Pinot Noir (Carneros),Pinot Noir,45,750 ml,90,Beaulieu Vineyard,"Smoky and soft, this full-bodied, rounded wine tastes of baked raspberry and vanilla, its texture velvety and likably smooth. Concentrated, it retains only moderate acidity, peaking in freshness on the finish.",14.70%,2014
Red,Spain,Bodegas Perica 2005 Via Olagosa Gran Reserva (Rioja),Tempranillo Blend,21,750 ml,90,Bodegas Perica,"Leathery oaky berry aromas are a touch gritty. Grabby tannins and blazing acidity make for a dry scratchy mouthfeel. Flavors of red plum, tomato and spiced berry fruits finish with notes of black pepper, cocoa, tree bark and coffee. Drink now through 2026.",13.50%,2005
Red,US,Big Basin 2014 Homestead Red (California),Rhne-style Red Blend,36,750 ml,90,Big Basin,"This is the culty Santa Cruz Mountains-based winery's entry level blend of 35% Mourvdre, 27% Grenache, 19% Carignane, 16% Syrah and 3% Cabernet Sauvignon, and it'll put hooks in newbies, with elegant, soft and silky aromas of violet. The palate combines the purple flowers with acai fruit flavors, making for an addictive sip.",13.90%,2014
Red,US,Brander 2014 Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,50,750 ml,90,Brander,"Blackberry juice mixes with graphite, cedar and dried herbs on this bottling by Fred Brander and Fabian Bravo, which is more focused on earth than ripe fruit. Bright boysenberry fruit is lifted on the palate by more dried herbs and hints of purple flowers.",14.10%,2014
White,US,Brander 2015 Tierra Alta Vineyard Sauvignon Blanc (Ballard Canyon),Sauvignon Blanc,24,750 ml,90,Brander,"Grass, wet concrete, bitter orange rinds, wet hay and rosemary elements show on the nose of this single vineyard bottling. There is a firm, cement-like texture to the sip, much like licking rocks, with fresh lime peel flavors. It retains freshness days after opening.",14.30%,2015
Red,US,Buena Vista 2014 Pinot Noir (Carneros),Pinot Noir,25,750 ml,90,Buena Vista,"A nutty undertow finds its way in this wine, which is marked by an earthiness of sage, clove and sous bois. Funky and desirable, it leans medium-bodied in weight and tone, with an undeniable affront of blood orange and crisp red cherry.",14.50%,2014
Red,US,Plaisance Ranch 2014 Carmenre (Applegate Valley),Carmenre,30,750 ml,90,Plaisance Ranch,"Supple and bursting with ripe purple fruits, this is a real success. The grape's stemmy and green character is held in restraint, and the purple plummy fruit flavors come through in a sweet core, surrounded with flavors of espresso, dark chocolate and stem. Well balanced and firm, this is a wine to enjoy now through 2022.",14%,2014
Red,US,Script 2013 Sommelier Series Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,35,750 ml,90,Script,"This wine is a blend of Dionysus Cabernet Sauvignon and Benches Merlot (25%). Aromas of cedar, savory herb, barrel spice and cherry are followed by plush yet tart cranberry flavors. The finish lingers.",14.60%,2013
White,France,Simonnet-Febvre 2015 Vaillons Premier Cru (Chablis),Chardonnay,33,750 ml,90,Simonnet-Febvre,"This wine is fat, fruity and creamy, with just a touch of minerality. Its ripe fullness lends plenty of depth and concentration, within a lightly structured frame. Drink from 2018.",13%,2015
Red,Portugal,Sogrape 2015 Silk & Spice Red (Portuguese Table Wine),Portuguese Red,15,750 ml,90,Sogrape,"This blend of wines from Do, Bairrada and Lisboa is ripe, full of black fruits and with subtle signs of the wood aging. Named to celebrate the Portuguese mariners who sailed to the spice islands of the East Indies, it is warm with its own spiciness as well as a juicy aftertaste. Drink now.",13%,2015
Red,US,Two Vintners 2014 Make Haste Olsen Vineyard Cinsault (Yakima Valley),Cinsault,21,750 ml,90,Two Vintners,"This is a rare single vineyard, 100% varietal bottling of Cinsault from the state. Aged 18 months in neutral oak, the focus is on freshness and purity and it brings plenty of both. Vibrant aromas of violets, potpourri, red fruit, orange peel and plum are followed by mesmerizingly pure fruit and savory flavors that linger on a long finish. A light oxidative note provides a touch of distraction.",15.30%,2014
White,France,Vignerons des Terres Secrtes 2013 Les Cras (Saint-Vran),Chardonnay,19,750 ml,90,Vignerons des Terres Secrtes,"Now perfectly ready to drink, this wine from vines close to Pouilly-Fuiss is ripe with yellow fruit, juicy acidity and a smooth texture. It has plenty of minerality to keep it bright and lively. Drink now.",13%,2013
White,France,Vignerons des Terres Secrtes 2014 Les Plants (Saint-Vran),Chardonnay,19,750 ml,90,Vignerons des Terres Secrtes,"This single-vineyard wine is rich and crisply fruity. It has the bright, tight texture of the vintage, giving a tense character while retaining the lush, poised fruit of the vintage. It's delicious now and ready to drink.",13%,2014
Red,US,29 & Oak Wines 2013 Proprietary Red (Napa Valley),Bordeaux-style Red Blend,45,750 ml,90,29 & Oak Wines,"Half Cabernet Sauvignon, and a quarter each of Cabernet Franc and Merlot, this wine is a smoky blend that's gamy and feral, while also pretty on the nose in violet and bramble. Red currant and red cherry fill out the midpalate with tart fruit.",13.60%,2013
White,Spain,Adega Algueira 2015 Brandan Godello (Ribeira Sacra),Godello,18,750 ml,90,Adega Algueira,Peach and nectarine aromas come with a dusty covering. This Godello feels both round and pulpy but also balanced and well cut by acidity. Dry almost briny white-fruit flavors are stony and suggest nectarine on the finish. Drink now.,12.50%,2015
Red,US,Amici 2013 Cabernet Sauvignon,Cabernet Sauvignon,125,750 ml,90,Amici,"Leathery, thick and densely concentrated, this wine has a depth of black currant, plum and wild raspberry balanced against a richer component of chocolate and black pepper.",14.60%,2013
Red,US,Ballentine 2014 Estate Grown Zinfandel (Napa Valley),Zinfandel,30,750 ml,90,Ballentine,"Rich and thick, this full-bodied, ripely bold wine has small amounts of Petite Sirah, Petit Verdot, Syrah, Merlot and Cabernet Franc. Mocha chocolate meets blackberry jam washed down in fresh-brewed coffee, making for a memorable experience.",15.30%,2014
Red,US,Beaulieu Vineyard 2014 Reserve Pinot Noir (Carneros),Pinot Noir,45,750 ml,90,Beaulieu Vineyard,"Smoky and soft, this full-bodied, rounded wine tastes of baked raspberry and vanilla, its texture velvety and likably smooth. Concentrated, it retains only moderate acidity, peaking in freshness on the finish.",14.70%,2014
Red,US,Judge Palmer 2013 Vintage Select Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,42,750 ml,90,Judge Palmer,"Subdued on the nose, this is a thick, juicy red made in small amounts that offers affordability within its bright streak of cassis and currant. A backbone of tannin provides strength and concentrated power.",14.50%,2013
White,Germany,Pflger 2015 Biodynamite White (Pfalz),White Blend,27,750 ml,90,Pflger,"Dusty mineral complexities juxtapose luscious melon, peach and Mandarin orange flavors in this dry-style blend of Gewrztraminer and Riesling. Perfumed on the nose and silky on the palate, it's a widely appealing wine with a brisk, composed finish. Drink now through 2020.",12.50%,2015
White,US,Epiphany 2015 Camp Four Vineyard Grenache Blanc (Santa Barbara County),Grenache Blanc,25,750 ml,90,Epiphany,"The nose on this bottling by Eli Parker and Blair Fox combines plump white-fleshed fruit with pithy aromas of orange and grapefruit. It's fresh on the palate, carving a fine line between elegant structure, bright acidity and fruit flavors of tangerine, lime, Gala apple and papaya.",13.50%,2015
White,Australia,Kilikanoon 2015 Mort's Block Riesling (Clare Valley),Riesling,20,750 ml,90,Kilikanoon,"Lime sherbet and wet-stone aromas are classic for the variety and region. This is a light- to medium-bodied wine, dry, with high acidity that drives it through a long, zesty finish. Drink it now with raw oysters or ceviche, or cellar it another five years to develop greater weight and complexity.",12.50%,2015
Red,US,Ruby 2015 Laurelwood Blend Pinot Noir (Chehalem Mountains),Pinot Noir,36,750 ml,90,Ruby,"The name references a type of soil. The flavors combine red berries and a whiff of mushroom, along with spice, orange peel and citrus. The wine seems to tighten up through the midpalate, which leaves the finish feeling a bit restrained. Try giving it a good long decanting, or cellar till 2020.",13.10%,2015
Red,US,Stonestreet 2013 Estate Vineyards Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,45,750 ml,90,Stonestreet,"Sage, brush and pencil shavings make for a savory, gravelly experience on the nose and palate of this full-bodied, high-elevation wine. Robustly tannic, it softens in the glass and on the finish in a stream of black pepper and dried herb.",14.50%,2013
Red,US,Thomas George 2014 Starr Ridge Vineyard Estate Pinot Noir (Russian River Valley),Pinot Noir,60,750 ml,90,Thomas George,"Gravelly texture and crunchy fruit combine for an intriguing experience in this wine, which offers pomegranate and cranberry tartness accented by forest floor and bay leaf. A bright streak of citrus is interwoven within.",14.30%,2014
Rose,US,Toad Hollow 2016 Eye of the Toad Dry Ros of Pinot Noir (Sonoma County),Pinot Noir,14,750 ml,90,Toad Hollow,"Candied cherry and tangerine are welcome flavors in this crisp, dry and exceptionally light and easy-drinking wine. It's bright and long-lasting in refreshment.",11.50%,2016
White,Germany,Carl Ehrhard 2015 Rdesheim Kabinett Feinherb Riesling (Rheingau),Riesling,16,750 ml,90,Carl Ehrhard,"A shade drier than the producer's regular kabinett, this feinherb offers honeyed tangerine and grapefruit flavors, with a sharper, edgier flair. It's brisk and revitalizing on the palate, finishing on an earthy, mineral tone. Drink now through 2021.",11.50%,2015
White,Germany,Domdechant Werner 2015 Hochheim Kabinett Trocken Riesling (Rheingau),Riesling,25,750 ml,90,Domdechant Werner,"Luscious, almost heaving with ripeness and alcoholic warmth, this dry-style kabinett is no shrinking violet. Its rich peach and melon flavors and bold, unabashed style are seductive though. Dense and mouthfilling, it will drink well through 2020.",14.50%,2015
White,Germany,Fitz-Ritter 2015 Drkheimer Trocken Riesling (Pfalz),Riesling,17,750 ml,90,Fitz-Ritter,"While the nose is austere, suggesting more stone than fruit, the palate of this dry-style Riesling offers loads of juicy, sunny peach and apricot flavors. It's an approachable yet elegant wine with cutting acidity and a lime-pith finish. Drink now through 2021.",12.50%,2015
White,Germany,Fritz Haag 2015 Riesling (Mosel),Riesling,22,750 ml,90,Fritz Haag,"While still a bit closed on the nose, this vibrant off-dry Riesling develops rich, concentrated strokes of tangerine and stone fruit on the palate. It's sun-kissed and cheery, balanced elegantly with pert, citrus-toned acidity.",11%,2015
Red,Portugal,Howard's Folly 2011 Sonhador Red (Alentejano),Portuguese Red,25,750 ml,90,Howard's Folly,"With David Baverstock, winemaker for Herdade do Esporo, in charge, this is a dense rich expression of ripe Alentejo wines. It has smooth tannins, with just a touch of dryness to give it shape. It also balances the black fruits with acidity and the smooth texture of wood aging. Drink now.",14%,2011
Red,US,Las Positas 2013 Coccineous Estate Red (Livermore Valley),Red Blend,45,750 ml,90,Las Positas,"This wine is dark-colored, full-flavored and firmly structured, and will pair nicely with a big protein like a grilled steak or osso buco. It does a great job of combining concntrated dark-fruit flavors with some dark chocolate, on a bracing texture of good acidity and fine-grained tannins.",14.90%,2013
Red,US,Markham 2012 The Philanthropist Yountville Estate Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,79,750 ml,90,Markham,"A scene of mushroom-filled forest is set aromatically in this estate-grown wine, rich in red fruit complemented in dried herb. Lean, with extracted tannins, it continues the thread of classic flavor in its grasp of pencil lead and tobacco.",14.50%,2012
Red,Portugal,Moucho 2013 Dom Rafael Red (Alentejo),Portuguese Red,16,750 ml,90,Moucho,"The second wine of the historic Moucho estate, this contains less Alicante Bouschet than the top wine, while still having great power and concentration. There is a crisp feel, as well as plenty of acidity and forward black-currant fruit. It will be ready to drink from 2018.",14.50%,2013
Red,US,Passaggio 2014 Connect 75.23.2 Red (Sonoma County),Bordeaux-style Red Blend,62,750 ml,90,Passaggio,"The numbers represent the grapes within: 75% Merlot, 23% Cabernet Sauvignon and 2% Petit Verdot. High in acidity, it shows a crispness of red berry, its core juicy and easy to like. Integrated oak keeps things simple and round, with leather and tobacco poking their heads on the finish.",14.20%,2014
Red,US,Prospect 772 2014 The Truant Red (California),Rhne-style Red Blend,36,750 ml,90,Prospect 772,"Vivid fruit flavors meet spicy new oak accents in this full-bodied, extroverted GSM. It smells like toasted bread, cloves and cinnamon, and tastes like ripe blackberries and smoked bacon while a very firm, grippy, nicely tannic texture completes the picture.",15%,2014
Red,Italy,Barone di Villagrande 2012 Rosso Villagrande (Etna),Red Blend,21,750 ml,90,Barone di Villagrande,"Dark-skinned berry, Mediterranean herb and forest floor aromas slowly emerge along with a balsamic note. The palate offers dried black cherry, mocha, vanilla and a hint of oak alongside fine-grained tannins that leave a firm finish.",13.50%,2012
Red,Spain,Bracamonte 2011 Crianza (Ribera del Duero),Tempranillo,18,750 ml,90,Bracamonte,"Gritty aromas of road tar share space on the nose with black cherry and dark plum scents. This feels hard and abrasive, even by Ribera del Duero standards. Plum, berry and integrated oak flavors finish savory and with a lasting note of dry oak. Drink through 2023.",14.50%,2011
White,Germany,Carl Ehrhard 2015 Rdesheim Kabinett Feinherb Riesling (Rheingau),Riesling,16,750 ml,90,Carl Ehrhard,"A shade drier than the producer's regular kabinett, this feinherb offers honeyed tangerine and grapefruit flavors, with a sharper, edgier flair. It's brisk and revitalizing on the palate, finishing on an earthy, mineral tone. Drink now through 2021.",11.50%,2015
White,Germany,Domdechant Werner 2015 Hochheim Kabinett Trocken Riesling (Rheingau),Riesling,25,750 ml,90,Domdechant Werner,"Luscious, almost heaving with ripeness and alcoholic warmth, this dry-style kabinett is no shrinking violet. Its rich peach and melon flavors and bold, unabashed style are seductive though. Dense and mouthfilling, it will drink well through 2020.",14.50%,2015
White,Germany,Fitz-Ritter 2015 Drkheimer Trocken Riesling (Pfalz),Riesling,17,750 ml,90,Fitz-Ritter,"While the nose is austere, suggesting more stone than fruit, the palate of this dry-style Riesling offers loads of juicy, sunny peach and apricot flavors. It's an approachable yet elegant wine with cutting acidity and a lime-pith finish. Drink now through 2021.",12.50%,2015
White,Germany,Fritz Haag 2015 Riesling (Mosel),Riesling,22,750 ml,90,Fritz Haag,"While still a bit closed on the nose, this vibrant off-dry Riesling develops rich, concentrated strokes of tangerine and stone fruit on the palate. It's sun-kissed and cheery, balanced elegantly with pert, citrus-toned acidity.",11%,2015
Red,Portugal,Howard's Folly 2011 Sonhador Red (Alentejano),Portuguese Red,25,750 ml,90,Howard's Folly,"With David Baverstock, winemaker for Herdade do Esporo, in charge, this is a dense rich expression of ripe Alentejo wines. It has smooth tannins, with just a touch of dryness to give it shape. It also balances the black fruits with acidity and the smooth texture of wood aging. Drink now.",14%,2011
Red,US,Las Positas 2013 Coccineous Estate Red (Livermore Valley),Red Blend,45,750 ml,90,Las Positas,"This wine is dark-colored, full-flavored and firmly structured, and will pair nicely with a big protein like a grilled steak or osso buco. It does a great job of combining concntrated dark-fruit flavors with some dark chocolate, on a bracing texture of good acidity and fine-grained tannins.",14.90%,2013
Red,US,Markham 2012 The Philanthropist Yountville Estate Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,79,750 ml,90,Markham,"A scene of mushroom-filled forest is set aromatically in this estate-grown wine, rich in red fruit complemented in dried herb. Lean, with extracted tannins, it continues the thread of classic flavor in its grasp of pencil lead and tobacco.",14.50%,2012
Red,Portugal,Moucho 2013 Dom Rafael Red (Alentejo),Portuguese Red,16,750 ml,90,Moucho,"The second wine of the historic Moucho estate, this contains less Alicante Bouschet than the top wine, while still having great power and concentration. There is a crisp feel, as well as plenty of acidity and forward black-currant fruit. It will be ready to drink from 2018.",14.50%,2013
Red,US,Passaggio 2014 Connect 75.23.2 Red (Sonoma County),Bordeaux-style Red Blend,62,750 ml,90,Passaggio,"The numbers represent the grapes within: 75% Merlot, 23% Cabernet Sauvignon and 2% Petit Verdot. High in acidity, it shows a crispness of red berry, its core juicy and easy to like. Integrated oak keeps things simple and round, with leather and tobacco poking their heads on the finish.",14.20%,2014
Red,US,Prospect 772 2014 The Truant Red (California),Rhne-style Red Blend,36,750 ml,90,Prospect 772,"Vivid fruit flavors meet spicy new oak accents in this full-bodied, extroverted GSM. It smells like toasted bread, cloves and cinnamon, and tastes like ripe blackberries and smoked bacon while a very firm, grippy, nicely tannic texture completes the picture.",15%,2014
Red,US,Provenance Vineyards 2013 Fortitude Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,225,750 ml,90,Provenance Vineyards,"Smoky tar is met by dark brick color in this serious, robust and 100% varietal wine. Jammy black cherry is complemented by chewy tannin. This is a steak wine in every way, rich and rewarding.",15.30%,2013
Red,US,Quady North 2013 Serenade Vineyard Syrah (Rogue Valley),Syrah,29,750 ml,90,Quady North,"One of a trio of very limited, single-vineyard Quady North Syrahs, this is lightly funky and compact, with lovely details throughout. Blueberry, plum and cherry fruit combine, underscored with an earthy funkiness. The yingyang of citrus and leather bounces along through the finish. Never boring, and a bit challenging, this is also a good value.",13.70%,2013
Red,US,Sojourn 2015 Pinot Noir (Sonoma Coast),Pinot Noir,39,750 ml,90,Sojourn,"This larger-production wine is sourced from several single-vineyard sites, including Rodgers Creek, Sangiacomo and Gap's Crown. Together they find unity in fruit-forward flavors of blueberry, cherry and pomegranate, the oak persistent and powerful amidst a backdrop of tight-grained tannin. The concentration is pronounced.",14.40%,2015
Red,US,Talisman 2013 Jamison Valley Vineyard Destein Estate Pinot Noir (Bennett Valley),Pinot Noir,48,750 ml,90,Talisman,"Spicy cola and strawberry form around a moderate body of ripeness and dense texture in this vineyard designate from a cool-climate appellation. Vanilla and smoke contribute additional flavor and complexity, while a sharpness of acidity finds its way on the finish.",14.40%,2013
Red,Chile,Via Bisquertt 2014 Ecos de Rulo Single Vineyard El Chequn Estate Merlot (Colchagua Valley),Merlot,20,750 ml,90,Via Bisquertt,"Gritty aromas of tire rubber, burnt meat and herbal black fruits introduce a grabby palate with lightly herbal but heavily oaked flavors of plum and berry. A firm snappy finish tastes a touch salty as well as minty. Drink through 2024.",14%,2014
Red,US,ZD 2013 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,210,750 ml,90,ZD,"Firm, generous and chalky, the tannins in this wine are profound and persistent, providing foundation for a layering of ripe, juicy black currant that's dusted in cedar and chocolate.",14.80%,2013
White,US,Z'IVO 2012 Pinot Blanc (Eola-Amity Hills),Pinot Blanc,25,750 ml,90,Z'IVO,"This late release offers a good look at how the better Oregon white wines can improve with a few additional years in the bottle. Smooth and rich, it mixes pineapple, Asian pear and honeysuckle scents and flavors. Good verve and a light, pleasant hint of fresh herb.",13.80%,2012
Red,US,Bonair 2012 Chateau Puryear Vineyard Estate Bottled Malbec (Rattlesnake Hills),Malbec,24,750 ml,90,Bonair,"A fascinating interpretation of this variety, this wine brings aromas of freshly peeled orange, sweet herb, flower and maraschino cherry. The flavors are fruit forward and plush, delivering loads of enjoyment with intriguing savory accents. It doesn't seem entirely varietal but who cares?",13.90%,2012
White,US,Brick & Mortar 2016 Vin Clair Pinot-Chardonnay (Napa Valley),Pinot-Chardonnay,28,750 ml,90,Brick & Mortar,"Clear as a white wine, this combines 53% Pinot Noir and 47% Chardonnay into a golden hay color that shows a distinct crispness and low to no oak. High acidity is further accentuated by sharp flavors of green apple and lime.",12%,2016
Rose,US,Draxton 2016 Pinot Meunier Ros (Napa Valley),Ros,18,750 ml,90,Draxton,"Not something easily found, this pink-orange wine is made from an unusual variety in its red form, let alone as a crisp, tart companion to picnic fare. Orange peel and strawberry are the highlights in this easygoing, lovable quaff.",13%,2016
White,US,Emerson 2015 Estate Viognier (Willamette Valley),Viognier,20,750 ml,90,Emerson,"Thick and lemony, this is a juicy fruit-powered style. It places its power squarely on plush fruit flavors of Meyer lemon, candied orange peel and candied pineapple. It saw no oak and needed none. Drink while it's at its freshest.",13.80%,2015
Red,Italy,Fattoria Ambra 2013 Podere Lombarda (Carmignano),Red Blend,18,750 ml,90,Fattoria Ambra,"Alluring scents of bright red berry, blue flower, dark spice and a whiff of espresso float out of the glass. The bright, savory palate delivers juicy wild cherry, cassis, clove and star anise set against firm refined tannins. It's balanced, with bright acidity. A cedar note closes the finish.",13.50%,2013
White,France,La Chablisienne 2014 Grande Cuve Premier Cru (Chablis),Chardonnay,30,750 ml,90,La Chablisienne,"A blend from different Premier Cru vineyards across Chablis, this wine is the product of the wide choice of grapes available to this cooperative. It's soft and ripe yet shows the crisper edge typical of the vintage. Drink from 2018.",13%,2014
White,US,Lafond 2015 SRH Chardonnay (Sta. Rita Hills),Chardonnay,23,750 ml,90,Lafond,"Honeyed aromas of walnut oil, baked yellow apples and sea salt show on the nose of this bottling by Bruce McGuire and crew. Juicy apple-cinnamon and pound cake flavors show on the sip, but it's the salty edge that keep it buoyant and savory, like a perfectly roasted chicken.",14.40%,2015
White,France,Nicolas Potel 2015 Meursault,Chardonnay,70,750 ml,90,Nicolas Potel,"A ripe wine full of minerality and rich white and yellow fruit, this is still young and shows great potential for serious aging. All fruit for now, it's clean and deliciously creamy and bright. Drink from 2020.",13.50%,2015
Red,US,Nine Hats 2014 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,25,750 ml,90,Nine Hats,"Pleasing aromas of herb, spice, pencil lead, vanilla and black cherry lead to full-throttle fruit flavors backed by firm hefty tannins that bring some warmth along with them. It provides a lot of quality and value, though it's not for the faint of heart.",15.50%,2014
Red,US,Oregon Territory 2015 Pinot Noir (Oregon),Pinot Noir,18,750 ml,90,Oregon Territory,"As in 2014, this budget label from Paul O'Brien winery is a stunning value in an Oregon Pinot Noir. A total of 20% of the fruit was sourced from the Willamette Valley, and all was barrel aged for 10 months in 25% new French oak. Concentrated raspberry and cherry fruit is complemented with streaks of earth and bark. The texture is compelling, and the stiff tannins will continue to soften up over the next decade or so.",14.20%,2015
Red,Italy,Re Manfredi 2012 Aglianico del Vulture,Aglianico,35,750 ml,90,Re Manfredi,"Smoke, dark plum, chopped herb, baking spice and pressed violet aromas escape the glass. The full-bodied rounded palate offers dried black cherry, blackberry extract, licorice and dried herb framed in fine-grained tannins.",14.50%,2012
Red,US,Cardinal Rule 2014 Pinot Noir (Russian River Valley),Pinot Noir,36,750 ml,90,Cardinal Rule,"Light in color and delicate in texture, this wine is bright in pomegranate and raspberry, with a spritzy, carbonic edge that brings freshness to a deep, rich finish of strawberry and tea.",14.60%,2014
Red,US,Michael David 2014 6th Sense Syrah (Lodi),Syrah,16,750 ml,90,Michael David,"Big but well poised and supple, this luxuriously ripe-tasting, mouthfilling, semisweet wine has enormous fruit flavors of black cherry and black currant wrapped in velvety, fine-grained tannins. It's so smooth that it's firm structure is not readily apparent.",15%,2014
White,US,Robert Renzoni 2016 Vermentino (Temecula Valley),Vermentino,29,750 ml,90,Robert Renzoni,"Redolent on the nose, with bright and pungent aromas of lime peel, cut grass and passion fruit, this is an indicator that Vermentino could excel in Temecula. The strong smells tighten on the sip, showing white peach and cherimoya flavors that are restrained by a sharp acidity and wool-like minerality.",13.20%,2016
Red,US,Thomas George 2014 Estate Pinot Noir (Russian River Valley),Pinot Noir,43,750 ml,90,Thomas George,"A moderate level of earthiness is found in this approachable wine, which is friendly and rounded in baked cherry, plum, cola and velvety smooth layers of texture. It pleases for its brisk acidity and integrated oak.",14%,2014
Red,Australia,Moss Wood 2011 Ribbon Vale Cabernet Sauvignon-Merlot (Margaret River),Cabernet Sauvignon-Merlot,41,750 ml,89,Moss Wood,"Already showing hints of maturity, this plush, open-knit blend of 55% Cabernet Sauvignon, 42% Merlot and 3% Cabernet Franc offers seductive aromas of cigar box, vanilla, mint and saddle leather. No, it's not a fruit-driven wine, but those savory aspects and velvety tannins will pair well with roasts or braises. Drink now2023.",14%,2011
Red,Chile,Concha y Toro 2014 Marques de Casa Concha Carmenre (Peumo),Carmenre,26,750 ml,89,Concha y Toro,"Cheesy smelling oak and slightly overripe fruit aromas are a little less than spotless on the nose. In the mouth, this is raw and saucy in feel, with biting tannins. Sauvage berry flavors are gamy, while this is drying, scratchy and rugged on the finish. Drink through 2022.",14%,2014
White,Germany,Dr. Ngler 2015 Rdesheimer Bischofsberg Kabinett Feinherb Riesling (Rheingau),Riesling,18,750 ml,89,Dr. Ngler,"Electric acidity anchors this otherwise sunny, peachy wine. Its delicately off-dry, offering just enough sweet honey and melon flavors to offset the sharp lemon and lime tones that flood the midpalate. The finish is lean and a bit steely. Drink now through 2020.",10.50%,2015
