Hourly Wages,1 Adult,1 Adult 1 Child,1 Adult 2 Children,1 Adult 3 Children,2 Adults (One Working),2 Adults (One Working) 1 Child,2 Adults (One Working) 2 Children,2 Adults (One Working) 3 Children,2 Adults,2 Adults 1 Child,2 Adults 2 Children,2 Adults 3 Children,FIPS Code,Location,year
Living Wage,$9.82,$20.28,$24.56,$30.71,$16.23,$19.53,$21.97,$24.60,$8.12,$11.33,$13.56,$15.90,13267,"Tattnall County, Georgia",2015
Living Wage,$9.02,$20.28,$24.56,$30.93,$15.99,$19.53,$21.97,$24.83,$7.99,$11.33,$13.56,$16.01,13269,"Taylor County, Georgia",2015
Living Wage,$9.54,$20.28,$24.56,$30.19,$15.84,$19.53,$21.97,$24.08,$7.92,$11.33,$13.56,$15.63,13271,"Telfair County, Georgia",2015
Living Wage,$9.86,$20.72,$25.00,$31.32,$16.55,$19.97,$22.41,$25.21,$8.27,$11.54,$13.78,$16.20,13273,"Terrell County, Georgia",2015
Living Wage,$9.83,$20.63,$24.92,$31.25,$16.12,$19.88,$22.32,$25.14,$8.06,$11.50,$13.74,$16.16,13275,"Thomas County, Georgia",2015
Living Wage,$9.80,$20.43,$24.71,$30.45,$16.10,$19.68,$22.12,$24.34,$8.05,$11.40,$13.64,$15.77,13277,"Tift County, Georgia",2015
Living Wage,$9.67,$20.28,$24.56,$30.39,$15.96,$19.53,$21.97,$24.28,$7.98,$11.33,$13.56,$15.73,13279,"Toombs County, Georgia",2015
Living Wage,$10.04,$20.74,$25.02,$30.75,$16.34,$19.99,$22.43,$24.64,$8.17,$11.55,$13.79,$15.92,13281,"Towns County, Georgia",2015
Living Wage,$9.69,$20.28,$24.56,$30.19,$15.99,$19.53,$21.97,$24.08,$7.99,$11.33,$13.56,$15.63,13283,"Treutlen County, Georgia",2015
Living Wage,$10.76,$21.43,$25.71,$32.21,$17.13,$20.68,$23.12,$26.10,$8.57,$11.90,$14.14,$16.65,13285,"Troup County, Georgia",2015
Living Wage,$9.57,$20.28,$24.56,$30.19,$15.86,$19.53,$21.97,$24.08,$7.93,$11.33,$13.56,$15.63,13287,"Turner County, Georgia",2015
Living Wage,$9.92,$20.99,$25.27,$31.68,$16.83,$20.24,$22.68,$25.58,$8.42,$11.68,$13.92,$16.38,13289,"Twiggs County, Georgia",2015
Living Wage,$9.54,$20.28,$24.56,$30.38,$15.84,$19.53,$21.97,$24.27,$7.92,$11.33,$13.56,$15.73,13291,"Union County, Georgia",2015
Living Wage,$9.82,$20.28,$24.56,$31.06,$16.23,$19.53,$21.97,$24.95,$8.12,$11.33,$13.56,$16.07,13293,"Upson County, Georgia",2015
Living Wage,$9.84,$21.11,$25.40,$31.76,$16.76,$20.36,$22.80,$25.65,$8.38,$11.74,$13.98,$16.42,13295,"Walker County, Georgia",2015
Living Wage,$11.36,$22.43,$26.71,$33.33,$18.05,$21.68,$24.12,$27.22,$9.03,$12.40,$14.64,$17.21,13297,"Walton County, Georgia",2015
Living Wage,$9.26,$20.28,$24.56,$30.19,$15.84,$19.53,$21.97,$24.08,$7.92,$11.33,$13.56,$15.63,13299,"Ware County, Georgia",2015
Living Wage,$9.82,$20.28,$24.56,$31.06,$16.14,$19.53,$21.97,$24.95,$8.07,$11.33,$13.56,$16.07,13301,"Warren County, Georgia",2015
Living Wage,$9.82,$20.28,$24.56,$30.41,$16.23,$19.53,$21.97,$24.30,$8.12,$11.33,$13.56,$15.75,13303,"Washington County, Georgia",2015
Living Wage,$9.54,$20.28,$24.56,$30.20,$15.84,$19.53,$21.97,$24.10,$7.92,$11.33,$13.56,$15.64,13305,"Wayne County, Georgia",2015
Living Wage,$9.75,$20.34,$24.63,$30.26,$16.04,$19.60,$22.03,$24.15,$8.02,$11.36,$13.59,$15.67,13307,"Webster County, Georgia",2015
Living Wage,$9.69,$20.28,$24.56,$30.93,$15.99,$19.53,$21.97,$24.83,$7.99,$11.33,$13.56,$16.01,13309,"Wheeler County, Georgia",2015
Living Wage,$10.11,$21.05,$25.33,$31.74,$16.40,$20.30,$22.74,$25.63,$8.20,$11.71,$13.95,$16.41,13311,"White County, Georgia",2015
Living Wage,$9.97,$20.72,$25.00,$30.89,$16.51,$19.97,$22.41,$24.78,$8.25,$11.54,$13.78,$15.98,13313,"Whitfield County, Georgia",2015
Living Wage,$9.54,$20.28,$24.56,$30.19,$15.84,$19.53,$21.97,$24.08,$7.92,$11.33,$13.56,$15.63,13315,"Wilcox County, Georgia",2015
Living Wage,$9.61,$20.28,$24.56,$31.06,$15.91,$19.53,$21.97,$24.95,$7.95,$11.33,$13.56,$16.07,13317,"Wilkes County, Georgia",2015
Living Wage,$9.54,$20.28,$24.56,$30.19,$15.84,$19.53,$21.97,$24.08,$7.92,$11.33,$13.56,$15.63,13319,"Wilkinson County, Georgia",2015
Living Wage,$9.86,$20.72,$25.00,$31.32,$16.55,$19.97,$22.41,$25.21,$8.27,$11.54,$13.78,$16.20,13321,"Worth County, Georgia",2015
Living Wage,$9.86,$20.72,$25.00,$31.32,$16.55,$19.97,$22.41,$25.21,$8.07,$11.54,$13.78,$16.20,10500,"Albany, GA",2015
Living Wage,$10.34,$21.30,$25.59,$31.99,$16.98,$20.55,$22.99,$25.88,$8.31,$11.84,$14.07,$16.54,12020,"Athens-Clarke County, GA",2015
Living Wage,$11.33,$22.40,$26.68,$33.29,$18.02,$21.65,$24.09,$27.18,$8.80,$12.38,$14.62,$17.19,12060,"Atlanta-Sandy Springs-Roswell, GA",2015
Living Wage,$10.26,$21.19,$25.48,$31.87,$16.98,$20.44,$22.88,$25.76,$8.27,$11.78,$14.02,$16.47,12260,"Augusta-Richmond County, GA",2015
Living Wage,$10.10,$21.03,$25.31,$31.12,$16.39,$20.28,$22.72,$25.01,$8.19,$11.70,$13.94,$16.10,15260,"Brunswick, GA",2015
Living Wage,$10.23,$21.32,$25.60,$32.11,$17.11,$20.57,$23.01,$26.01,$8.25,$11.84,$14.08,$16.60,17980,"Columbus, GA",2015
Living Wage,$9.89,$20.65,$24.93,$30.78,$16.37,$19.90,$22.34,$24.67,$8.08,$11.51,$13.75,$15.93,19140,"Dalton, GA",2015
Living Wage,$10.96,$21.83,$26.12,$32.39,$17.26,$21.08,$23.52,$26.29,$8.62,$12.10,$14.34,$16.74,23580,"Gainesville, GA",2015
Living Wage,$10.30,$21.08,$25.37,$31.92,$16.72,$20.34,$22.77,$25.81,$8.29,$11.73,$13.96,$16.50,25980,"Hinesville, GA",2015
Living Wage,$9.89,$20.94,$25.23,$31.67,$16.80,$20.20,$22.63,$25.56,$8.08,$11.66,$13.89,$16.37,31420,"Macon, GA",2015
Living Wage,$10.38,$21.42,$25.70,$31.61,$16.68,$20.67,$23.11,$25.50,$8.33,$11.90,$14.13,$16.34,40660,"Rome, GA",2015
Living Wage,$10.87,$22.47,$26.75,$33.44,$18.09,$21.72,$24.16,$27.34,$8.57,$12.42,$14.66,$17.26,42340,"Savannah, GA",2015
Living Wage,$10.57,$21.25,$25.53,$31.57,$16.87,$20.50,$22.94,$25.46,$8.42,$11.81,$14.05,$16.32,46660,"Valdosta, GA",2015
Living Wage,$10.63,$21.56,$25.84,$32.06,$17.09,$20.81,$23.25,$25.95,$8.45,$11.97,$14.20,$16.57,47580,"Warner Robins, GA",2015
Living Wage,$14.23,$28.52,$35.46,$47.90,$21.79,$26.77,$29.39,$35.93,$10.89,$15.58,$19.12,$24.60,15,Hawaii,2015
Living Wage,$11.59,$25.15,$32.09,$42.26,$19.63,$23.40,$26.02,$30.29,$9.81,$13.90,$17.43,$21.78,15001,"Hawaii County, Hawaii",2015
Living Wage,$14.92,$29.45,$36.38,$49.53,$22.42,$27.69,$30.32,$37.56,$11.21,$16.05,$19.58,$25.42,15003,"Honolulu County, Hawaii",2015
Living Wage,$9.72,$21.84,$28.78,$37.70,$16.82,$20.09,$22.71,$25.73,$8.41,$12.24,$15.78,$19.50,15005,"Kalawao County, Hawaii",2015
Living Wage,$12.54,$25.61,$32.55,$42.99,$19.35,$23.86,$26.49,$31.02,$9.68,$14.13,$17.66,$22.15,15007,"Kauai County, Hawaii",2015
Living Wage,$12.38,$25.89,$32.82,$43.50,$19.85,$24.13,$26.76,$31.53,$9.92,$14.27,$17.80,$22.40,15009,"Maui County, Hawaii",2015
Living Wage,$12.38,$25.89,$32.82,$43.50,$19.85,$24.13,$26.76,$31.53,$9.57,$14.27,$17.80,$22.40,27980,"Kahului-Wailuku-Lahaina, HI",2015
Living Wage,$14.92,$29.45,$36.38,$49.53,$22.42,$27.69,$30.32,$37.56,$10.84,$16.05,$19.58,$25.42,46520,"Urban Honolulu, HI",2015
Living Wage,$9.89,$21.51,$26.34,$33.62,$16.92,$20.92,$23.53,$27.01,$8.46,$12.07,$14.55,$17.46,16,Idaho,2015
Living Wage,$9.69,$21.63,$26.46,$33.96,$17.07,$21.04,$23.65,$27.35,$8.53,$12.13,$14.61,$17.63,16001,"Ada County, Idaho",2015
Living Wage,$9.91,$21.02,$25.85,$33.07,$16.35,$20.43,$23.05,$26.46,$8.18,$11.83,$14.30,$17.18,16003,"Adams County, Idaho",2015
Living Wage,$9.33,$21.02,$25.85,$33.07,$16.40,$20.43,$23.05,$26.46,$8.20,$11.83,$14.30,$17.18,16005,"Bannock County, Idaho",2015
Living Wage,$9.91,$21.02,$25.85,$33.07,$16.35,$20.43,$23.05,$26.46,$8.18,$11.83,$14.30,$17.18,16007,"Bear Lake County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$32.52,$16.79,$20.43,$23.05,$25.90,$8.39,$11.83,$14.30,$16.91,16009,"Benewah County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$33.07,$16.76,$20.43,$23.05,$26.46,$8.38,$11.83,$14.30,$17.18,16011,"Bingham County, Idaho",2015
Living Wage,$11.49,$23.00,$27.83,$35.50,$17.94,$22.42,$25.03,$28.89,$8.97,$12.82,$15.30,$18.40,16013,"Blaine County, Idaho",2015
Living Wage,$9.69,$21.63,$26.46,$33.96,$17.07,$21.04,$23.65,$27.35,$8.53,$12.13,$14.61,$17.63,16015,"Boise County, Idaho",2015
Living Wage,$10.18,$21.63,$26.46,$33.88,$17.30,$21.04,$23.65,$27.27,$8.65,$12.13,$14.61,$17.59,16017,"Bonner County, Idaho",2015
Living Wage,$9.58,$21.22,$26.05,$33.09,$16.50,$20.64,$23.25,$26.48,$8.25,$11.93,$14.41,$17.19,16019,"Bonneville County, Idaho",2015
Living Wage,$9.91,$21.02,$25.85,$32.11,$16.35,$20.43,$23.05,$25.50,$8.18,$11.83,$14.30,$16.70,16021,"Boundary County, Idaho",2015
Living Wage,$10.01,$21.02,$25.85,$32.97,$16.46,$20.43,$23.05,$26.36,$8.23,$11.83,$14.30,$17.14,16023,"Butte County, Idaho",2015
Living Wage,$10.14,$21.05,$25.88,$32.73,$16.59,$20.47,$23.08,$26.11,$8.29,$11.84,$14.32,$17.01,16025,"Camas County, Idaho",2015
Living Wage,$9.69,$21.63,$26.46,$33.96,$17.07,$21.04,$23.65,$27.35,$8.53,$12.13,$14.61,$17.63,16027,"Canyon County, Idaho",2015
Living Wage,$10.12,$21.02,$25.85,$32.76,$16.56,$20.43,$23.05,$26.14,$8.28,$11.83,$14.30,$17.03,16029,"Caribou County, Idaho",2015
Living Wage,$9.33,$21.02,$25.85,$33.07,$16.37,$20.43,$23.05,$26.46,$8.18,$11.83,$14.30,$17.18,16031,"Cassia County, Idaho",2015
Living Wage,$10.12,$21.02,$25.85,$33.07,$16.56,$20.43,$23.05,$26.46,$8.28,$11.83,$14.30,$17.18,16033,"Clark County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$32.67,$16.79,$20.43,$23.05,$26.05,$8.39,$11.83,$14.30,$16.98,16035,"Clearwater County, Idaho",2015
Living Wage,$9.91,$21.02,$25.85,$32.65,$16.35,$20.43,$23.05,$26.04,$8.18,$11.83,$14.30,$16.98,16037,"Custer County, Idaho",2015
Living Wage,$10.10,$21.29,$26.12,$33.27,$16.55,$20.70,$23.31,$26.65,$8.28,$11.96,$14.44,$17.28,16039,"Elmore County, Idaho",2015
Living Wage,$10.01,$21.06,$25.89,$32.98,$16.45,$20.47,$23.08,$26.37,$8.23,$11.84,$14.32,$17.14,16041,"Franklin County, Idaho",2015
Living Wage,$10.07,$21.23,$26.07,$32.38,$16.52,$20.65,$23.26,$25.77,$8.26,$11.93,$14.41,$16.84,16043,"Fremont County, Idaho",2015
Living Wage,$9.38,$21.11,$25.94,$33.20,$16.42,$20.53,$23.14,$26.59,$8.21,$11.87,$14.35,$17.25,16045,"Gem County, Idaho",2015
Living Wage,$10.08,$21.02,$25.85,$32.78,$16.52,$20.43,$23.05,$26.17,$8.26,$11.83,$14.30,$17.04,16047,"Gooding County, Idaho",2015
Living Wage,$10.01,$21.02,$25.85,$32.76,$16.46,$20.43,$23.05,$26.15,$8.23,$11.83,$14.30,$17.03,16049,"Idaho County, Idaho",2015
Living Wage,$9.58,$21.22,$26.05,$33.09,$16.50,$20.64,$23.25,$26.48,$8.25,$11.93,$14.41,$17.19,16051,"Jefferson County, Idaho",2015
Living Wage,$9.60,$21.02,$25.85,$33.00,$16.48,$20.43,$23.05,$26.39,$8.24,$11.83,$14.30,$17.15,16053,"Jerome County, Idaho",2015
Living Wage,$10.05,$21.67,$26.50,$33.79,$17.08,$21.09,$23.70,$27.17,$8.54,$12.15,$14.63,$17.54,16055,"Kootenai County, Idaho",2015
Living Wage,$10.22,$21.20,$26.03,$33.33,$16.67,$20.61,$23.22,$26.71,$8.33,$11.91,$14.39,$17.31,16057,"Latah County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$33.07,$16.79,$20.43,$23.05,$26.46,$8.39,$11.83,$14.30,$17.18,16059,"Lemhi County, Idaho",2015
Living Wage,$10.22,$21.02,$25.85,$33.07,$16.68,$20.43,$23.05,$26.46,$8.34,$11.83,$14.30,$17.18,16061,"Lewis County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$32.58,$16.79,$20.43,$23.05,$25.97,$8.39,$11.83,$14.30,$16.94,16063,"Lincoln County, Idaho",2015
Living Wage,$10.16,$21.13,$25.96,$33.23,$16.61,$20.55,$23.16,$26.62,$8.30,$11.88,$14.36,$17.27,16065,"Madison County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$33.07,$16.79,$20.43,$23.05,$26.46,$8.39,$11.83,$14.30,$17.18,16067,"Minidoka County, Idaho",2015
Living Wage,$9.60,$21.36,$26.19,$32.75,$16.76,$20.77,$23.38,$26.14,$8.38,$11.99,$14.47,$17.02,16069,"Nez Perce County, Idaho",2015
Living Wage,$10.19,$21.02,$25.85,$32.91,$16.79,$20.43,$23.05,$26.30,$8.39,$11.83,$14.30,$17.11,16071,"Oneida County, Idaho",2015
Living Wage,$9.69,$21.63,$26.46,$33.96,$17.07,$21.04,$23.65,$27.35,$8.53,$12.13,$14.61,$17.63,16073,"Owyhee County, Idaho",2015
Living Wage,$10.08,$21.26,$26.09,$33.11,$16.54,$20.68,$23.29,$26.50,$8.27,$11.95,$14.42,$17.20,16075,"Payette County, Idaho",2015
Living Wage,$9.33,$21.02,$25.85,$33.07,$16.40,$20.43,$23.05,$26.46,$8.20,$11.83,$14.30,$17.18,16077,"Power County, Idaho",2015
Living Wage,$9.89,$21.02,$25.85,$32.29,$16.67,$20.43,$23.05,$25.68,$8.33,$11.83,$14.30,$16.79,16079,"Shoshone County, Idaho",2015
Living Wage,$10.93,$21.94,$26.77,$33.76,$17.56,$21.35,$23.96,$27.15,$8.78,$12.28,$14.76,$17.53,16081,"Teton County, Idaho",2015
Living Wage,$9.86,$21.16,$25.99,$32.58,$16.59,$20.57,$23.18,$25.96,$8.29,$11.89,$14.37,$16.94,16083,"Twin Falls County, Idaho",2015
Living Wage,$9.95,$21.30,$26.13,$33.48,$17.03,$20.72,$23.33,$26.87,$8.52,$11.97,$14.44,$17.39,16085,"Valley County, Idaho",2015
Living Wage,$9.91,$21.02,$25.85,$33.07,$16.35,$20.43,$23.05,$26.46,$8.18,$11.83,$14.30,$17.18,16087,"Washington County, Idaho",2015
Living Wage,$9.68,$21.61,$26.44,$33.94,$17.05,$21.03,$23.64,$27.33,$8.05,$12.12,$14.60,$17.62,14260,"Boise City, ID",2015
Living Wage,$10.05,$21.67,$26.50,$33.79,$17.08,$21.09,$23.70,$27.17,$8.23,$12.15,$14.63,$17.54,17660,"Coeur d'Alene, ID",2015
Living Wage,$9.59,$21.22,$26.05,$33.09,$16.50,$20.63,$23.24,$26.48,$8.01,$11.92,$14.40,$17.19,26820,"Idaho Falls, ID",2015
Living Wage,$9.60,$21.36,$26.19,$32.75,$16.76,$20.77,$23.38,$26.14,$8.01,$11.99,$14.47,$17.02,30300,"Lewiston, ID",2015
Living Wage,$9.33,$21.02,$25.85,$33.07,$16.40,$20.43,$23.05,$26.46,$7.88,$11.83,$14.30,$17.18,38540,"Pocatello, ID",2015
Living Wage,$11.45,$24.11,$30.21,$38.50,$18.86,$22.35,$24.79,$27.79,$9.43,$13.26,$16.39,$19.79,17,Illinois,2015
Living Wage,$9.48,$22.11,$28.20,$36.28,$16.85,$20.35,$22.79,$25.57,$8.42,$12.26,$15.38,$18.68,17001,"Adams County, Illinois",2015
Living Wage,$9.37,$21.93,$28.02,$35.70,$16.71,$20.16,$22.61,$24.99,$8.35,$12.17,$15.29,$18.39,17003,"Alexander County, Illinois",2015
Living Wage,$10.03,$22.57,$28.66,$36.28,$17.18,$20.80,$23.25,$25.57,$8.59,$12.49,$15.61,$18.68,17005,"Bond County, Illinois",2015
Living Wage,$10.04,$22.61,$28.70,$36.91,$17.24,$20.85,$23.29,$26.20,$8.62,$12.51,$15.64,$18.99,17007,"Boone County, Illinois",2015
Living Wage,$12.09,$26.50,$32.60,$41.18,$20.09,$24.74,$27.18,$30.47,$10.05,$14.46,$17.58,$21.13,17009,"Brown County, Illinois",2015
Living Wage,$9.51,$22.16,$28.25,$36.37,$16.93,$20.40,$22.84,$25.66,$8.47,$12.29,$15.41,$18.72,17011,"Bureau County, Illinois",2015
Living Wage,$10.38,$23.10,$29.19,$37.25,$17.77,$21.34,$23.78,$26.54,$8.89,$12.76,$15.88,$19.16,17013,"Calhoun County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17015,"Carroll County, Illinois",2015
Living Wage,$9.92,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17017,"Cass County, Illinois",2015
Living Wage,$10.30,$22.97,$29.06,$37.01,$17.91,$21.21,$23.65,$26.30,$8.95,$12.69,$15.82,$19.04,17019,"Champaign County, Illinois",2015
Living Wage,$9.96,$21.95,$28.04,$35.51,$16.72,$20.18,$22.63,$24.80,$8.36,$12.18,$15.30,$18.29,17021,"Christian County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17023,"Clark County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$17.11,$20.13,$22.57,$24.73,$8.56,$12.15,$15.28,$18.26,17025,"Clay County, Illinois",2015
Living Wage,$10.38,$23.10,$29.19,$37.25,$17.77,$21.34,$23.78,$26.54,$8.89,$12.76,$15.88,$19.16,17027,"Clinton County, Illinois",2015
Living Wage,$9.93,$21.91,$28.00,$36.40,$16.70,$20.14,$22.59,$25.69,$8.35,$12.16,$15.28,$18.74,17029,"Coles County, Illinois",2015
Living Wage,$12.19,$24.91,$31.00,$39.40,$19.66,$23.14,$25.59,$28.69,$9.83,$13.66,$16.78,$20.24,17031,"Cook County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$36.29,$17.11,$20.13,$22.57,$25.58,$8.56,$12.15,$15.28,$18.68,17033,"Crawford County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.90,$17.11,$20.13,$22.57,$25.18,$8.56,$12.15,$15.28,$18.48,17035,"Cumberland County, Illinois",2015
Living Wage,$10.62,$23.48,$29.57,$38.41,$18.05,$21.72,$24.16,$27.69,$9.02,$12.94,$16.07,$19.74,17037,"DeKalb County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.71,$16.68,$20.13,$22.57,$24.99,$8.34,$12.15,$15.28,$18.39,17039,"De Witt County, Illinois",2015
Living Wage,$9.92,$22.32,$28.42,$35.98,$17.00,$20.56,$23.01,$25.27,$8.50,$12.37,$15.49,$18.53,17041,"Douglas County, Illinois",2015
Living Wage,$12.19,$24.91,$31.00,$39.40,$19.66,$23.14,$25.59,$28.69,$9.83,$13.66,$16.78,$20.24,17043,"DuPage County, Illinois",2015
Living Wage,$9.95,$21.89,$27.99,$35.98,$16.71,$20.13,$22.57,$25.27,$8.35,$12.15,$15.28,$18.53,17045,"Edgar County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$16.95,$20.13,$22.57,$24.73,$8.48,$12.15,$15.28,$18.26,17047,"Edwards County, Illinois",2015
Living Wage,$9.92,$21.89,$27.99,$36.38,$16.68,$20.13,$22.57,$25.67,$8.34,$12.15,$15.28,$18.73,17049,"Effingham County, Illinois",2015
Living Wage,$10.02,$21.89,$27.99,$35.45,$17.00,$20.13,$22.57,$24.73,$8.50,$12.15,$15.28,$18.26,17051,"Fayette County, Illinois",2015
Living Wage,$10.30,$22.97,$29.06,$37.01,$17.91,$21.21,$23.65,$26.30,$8.95,$12.69,$15.82,$19.04,17053,"Ford County, Illinois",2015
Living Wage,$9.35,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17055,"Franklin County, Illinois",2015
Living Wage,$10.08,$21.89,$27.99,$35.59,$16.84,$20.13,$22.57,$24.88,$8.42,$12.15,$15.28,$18.33,17057,"Fulton County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$36.38,$17.11,$20.13,$22.57,$25.67,$8.56,$12.15,$15.28,$18.73,17059,"Gallatin County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$17.11,$20.13,$22.57,$24.73,$8.56,$12.15,$15.28,$18.26,17061,"Greene County, Illinois",2015
Living Wage,$10.54,$23.90,$29.99,$39.27,$18.16,$22.13,$24.58,$28.56,$9.08,$13.15,$16.28,$20.17,17063,"Grundy County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$17.11,$20.13,$22.57,$24.73,$8.56,$12.15,$15.28,$18.26,17065,"Hamilton County, Illinois",2015
Living Wage,$9.35,$21.89,$27.99,$35.45,$16.94,$20.13,$22.57,$24.73,$8.47,$12.15,$15.28,$18.26,17067,"Hancock County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17069,"Hardin County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$17.04,$20.13,$22.57,$24.74,$8.52,$12.15,$15.28,$18.26,17071,"Henderson County, Illinois",2015
Living Wage,$9.82,$22.41,$28.50,$36.56,$17.26,$20.65,$23.09,$25.85,$8.63,$12.41,$15.53,$18.82,17073,"Henry County, Illinois",2015
Living Wage,$9.95,$21.89,$27.99,$36.01,$16.71,$20.13,$22.57,$25.29,$8.35,$12.15,$15.28,$18.54,17075,"Iroquois County, Illinois",2015
Living Wage,$9.65,$22.26,$28.35,$36.25,$16.96,$20.50,$22.94,$25.53,$8.48,$12.34,$15.46,$18.66,17077,"Jackson County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$36.38,$17.11,$20.13,$22.57,$25.67,$8.56,$12.15,$15.28,$18.73,17079,"Jasper County, Illinois",2015
Living Wage,$10.04,$21.89,$27.99,$35.86,$16.91,$20.13,$22.57,$25.15,$8.46,$12.15,$15.28,$18.47,17081,"Jefferson County, Illinois",2015
Living Wage,$10.38,$23.10,$29.19,$37.25,$17.77,$21.34,$23.78,$26.54,$8.89,$12.76,$15.88,$19.16,17083,"Jersey County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.78,$17.11,$20.13,$22.57,$25.07,$8.56,$12.15,$15.28,$18.43,17085,"Jo Daviess County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$17.11,$20.13,$22.57,$24.73,$8.56,$12.15,$15.28,$18.26,17087,"Johnson County, Illinois",2015
Living Wage,$12.19,$24.91,$31.00,$39.40,$19.66,$23.14,$25.59,$28.69,$9.83,$13.66,$16.78,$20.24,17089,"Kane County, Illinois",2015
Living Wage,$10.42,$23.69,$29.78,$38.63,$18.12,$21.92,$24.37,$27.92,$9.06,$13.05,$16.17,$19.85,17091,"Kankakee County, Illinois",2015
Living Wage,$11.44,$25.41,$31.51,$41.57,$19.38,$23.65,$26.10,$30.86,$9.69,$13.91,$17.04,$21.32,17093,"Kendall County, Illinois",2015
Living Wage,$9.35,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17095,"Knox County, Illinois",2015
Living Wage,$12.19,$24.91,$31.00,$39.40,$19.66,$23.14,$25.59,$28.69,$9.83,$13.66,$16.78,$20.24,17097,"Lake County, Illinois",2015
Living Wage,$9.67,$22.44,$28.54,$36.69,$17.09,$20.68,$23.12,$25.98,$8.54,$12.43,$15.55,$18.88,17099,"La Salle County, Illinois",2015
Living Wage,$10.23,$21.89,$27.99,$36.38,$17.11,$20.13,$22.57,$25.67,$8.56,$12.15,$15.28,$18.73,17101,"Lawrence County, Illinois",2015
Living Wage,$10.11,$21.92,$28.01,$36.19,$16.87,$20.16,$22.60,$25.48,$8.44,$12.17,$15.29,$18.63,17103,"Lee County, Illinois",2015
Living Wage,$9.98,$22.14,$28.24,$36.22,$16.92,$20.38,$22.82,$25.51,$8.46,$12.28,$15.40,$18.65,17105,"Livingston County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$36.05,$16.68,$20.13,$22.57,$25.33,$8.34,$12.15,$15.28,$18.56,17107,"Logan County, Illinois",2015
Living Wage,$9.59,$22.25,$28.35,$36.54,$17.07,$20.49,$22.93,$25.83,$8.54,$12.33,$15.46,$18.81,17115,"Macon County, Illinois",2015
Living Wage,$9.59,$21.89,$27.99,$36.30,$16.76,$20.13,$22.57,$25.59,$8.38,$12.15,$15.28,$18.69,17117,"Macoupin County, Illinois",2015
Living Wage,$10.38,$23.10,$29.19,$37.25,$17.77,$21.34,$23.78,$26.54,$8.89,$12.76,$15.88,$19.16,17119,"Madison County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$36.18,$16.77,$20.13,$22.57,$25.46,$8.39,$12.15,$15.28,$18.62,17121,"Marion County, Illinois",2015
Living Wage,$9.67,$22.43,$28.53,$36.34,$17.28,$20.67,$23.12,$25.63,$8.64,$12.42,$15.55,$18.71,17123,"Marshall County, Illinois",2015
Living Wage,$9.63,$21.89,$27.99,$35.45,$16.68,$20.13,$22.57,$24.73,$8.34,$12.15,$15.28,$18.26,17125,"Mason County, Illinois",2015
Living Wage,$9.81,$22.16,$28.25,$35.78,$16.89,$20.40,$22.84,$25.06,$8.44,$12.29,$15.41,$18.42,17127,"Massac County, Illinois",2015
Living Wage,$9.65,$22.41,$28.50,$36.12,$17.07,$20.65,$23.09,$25.41,$8.53,$12.41,$15.53,$18.60,17109,"McDonough County, Illinois",2015
Living Wage,$12.19,$24.91,$31.00,$39.40,$19.66,$23.14,$25.59,$28.69,$9.83,$13.66,$16.78,$20.24,17111,"McHenry County, Illinois",2015
Living Wage,$10.45,$22.85,$28.95,$37.46,$17.50,$21.09,$23.53,$26.75,$8.75,$12.63,$15.76,$19.27,17113,"McLean County, Illinois",2015
