Cuisine,Price,Michelin_star_review,Michelin_star,Address,Standard,Review,Retaurant_name,location
American,"$25,$49",none,Good standard.,"775 Washington St., New York 10014",none,"
			When New Yorkers dream of living in the West Village, Barbuto has a place in that dream, too. Springtime lunches with garage doors open to the sidewalk, and a feast of refined, simple dishes have earned Jonathan Waxman a devoted following in a neighborhood already full of charming restaurants. Casually professional service and the dimly lit dining room's dose of California cool enhance the experience. Barbuto's roast chicken deserves its legendary status, but other dishes tempt too. A cavolo nero salad of thinly sliced black kale and crunchy breadcrumbs tossed in a creamy dressing of anchovies and pecorino puts the average kale salad to shame. Linguini is coated with black pepper, egg, pancetta, and cheese in one indelible plate of carbonara.
				","
	Barbuto
","ctions"":{""model"":""pois"
American,"$25,$49",none,Good standard.,"89 Greenwich Ave., New York 10014",none,"
			Creamy walls and lime green wainscoting frame this cozy and comfortable little slice of Americana that has been pleasing Greenwich Village residents since 2000. Good also happens to be great for date night-the intimate bar pours top-shelf spirits and the muted dining room is dressed with crisp white linens. Everything has a certain serenity, even when it's bubbling at happy hour. Chef/owner Steven J. Picker's menu puts his own signature on tempting seasonal cooking. Beautifully seared squid and Japanese eggplant grilled until silky are adorned with summer beans, cherry tomatoes, and mint. Turkey scallopini is crisp and light, set atop a bed of frisée, shaved celery, and ricotta salata. Long live the tortilla-crusted, jalapeño-kicked mac and cheese!
				","
	Good
","aurant"",""id"":""40.73745"
American,"$50,$74",none,Good standard.,"283 W. 12th St., New York 10014",none,"
			Blenheim's been buzzing around the food world for good reason. Clearly, it takes its farm-to-table ethos seriously as the restaurant draws vegetables and livestock of guinea hens, black angus beef and heritage pig from its very own farm upstate. There may be no more genuine expression of this kitchen than the farm eggs-their yolk bright, orange and fresh. Other technically impressive dishes may highlight chestnut pappardelle with pork ragout, or braised beef short rib paired with roasted sunchoke and maitake mushrooms. Combined with a sultry and chic interior, featuring plush upholstery, pearly white bar stools, and smoky globes that drop down over tables, the effect is sublime. Date-night material, indeed.
				","
	Blenheim
","is"":{""model"":""last_vis"
Pizza,"$13,$24",none,Simple standard.,"349 E. 12th St., New York 10003",none,"
			What started out as a Neapolitan-style pizzeria in Brooklyn has grown into a global chain with locations in Hong Kong and Manila. Cloaked in the scent of wood-fired pies, Motorino is praised as an all-day spot that's easy on the wallet. True, it may be smaller than the newer, slightly grander Williamsburg outpost, but these pizzas leave nothing to be desired. Blackboard specials convey the product-focused sensibilities that begin with a lunchtime prix-fixe pairing a green salad of mint, beet greens, and red onion in balsamic vinaigrette with a perfectly charred and chewy pie. The foundation of each pizza is its outstanding crust spread with crushed tomatoes, gobs of melting fresh mozzarella, and perhaps a generous layering of spicy sausage slices.
				","
	Motorino
","s"":{""model"":""last_visi"
Spanish,"$25,$49",none,Good standard.,"81 Greenwich Ave., New York 10014",none,"
			Spanish for ""shack,"" rustic Barraca charms with timber ceilings and vats of sangria behind the bar. Blue chairs pop against all the wood and brick, bringing a Mediterranean feel to the intimate space. Banquettes line one side of the restaurant, suggesting cozy evenings of sharing coca de atùn (flatbread) or pan tomate. Empanadas are flaky and crusty, filled with thyme-laced beef, spring onion, allspice, and cheese. Classic croquetas are crackling outside and creamy within, resting on a dab of aïoli. But such snacks are just a prelude to the excellent paella; choose one version studded with shellfish and sweet peppers, or mix and match two or three different ""flavors."" Crusty churros finish off an evening of pure Spanish pleasure.
				","
	Barraca
",""":{""model"":""locationsA"
Contemporary,"$25,$49",none,Good standard.,"284 W. 12th St., New York 10014",none,"
			This warm and cozy café flaunts its feminine persona with more than a touch of Village cool (and some occasional aloofness). There are ample windows for people-watching, or let your eyes wander to the botany drawings along the walls and bird sculptures decorating nooks. The Cluny burger accompanied by golden fries is a sure-fire hit; it arrives topless to showcase the perfectly charred and glistening meat. Once fully dressed with your choice of Bibb lettuce, tomato, and red onion slices, it literally drips with goodness-maybe right onto those beautifully crisped fries. Come dessert, go for a simple and outrageously good plate of biscotti, served in a ""jenga"" arrangement of bittersweet chocolate and walnut or pistachio and anise flavors.
				","
	Cafe Cluny
",":{""model"":""last_visite"
Contemporary,"$50,$74",none,Simple standard.,"204 E. 13th St., New York 10003",none,"
			With an edgy design and ambitious menu that goes well beyond pizza, Bruno is an extraordinary surprise to its East Village surrounds. Inside this narrow room lined with small tables and a dining counter, the service team offers more than skater style-they consistently put each guest's comfort and enjoyment first. And the casual downtown crowd is gobbling it all up, late into the night. They take few reservations, so arrive early or be prepared to wait. You might want to skip the (very good) pizza altogether. Those in the know start with an elegant duck liver mousse that is more than worthy of the some of the best uptown kitchens. Their superb skill and creativity is clear in the seared local squid, dusted with dried chilies and sumac, then set over charred onion leaves in green chili sauce with sorrel.
				","
	Bruno Pizza
",":{""model"":""last_visite"
Eastern European,"$25,$49",none,Simple standard.,"116 Ave. C, New York 10009",none,"
			If the Eastern European intelligentsia needed somewhere to plan a revolution or maybe just talk politics, they would meet here. Walls papered with Cyrillic newspapers set a deliciously covert scene, yet overall, the effect is inviting. The menu highlights Serbian fare that is hard to find in Manhattan. That said, some specialties will seem familiar, like zeljanica, a buttery wedge of classic phyllo pie folded with chopped spinach, garlic, herbs, and feta. Unique dishes feature dried prunes stuffed with crumbly cheese, rolled in chicken liver and bacon. Also try gently dredged and fried spearing fish, piled on butcher paper with urbenes dip. Cevapi are the catchall for sausages from the same area and here they highlight finely ground pork with herbs.
				","
	Kafana
","""model"":""pois/restaura"
International,"$25,$49",none,Simple standard.,"162 Ave. A, New York 10009",none,"
			This is a perfect spot to meet friends for a drink and stay for a meal that is not only tasty but intriguing, as it strives to reflect the myriad cultures and flavors of Australian cuisine. The room feels like a cool cabin, with Edison bulbs, high ceilings, and a wall tagged in graffiti as a nod to the restaurant's namesake street in Melbourne. Asian influences underscore many dishes here, such as fragrant and pleasantly funky (if not spicy) coconut curry laksa with grilled shrimp, fried bean curd, and clear rice noodles. The roasted Australian lamb is downright outstanding, cooked to perfection and crusted with wattleseed for sweet and nutty crunch, served alongside a cucumber salad and minted yogurt on a bed of harissa.
				","
	Flinders Lane
","ois/touristAttraction"""
American,"$75,$150",none,Good standard. Our best addresses.,"16 Bank St., New York 10014",none,"
			Even a good chunk of years into its charmed existence, it's still the case that one feels very lucky to score a table at Graydon Carter's Waverly Inn-though it's not for the privilege of mixing with the A-List crowd so much as the absolutely outstanding food. Of course, the beautifully renovated 1844 townhouse plays a part too. It spent many of its interim years as a tavern, and its red leather booths, ornate fireplaces and lovely, ivy-covered atrium retain a certain sexy, speakeasy appeal. Everything on the menu is truly sublime: a silky foie gras torchon arrives with bright, juicy melon and pine nut brittle; while creamy Dover sole is delicately browned in butter, then coated in a decadent Hollandaise and served with bright green haricots verts.
				","
	The Waverly Inn
","und"":{""model"":""locatio"
Japanese,"$13,$24",none,Simple standard.,"333 Henry St., Brooklyn 11201",none,"
			The team at this demure retreat isn't constrained by a menu. Instead, diners are greeted by servers bearing blackboards that list the day's offerings. The list of obanzai (Kyoto-style tapas) are enticing and include marinated, fried chicken thigh with tartar sauce, grilled pork sausage, or roasted oysters with spicy gazpacho. The kitchen's regional dedication is also evident in its offering of Osaka's traditional hako sushi. This box-pressed preparation might be served as a layering of quality rice, shiso, kanpyo (preserved gourd), and salmon. Meanwhile, lunch is a concise affair that reveals either a bento box or platter of nigiri accompanied by a neatly stuffed futomaki. Of course, if lunch seems limited, come back for dinner when the kitchen truly shines.
				","
	Hibino
",":{""model"":""pois/restau"
Contemporary,"$25,$49",none,Simple standard.,"102 Third Ave., New York 10003",none,"
			This arrival with the straightforward but promising moniker is a rustic and textbook amalgam of wood, brick, and tiles. The kitchen consistently offers several prix-fixe menus, served family-style. These might be based on specials from the farmer's market or even inclulde a nose-to-tail meal of lamb, including merguez stew; as well as a lasagna layering shank, broccoli rabe, and goat cheese. If you're not up for a whole feast, dine à la carte on meaty, ocean-fresh oysters capped by cocktail sauce aspic; or a nouveau take on incredibly tender chicken and ""dumplings"" of liver-stuffed pan-fried gnocchi and wisps of crisped skin. End with the awesome Valrhona chocolate pudding-leaving a single dark chocolate cookie crumb behind is impossible.
				","
	Feast
",":{""model"":""pois/restau"
Mediterranean,"$50,$74",none,Good standard. Our best addresses.,"5 W. 21st St., New York 10010",none,"
			Chef Paras Shah (of Per Se, El Bulli, and Momofuku Noodle Bar) joins Pastry Chef extraordinaire, Serena Chow, to head up the kitchen at this gorgeous Gramercy charmer. The space is dramatic and cozy, with velvet booths (facing the kitchen, be still our hearts) and an exposed brick dining room with rustic wood beams and a working fireplace. The dinner menu offers up seasonal, intricately composed small plates, as well as contemporary entrées that show a touch of Asian technique laced with Mediterranean inspiration. Pristine monkfish with Bordelaise sauce is coupled with mashed turnip and roasted sunchoke; while a dessert called Maple & Milk offers a unique play on tres leches cake, sporting crunchy meringue, fennel powder and brown-butter ice cream.
				","
	Kat & Theo
","t_visited_pois"",""id"":"""
Austrian,"$25,$49",none,Simple standard.,"102 Ave. C, New York 10009",none,"
			This is as much an Austrian heuriger (wine tavern) that one can find in New York. While the menu has some modern and creative elements, the décor is comprised of wood planks and thick coils of rope for an attractively barn-like feel. That cozy and disheveled character makes you forget where you are-same goes for the superb list of German and Austrian wines. On warm days, head to the equally pleasing and tiny back patio. Most everyone knows to go for the schnitzel, served with potato salad, cucumbers, and lingonberries. Still, you won't go wrong with a host of rustic small plates like crisped Brussels sprouts tossed in pork ragout with scallions and pickled mustard seeds, or perhaps roasted beets with pickled walnuts, walnut milk, and dill.
				","
	Edi & The Wolf
","s"":{""model"":""last_visi"
Italian,"$50,$74",none,Good standard.,"26 Broadway, Brooklyn 11249",none,"
			Hot off the success of his time at Rubirosa in SoHo, Chef Al Di Meglio brings his distinctive take on the cooking of Ischia to Barano. The stylish newcomer sits at the base of a new residential development, just a stone's throw from the East River. Inside, you'll find a stylish décor featuring sepia mirrors, polished tables, and columns lined in pearly mosaic tiles. The vibrant bar, fully open kitchen, and wood-burning oven add to its appeal. Everything here is executed with great care, but the pasta and pizza are particularly noteworthy. Sensational nettle tortellini are tucked with mushrooms and bathed in a purée of mild spring garlic ramps and sweet peas; while tender bucatini are twirled with an irresistible rabbit ragù.
				","
	Barano
","und"":{""model"":""locatio"
Chinese,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","96 Third Ave., New York 10003",Simple standard.,"
			Delicious, lip-scorching Hunan fare makes its way to the East Village and everyone's just a little bit happier for it. Tucked into a narrow space with dark wood paneling, industrial lighting and large planters, Hunan Bistro offers swift, but warm and helpful, service-and an all-together welcoming dining space for exploring this intriguing cuisine. Dinner might kick off with razor-thin slices of pig ear, tossed with a confetti of green onions and glistening with smoky chili oil; or crunchy, sour pickled cabbage topped with red chilies and cilantro. Next up? Toothsome dan dan noodles beneath a thatch of ground pork with loads of chili oil, black vinegar and Sichuan pepper; or perfectly cooked, shell-on crawfish laced in a wildly good chili sauce.
				","
	Hunan Bistro
",":{""model"":""pois/restau"
Spanish,"$25,$49",none,Good standard.,"85 Tenth Ave., New York 10011",none,"
			Trendy location? Check. Sleek, warehouse-sized space? Check. Floor-to-ceiling windows filled with romantic sunsets? Check. In brief, Toro is a head-turner graced with intent service and extraordinary food. Begin with inventive (and strong) crowd-pleasing sips at the impressive bar before settling in to a comfy communal table. The music gets louder at sundown, but find yourself fixated on such deeply flavorful pinchos as sardina y mantequilla de cabra (crusty bread spread with goat butter and preserved sardines) or aged duck ham kissed with olive oil, lemon zest, and sweet, delicious fat. Links of smoky, tender chorizo set over chickpea stew is a comforting creation, while inky-dark sepia risotto en su tinta made with orzo is rich, buttery, and perfect.
				","
	Toro
","ctions"":{""model"":""pois"
Mexican,"$75,$150",none,Good standard.,"35 E. 21st St., New York 10010",none,"
			The uni tostada is reason enough to visit this sleek, ersatz-industrial space courtesy of Mexico's most celebrated chef, Enrique Olvera. Add in flattering lighting, a great bar and a seductive atmosphere and you have a restaurant in high demand-so don't be surprised if that visit of yours isn't necessarily at the hour of your choosing. One glance at the menu of sharing plates will also tell you this is no ordinary Mexican restaurant. Tender beef tongue with coffee oil, crispy octopus with hazelnut mole-the cooking is clever, innovative and, at times, surprisingly delicate. And yet, not everything works. The milk chocolate dessert with tomatoes may be a little too challenging for some tastes, but there's no doubting the kitchen's ambition and imagination.
				","
	Cosme
",":{""model"":""pois/restau"
Lebanese,"$25,$49",none,Good standard.,"24 E. 21st St., New York 10010",none,"
			Armenian influences steer the Lebanese cuisine here to a unique and rather elegant place. While this family-run operation has numerous Middle Eastern locations, this is their sole U.S. outpost. Polished service befits the upscale room, installed with vivid artwork and tables generously sized for feasting. Beginning with a selection of fresh and flavorful meze is absolutely necessary. Cold options include kabis, an assortment of spicy pickled vegetables; and moutabbal Almayass, a magenta-colored spread of mashed beets seasoned with sesame paste, lemon, and garlic. Or opt for hot, succulent, and Armenian mantee-little pockets stuffed with beef, earthenware-baked, and doused with tart yogurt. A selection of Lebanese producers headlines the wine list.
				","
	Almayass
","ctions"":{""model"":""pois"
Greek,"$50,$74",none,Good standard.,"35 W. 20th St., New York 10011",none,"
			Relaxing and stylish for grown-ups, Periyali serves the kind of straightforward Greek cooking that remains blissfully unconcerned with trends. Think grilled octopus is boring? Think again, when presented with charcoal-grilled morsels, marinated for two days in red wine and finished with olive oil and parsley sauce. Salmon may not be native to Greece, but it gets its due respect here, wrapped with herbs and baked in phyllo, served alongside stewed okra. A puréed dish of fava kremidaki showcases a terrific blend of textures, colors, and flavors that is the heart and soul of this rustic kitchen. The dining room echoes the culinary theme with a suspended wall of shimmering decorative fish, abundant flower arrangements, and a back room flooded with natural light.
				","
	Periyali
","ctions"":{""model"":""pois"
Deli,"$13,$24",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","97A Hoyt St., Brooklyn 11217",Simple standard.,"
			Boerum Hill's most bodacious deli serves up killer smoked meat and so much more. The tiny space gets lots of traffic, and those who can't find a seat along the counter or trio of communal tables can feast at home with takeout procured from the sidewalk window. Now for the food: a cured and charred brisket sandwich, stacked onto soft rye bread and smacked with mustard, is the stuff that dreams are made of. The smoked mackerel sandwich heaped with fennel slaw, avocado, and chunky tartar sauce is an eclectic take on the deli theme, which also reveals poutine and a Middle East-inspired falafel platter. Don't overlook the hand-rolled, wood-fired Montreal-style bagels from owner and Montreal native Noah Bernamoff's SoHo offshoot, Black Seed Bagel shop.
				","
	Mile End
",":{""model"":""pois/restau"
Italian,"$50,$74","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","88 Ninth Ave., New York 10011",Very good standard.,"
			Here come empire-builders Chef Mario Batali and partner Joe Bastianich to rev up the Chelsea scene even further with this revamp of the Maritime Hotel's dining room. La Sirena is anchored by a pretty lounge (with its limited menu) where the custom mosaic-tiled floor endures a nightly stampede of stilettos, as a wall of glass overlooking an expansive patio allows the sunset to glint off the gleaming bar. For proper dining, seek out the cached dining rooms where sleek leather furnishings and very fine service offer hushed comfort. Having honed his skills at Del Posto and Babbo, Chef Josh Laurano has been ordained to execute this New York-style take on Italian dining. Pastas such as creamy lasagne al pesto e patate or zesty tonnarelli neri with seafood are sure to be a highlight and best enjoyed as the bis portion, split between you and your guest. Panelle, mint, and pomegranate molasses combine for a Sicilian-inspired backdrop to succulent lamb chops. When asked if you would like bread, your answer should be enthusiastically affirmative-the freshly baked semolina loaf is fabulous. Campari-soaked babà is an untraditional but nonetheless delightful pastry nicely paired with basil gelato.
				","
	La Sirena
",":{""model"":""pois/restau"
Contemporary,"$75,$150","Our highest award is given for the superlative cooking of chefs at the peak of their profession. The ingredients are exemplary, the cooking is elevated to an art form and their dishes are often destined to become classics.","Three MICHELIN Stars : Exceptional cuisine, worth a special journey!","200 Schermerhorn St., Brooklyn 11201",Good standard. Our best addresses.,"
			Come dinnertime, this storefront attached to a gourmet grocer turns into something conceptual and remarkable. Here, Chef César Ramirez-the bespectacled authoritarian-stands center stage, surrounded by sous chefs and state-of-the-art everything. He personally welcomes every guest to his ""table"" which is actually a gleaming steel counter surrounding his kitchen, where each copper pot is watched-over and every porcelain vessel is cooled or warmed to match the temperature of the food it holds. The bar for painstaking detail seems to rise with each dish. Expect a bang of flavor to open your meal, perhaps with a tart layering briny sea trout roe. Signatures like sea urchin piled over toasted brioche with a round of Périgord truffle never lose their impact. However, what was once an endless parade of seafood bites from faraway shores has grown and refined into equally lush mini-entrées. A square of Miyagi beef is whoa-inducing. Tiny wild strawberries, yogurt ice cream, and sake gelée balance each element with wondrous intensity. The menu changes every night, but Chef Ramirez never veers from his brilliant melding of French and Japanese cuisines with modern style that keeps pleasure at the forefront.
				","
	Chef's Table at Brooklyn Fare
","d"":{""model"":""locations"
Russian,"$25,$49",none,Good standard.,"41 E. 20th St., New York 10001",none,"
			The beautiful setting matches the beautiful people at Mari Vanna, a Russian restaurant lined with Louis XV chairs, dripping crystal chandeliers and wallpapered walls filled with sepia-hued photos. A serious array of infused vodkas line one wall, and Monday ""Key"" nights after 9:00 P.M. are devoted to V.I.Ps only with special keys. There's a lot of fun to be had at a place like this, that's for sure, but the food remains as delicious as ever: witness a golden caviar platter paired with crème fraîche, finely sieved eggs, and buttery crêpes. Chicken tabaka arrives crispy-skinned and fragrant with garlic, served with tender green beans, whipped yogurt and herbs; while silky beef Stroganoff is coupled with fluffy kasha and blended with sour cream and dill.
				","
	Mari Vanna
",""":{""model"":""locationsA"
Mediterranean,"$25,$49",none,Good standard.,"250 Park Ave. South, New York 10003",none,"
			Barbounia brings the pleasures of the Mediterranean to a primo locale. The welcome is warm, the ceilings are notably high, and the floor-to-ceiling bar is considerably stocked (note the wine list and its surprisingly large selection from Greece). The dining room is crowded with tables, so go for the cozy corner banquettes overlooking the action. The rustic, satiating fare is ideal for sharing. Thick pieces of octopus are grilled to a buttery softness and served over marinated chickpeas with olives, oregano, and a slick of labneh. Order the shakshuka and a cast iron skillet arrives bursting with flavor and bubbling at the table, with a piquant paprika-spiked tomato sauce topped with baked eggs and studded with roasted peppers and merguez.
				","
	Barbounia
","s"":{""model"":""last_visi"
Spanish,"$25,$49",none,Good standard.,"53 W. 19th St., New York 10011",none,"
			Named after Barcelona's famed market, Boqueria does that vibrant emporium proud with an array of ingredient-driven tapas. Their tortilla Española is a true classic, served as a towering wedge of organic eggs, tender potatoes, and sweet onions. Kale reaches new heights as a sweet and earthy salad tossed with a rainbow of cumin-roasted carrots, toasted sunflower seeds, pomegranate arils, and a lush swipe of tangy labne. Bombas de la Barceloneta are crunchy, beef-stuffed potato croquetas plated with salsa verde and silken, garlicky aïoli. Envision high banquettes amid creamy hues, a white marble bar area filled with wooden boards of Spanish cheeses, olives in terra-cotta bowls, and crowds cooing over classic tapas like pan con tomate. Delicioso.
				","
	Boqueria
","und"":{""model"":""locatio"
Contemporary,"$75,$150","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","42 E. 20th St., New York 10003",Very good standard. Our best addresses.,"
			In a roll-call of New York's most beloved restaurants of the last couple of decades, Gramercy Tavern would be high on many people's list. It is one of those places that manage the rare trick of being so confident in its abilities that it can be all things to all people. You'll probably leave happy whether you've come on a date or are here to impress the in-laws; whether you're closing a deal or simply lubricating the thought processes behind a deal. The ""Tavern"" side is the better one for lunch, especially if there are only two of you and you can sit at the bar-it doesn't take bookings so get here early and join in the grown-up ""I'm not really queuing, I'm just standing here"" queue outside. The ""Dining Room"" is for those who like a little more pomp with their pappardelle, and really comes into its own in the evening. The cooking is the perfect match for the warm and woody surroundings: this is American food sure of its footing and unthreatening in its vocabulary. The main component, be it sea bass or pork loin, is allowed to shine and there is a refreshing lack of over-elaboration on the plate that demonstrates the confidence of the kitchen.
				","
	Gramercy Tavern
","s"":{""model"":""last_visi"
Contemporary,"$75,$150","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","187 Sackett St., Brooklyn 11231",Simple standard.,"
			The best way to describe the lovely Take Root is that it feels like an extraordinarily well-curated dinner party. The tiny restaurant is a two-woman operation: Chef Elise Kornack single-handedly runs the immaculate kitchen while her wife, Anna Hieronimus, amiably tends to the tranquil dining room. If you're lucky enough to score one of the precious few seats here, make it your mission to arrive on time. The tasting menu's procession begins promptly, so stragglers may run the risk of missing out on those first luscious bites. And that would be wrong. Once seated, you're treated to a wonderfully relaxed and delicious experience. The décor is thankfully simple but soothing, with walnut tables and minimally dressed white walls. A wonderful playlist plays overhead. Substitutions are not offered, but there's little chance you won't be happy with what's to come. Kornack weaves her culinary spell deftly, gracing blue point oysters with dots of ""oyster pudding,"" aromatic chives and puffed buckwheat; or setting turnip, toasted almond, horseradish and celery over a disc of parmesan custard. Tortellini then arrives filled with luscious cranberry bean purée and bathed in a green tomato- chili- and pork jus.
				","
	Take Root
","s"":{""model"":""last_visi"
French,"$50,$74",none,Good standard.,"32 W. 20th St., New York 10003",none,"
			Chicken takes the spotlight at Le Coq Rico, but these birds go well beyond the basic. Tucked into a gleaming interior at the base of the historic Gabay building, the restaurant offers two distinct dining areas-the main room with its stylized décor of whitewashed brick and white oak floors, as well as a glossy counter area overlooking the open kitchen. There is a list of chicken breeds to choose from including Plymouth Rock, New Hampshire and Rohan Farm Duck. The menu offers plenty to mull over-imagine eggs, soups, and salads of sautéed guinea fowl and artichokes à la Barigoule. Finally, mains like chicken fricassee sided by rice pilaf or Maine lobster served with shellfish jus are just as delightful as a dessert of vanilla raspberry Vacherin with ice cream.
				","
	Le Coq Rico
","s"":{""model"":""last_visi"
Italian,"$25,$49",none,Good standard.,"39 E. 19th St., New York 10003",none,"
			This trattoria hits all the right notes-and throws in a few novel riffs-to make it as a neighborhood favorite. The Roman cuisine has few faults, and the comfortable setting feels genuine with its parchment-lacquered walls, displayed wine storage, and framed posters of Federico Fellini's classics. Bocca is owned by the team behind Cacio e Pepe in the East Village, so you can expect delicious and dramatically presented tonnarelli cacio e pepe. However, the talented kitchen offers temptations aplenty, such as a bowl of fresh, rich-tasting spaghetti alla chitarra brilliantly dressed with cherry tomato sauce and 'nduja. Twice-cooked pork belly with braised cabbage and celery mostarda is another fine example of their hearty, regional flavors.
				","
	Bocca
",":{""model"":""pois/restau"
American,"$75,$150",none,Good standard. Our best addresses.,"43 E. 19th St., New York 10003",none,"
			It's been years since Tom Colicchio first opened Craft to great acclaim, but the easy charms of the celebrity chef-cum-TV personality's downtown institution haven't waned a bit. The room still bustles most nights of the week with stylish types who appreciate the triple threat of cozy décor, elegant fare and a crackerjack service team. As the name suggests, guests «craft» together a meal from seasonal, perfectly executed dishes featuring pristine ingredients. Dinner might kick off with a cured slice of crudo, served with shaved fennel, radish and micro greens in a Meyer lemon dressing. Don't leave without trying one of Chef Colicchio's legendary pastas, like a gorgeous tangle of capellini with lemon zest, grated cheese, ramps and Calabrian chilies.
				","
	Craft
","ctions"":{""model"":""pois"
Seafood,"$25,$49",none,Good standard.,"75 Ninth Ave., New York 10011",none,"
			Cull & Pistol is a sensational seafood spot. This breath of fresh salt-laden air is replete with reclaimed teak tables, brushed steel chairs, and a zinc-topped raw bar groaning with crimson-red crab claws, chilled lobster, shrimp cocktail, and clams from all shores. It's an impressive start tailed by a vast oyster menu and deeply comforting classics that may be slurped up at two-tops inside the cozy space. Then, a whole fish salt-baked in a hefty cask is cracked open, teasing diners with plumes of thyme- and lemon-scented steam. At lunch, the clambake is a briny, heavenly mash-up of lobster, mussels, Dickson's sausage, corn on the cob and fingerling potatoes, served family-style in a rich shellfish broth. Dessert is pure and sweet bliss.
				","
	Cull & Pistol
","{""model"":""pois/restaur"
Contemporary,"$25,$49",none,Good standard. Our best addresses.,"35 E. 18th St., New York 10014",none,"
			Jean-Georges Vongerichten's farm-to-table restaurant lets you indulge your cravings whilst playing up your eco credentials, because this is a place that takes its social responsibilities seriously and whose ethos is writ large upon the menu, with suppliers acknowledged and policies explained. They describe their extensive menu as ""locally sourced and globally artistic."" Fortunately their food is more convincing than their semantics-the glossy tuna sashimi is served at just the right temperature; a burger is pepped up with pickled jalapeños; and a toothsome panna cotta comes with delicious glazed figs. This accent on freshness finds its reflection in the pure white wholesomeness of the place and the youthful enthusiasm of the service team.
				","
	ABC Kitchen
","ctions"":{""model"":""pois"
Contemporary,"$25,$49",none,Good standard.,"15 W. 18th St., New York 10011",none,"
			At this elegant outpost Chef Jesse Schenker imbues each dish with distinct originality. The space flows from an inviting front lounge to a cozy back dining room, dressed with burlap ceiling pendants and ivory terrazzo flooring. Go for the three or four-course prix-fixe dinner to experience this clever and delightful cuisine. Creamy anchovy dressing and meaty bacon join in the chef's take on this classic reinterpretation of a wedge salad. Risotto-style beluga lentils balance intense mushroom stock with a subtle hit of jalapeños. Many dishes highlight delicious restraint, like the pan-roasted branzino with foamy and mild foie-gras veloute. Finish with the slender bar of chocolate torte with white chocolate-miso ganache and fennel ice cream.
				","
	The Gander
",":{""model"":""pois/restau"
Pizza,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","298 Atlantic Ave., Brooklyn 11201",Simple standard.,"
			Located just below street level on frenetic Atlantic Avenue, a nondescript façade holds a quiet den of serious Neapolitan pizza magic. Enter and you'll find a simple, narrow, wood-paneled room with whitewashed brick walls; a little bar showcasing a handful of wines; an enormous, two-ton clay oven (imported directly from Naples); and a little patio out back for alfresco dining. The mood is decidedly relaxed, and while there are delicious salads, antipasti, and desserts to be tried at Sottocasa, the name of the game here is undoubtedly their wickedly good pizza, served folded, bianche or rosse (with-hurrah!-a gluten-free option as well). Regulars adore the Diavola pie, which comes laced with excellent mozzarella, fresh basil, black olives, and hot sopressata.
				","
	Sottocasa
",":{""model"":""pois/restau"
International,"$25,$49",none,Good standard.,"38 E. 19th St., New York 10003",none,"
			Let your eyes wander from the Carnevale Studio bungee chairs to the Fog Linen aprons worn by the staff, and take in all the beauty and brands. It might come in handy later, as just about everything you see-from crockery to utensils-is available for sale in the surrounding floors of ABC Carpet & Home. And of course, everything is gorgeous; for many, the setting alone is worth a trip. The eclectic menu can seem hard to pin down but it is infused with South American flavors (and drinks). Start with a bright red celebration of the season in the tomato and peach gazpacho with chili and basil. Finish with a wedge of wonderfully moist almond sponge cake frosted with almond-kissed buttercream, and maybe a salted caramel cookie filled with ""impossible"" dulce de leche.
				","
	ABC Cocina
",":{""model"":""pois/restau"
Italian,"$75,$150",none,Good standard.,"107 W. 17th St., New York 10011",none,"
			There is a finely tuned harmony to dining at such classic New York restaurants as this one. The Italian menu is familiar and unpretentious, the kitchen is adept, and ingredients are superb. But, what truly sets it apart is an ability to serve exactly what you crave without seeming trite or predictable. Even the look is a perfectly conjured mix of warm neutrals with a sleek yet informal Northern Italian style and impeccably timed servers. Start with the traditional antipasto and then proceed to one of the daily specials like veal Milanese or a lavish dish of garganelli with mushrooms and black truffles. When the dessert cart rolls around, expect an array of excellent house-made sweets like pristine berries under whisked-to-order zabaglione.
				","
	da Umberto
","_visited_pois"",""id"":""z"
