answer,title,clue
SEESAWS,"New York Times, Tuesday, May 10, 2016",Vacillates
ORR,"New York Times, Tuesday, May 10, 2016",Boston Bruin great
EDDY,"New York Times, Tuesday, May 10, 2016",Turning point?
JIM,"New York Times, Tuesday, May 10, 2016",Brown or Rice
JENA,"New York Times, Tuesday, May 10, 2016","Actress Malone of ""The Hunger Games"""
SKA,"New York Times, Tuesday, May 10, 2016",Cousin of reggae
RAVED,"New York Times, Tuesday, May 24, 2016",Wrote a four-star review
AJAR,"New York Times, Tuesday, May 24, 2016",Open a smidge
UGLY,"New York Times, Tuesday, May 24, 2016","TV's ""___ Betty"""
ITINA,"New York Times, Tuesday, May 24, 2016",Singer Turner's memoir
HOLE,"New York Times, Tuesday, May 24, 2016",Doughnut feature
DOOR,"New York Times, Tuesday, May 24, 2016",It can be left 10-Across
PHONELINES,"New York Times, Tuesday, May 24, 2016","""Open"" things for a call-in show"
UNWISE,"New York Times, Tuesday, May 24, 2016",Not recommended
LIDO,"New York Times, Tuesday, May 24, 2016",Resort near Venice
SENSES,EXHIBIT A,Divines
SAG,EXHIBIT A,Lose rigidity
COAST,EXHIBIT A,Land line?
ANGLE,EXHIBIT A,Trig term
ROGERMUDD,EXHIBIT A,Substitute anchor during Walter Cronkite's tenure at CBS
STATEN,EXHIBIT A,___ Island (home of Wagner College)
CAVS,EXHIBIT A,"Cleveland team, informally"
PIVOT,"New York Times, Monday, May 23, 2016","Turn on one foot, in basketball"
BUTTOFTHEJOKE,"New York Times, Monday, May 23, 2016",One being laughed at
ELM,"New York Times, Monday, May 23, 2016","""A Nightmare on ___ Street"""
SOS,"New York Times, Monday, May 23, 2016","""Help!,"" at sea"
RAT,"New York Times, Monday, May 23, 2016",Cheese-loving pest
HEADOFTHETABLE,"New York Times, Monday, May 23, 2016",Where Mom or Dad sits at dinner
SEX,"New York Times, Monday, May 23, 2016","""___ sells"" (advertising maxim)"
TVGUEST,RISE AND FALL,"One on a talk show couch, say"
TIA,RISE AND FALL,Argentine aunt
MOIST,RISE AND FALL,Like some brownies and towelettes
EDUCES,RISE AND FALL,Brings out
YET,RISE AND FALL,Still
SANMARINO,RISE AND FALL,Country named for one of its patrons
ALKALI,RISE AND FALL,Basic material
FARMERS,"New York Times, Thursday, May 12, 2016",___ market
UMA,"New York Times, Thursday, May 12, 2016","Thurman of ""Kill Bill"""
NOE,"New York Times, Thursday, May 12, 2016",San Francisco's ___ Valley
ALIST,"New York Times, Thursday, May 12, 2016",Ones getting the red-carpet treatment
ESTIMATEDTIME,"New York Times, Thursday, May 12, 2016",Arrival or departure approximation
CINE,"New York Times, Thursday, May 12, 2016",Cannes film
DAREME,"New York Times, Monday, May 16, 2016","Comment after ""You think I'm chicken?"""
INONIT,"New York Times, Monday, May 16, 2016","Part of a prank, say"
NIK,"New York Times, Monday, May 16, 2016",Suffix with peace or neat
GAEL,"New York Times, Monday, May 16, 2016",Certain Scotsman
TABOO,"New York Times, Monday, May 16, 2016",Off-limits
INOIL,"New York Times, Monday, May 16, 2016",How foods are often fried
MEN,"New York Times, Monday, May 16, 2016",All Supreme Court justices until 1981
EWE,"New York Times, Monday, May 16, 2016",Ram's mate
TREASURED,"New York Times, Friday, May 20, 2016",Prized
RAREGAS,"New York Times, Friday, May 20, 2016",Noble at the end of a table?
OREGANO,"New York Times, Friday, May 20, 2016",Sauce seasoning
GOFORTHEJUGULAR,"New York Times, Friday, May 20, 2016",Attack viciously
EMU,"New York Times, Friday, May 20, 2016",Prey for a dingo
RASHES,"New York Times, Friday, May 20, 2016",Roseola symptoms
TREAD,"New York Times, Friday, May 20, 2016",Where the rubber meets the road
GAVE,"New York Times, Tuesday, May 17, 2016",Handed over
YSER,"New York Times, Tuesday, May 17, 2016",River to the North Sea
ESTRUS,"New York Times, Tuesday, May 17, 2016",Stage when an animal is in heat
SHO,"New York Times, Tuesday, May 17, 2016",HBO rival
OTS,STELLAR WORK,When golden goals happen in the N.H.L.
OPERACRITIC,STELLAR WORK,Arts page contributor
KURT,STELLAR WORK,Novelist Vonnegut
EMI,STELLAR WORK,Big Four record co. that broke up in 2012
ELKO,"New York Times, Monday, May 9, 2016",Nevada city
NARC,"New York Times, Monday, May 9, 2016",Pusher buster
ELIA,"New York Times, Monday, May 9, 2016","Kazan who directed ""On the Waterfront"""
SFPD,"New York Times, Monday, May 9, 2016","Law force in 1960s-'70s TV's ""Ironside"""
DEN,"New York Times, Monday, May 9, 2016",Lair
EDS,"New York Times, Monday, May 9, 2016","Paper cutters, briefly?"
ARIOT,TRAPPED MOISTURE,Running rampant
RECUR,TRAPPED MOISTURE,Come back
FISHHOOKS,TRAPPED MOISTURE,Bait holders
ANEW,TRAPPED MOISTURE,From the start
STRAWMATS,TRAPPED MOISTURE,"Tatamis, e.g."
TEVYE,TRAPPED MOISTURE,Milkman made famous by Zero Mostel
BACON,TRAPPED MOISTURE,Burger topper
REST,TRAPPED MOISTURE,Pause
MRPEANUT,"New York Times, Saturday, May 14, 2016",Shelled shill
LAWFULLY,"New York Times, Saturday, May 14, 2016",By the book
MORSELS,"New York Times, Saturday, May 14, 2016",Tidbits
MALLMAP,"New York Times, Saturday, May 14, 2016","Store locator, maybe"
ROTATE,"New York Times, Saturday, May 14, 2016",Move like a tornado
DUES,"New York Times, Saturday, May 14, 2016",Union jack?
PRIG,"New York Times, Friday, May 13, 2016",Unlikely swinger
AKC,"New York Times, Friday, May 13, 2016",Org. with a name registration
ATOM,"New York Times, Friday, May 13, 2016",Captain ___ (DC Comics superhero)
CRUDE,"New York Times, Friday, May 13, 2016","Lacking subtlety, say"
TACIT,"New York Times, Tuesday, May 10, 2016",Implied but not stated
OARS,"New York Times, Tuesday, May 10, 2016",Sculls
NBA,"New York Times, Tuesday, May 10, 2016",Magic and Wizards org.
AXE,"New York Times, Tuesday, May 24, 2016",Get rid of
WANNA,"New York Times, Tuesday, May 24, 2016","""___ bet?"""
SAYWHAT,"New York Times, Tuesday, May 24, 2016","""Huh?"""
BOO,"New York Times, Tuesday, May 24, 2016",Scare word
AVA,EXHIBIT A,"""Ex Machina"" robot"
RETRO,EXHIBIT A,Evocative of yesteryear
CREEDS,EXHIBIT A,Belief systems
ENDSON,EXHIBIT A,Finishes with
MESS,EXHIBIT A,Predicament
PLATH,EXHIBIT A,"Poet who wrote ""I took a deep breath and listened to the old brag of my heart. I am, I am, I am"""
ALLIE,EXHIBIT A,Kate's partner of old TV
AETNA,EXHIBIT A,Hartford-based Fortune 100 company
MISAPPROPRIATES,"New York Times, Saturday, May 21, 2016",Pockets
SOAR,"New York Times, Monday, May 23, 2016",Take to the skies
STOOP,"New York Times, Monday, May 23, 2016",Not walk completely upright
PAPA,"New York Times, Monday, May 23, 2016",Mama's mate
NAACP,"New York Times, Monday, May 23, 2016",Org. co-founded by W. E. B. Du Bois
PELE,RISE AND FALL,"___ Day (November 19, in Brazil)"
TAG,RISE AND FALL,"Identify, as in a Facebook photo"
ION,RISE AND FALL,It's never free of charge
YEN,RISE AND FALL,Coin issued in values of 1 to 500
GLOSSA,RISE AND FALL,"Tongue, anatomically"
CARE,"New York Times, Thursday, May 12, 2016",Heedfulness
ALANA,"New York Times, Thursday, May 12, 2016","Actress de la Garza of ""Law &amp; Order"""
ABSTRACTART,"New York Times, Thursday, May 12, 2016",Rothko's field
SNOCAT,"New York Times, Thursday, May 12, 2016",Winter trail transport
DIE,"New York Times, Thursday, May 12, 2016",One of five in Yahtzee
STOA,"New York Times, Thursday, May 12, 2016",Greek colonnade
ADELIE,"New York Times, Thursday, May 12, 2016",Penguin variety
ESS,"New York Times, Thursday, May 12, 2016",Start to skid?
TOWS,"New York Times, Thursday, May 12, 2016",Responses to some OnStar calls
KABOB,"New York Times, Monday, May 16, 2016",Meat on a skewer
AMENABLE,"New York Times, Monday, May 16, 2016",Willing to go along
LIBELED,"New York Times, Monday, May 16, 2016",Defamed in print
BEETLES,"New York Times, Monday, May 16, 2016",Small VWs
NEV,"New York Times, Monday, May 16, 2016",Home to Vegas: Abbr.
MYA,"New York Times, Monday, May 16, 2016","R&amp;B singer with the hit ""It's All About Me"""
NOTIT,"New York Times, Monday, May 16, 2016",Cry in a game of tag
HANG,"New York Times, Friday, May 20, 2016",Chill (with)
AMI,"New York Times, Friday, May 20, 2016",Renoir vis--vis Monet
TAKEON,"New York Times, Friday, May 20, 2016",Go up against
BARE,"New York Times, Friday, May 20, 2016",Lead-in to bones or knuckles
OCHRE,"New York Times, Friday, May 20, 2016",Canyon colour
THEGIRLNEXTDOOR,"New York Times, Friday, May 20, 2016","Approachable, unglamorous sort"
ROBE,"New York Times, Tuesday, May 17, 2016",Spa amenity
HAULS,"New York Times, Tuesday, May 17, 2016",Fisherman's takes
AILEY,"New York Times, Tuesday, May 17, 2016",Alvin of American dance
SRTAS,"New York Times, Tuesday, May 17, 2016",Mex. misses
SEER,"New York Times, Tuesday, May 17, 2016",Oracle
PAGES,"New York Times, Tuesday, May 17, 2016",Website parts
OPRAH,"New York Times, Tuesday, May 17, 2016",O of the magazine world
RASH,STELLAR WORK,Headlong or headstrong
TAKENPAINS,STELLAR WORK,Striven
NEEDINGHELP,STELLAR WORK,What rugged individualists seldom admit to
TINGE,STELLAR WORK,Light shade
NEET,STELLAR WORK,Classic hair removal brand
NAME,STELLAR WORK,Reputation
AVID,STELLAR WORK,Gung-ho
DERM,STELLAR WORK,Skin: Suffix
ERIS,TRAPPED MOISTURE,Dwarf planet more massive than Pluto
GARS,TRAPPED MOISTURE,Long-jawed fishes
HIED,TRAPPED MOISTURE,Rushed
MAINE,TRAPPED MOISTURE,See 56-Across
OONA,TRAPPED MOISTURE,"Chaplin of ""Game of Thrones"""
EWINGS,TRAPPED MOISTURE,"""Dallas"" family"
GETIN,"New York Times, Saturday, May 14, 2016",Pickup line?
FELL,"New York Times, Saturday, May 14, 2016",Hew
ALDA,"New York Times, Saturday, May 14, 2016","He played the U.S. president in ""Canadian Bacon,"" 1995"
DENS,"New York Times, Saturday, May 14, 2016",Fox network?
COP,"New York Times, Saturday, May 14, 2016","24-Across, for one"
MAKEMINEADOUBLE,"New York Times, Friday, May 13, 2016",Extra sauce order?
DATINGAGENCIES,"New York Times, Friday, May 13, 2016",Match.com competitors
TALKSNONSENSE,"New York Times, Friday, May 13, 2016",Jibber-jabbers
PIVEN,"New York Times, Friday, May 13, 2016","Jeremy of ""Entourage"""
AMAZE,"New York Times, Friday, May 13, 2016",Leave speechless
STUF,"New York Times, Tuesday, May 10, 2016",Double ___ Oreos
ROI,"New York Times, Tuesday, May 10, 2016",Reine's husband
NOOR,"New York Times, Tuesday, May 10, 2016",Former queen of Jordan
EARDRUMS,"New York Times, Tuesday, May 10, 2016",Catchers of some waves
ETC,"New York Times, Tuesday, May 10, 2016","And everything else, for short"
NORIEGA,"New York Times, Tuesday, May 10, 2016",Former dictator of Panama
SMELTED,"New York Times, Tuesday, May 10, 2016",Refined
OSSO,"New York Times, Tuesday, May 24, 2016",___ buco (veal dish)
LAI,"New York Times, Tuesday, May 24, 2016",China's Chou En-___
ADRAW,"New York Times, Tuesday, May 24, 2016",End in ___ (not be resolved)
STRATUM,EXHIBIT A,Layer
HAIR,EXHIBIT A,Head locks
ABLE,EXHIBIT A,Good at one's job
WOES,EXHIBIT A,Reasons to despair
THEGREENLANTERN,"New York Times, Saturday, May 21, 2016",Fictional character with a ring of power
GAVEITANOTHERGO,"New York Times, Saturday, May 21, 2016",Got back on the horse
ETERNALOPTIMIST,"New York Times, Saturday, May 21, 2016",One who's always positive
SEN,"New York Times, Saturday, May 21, 2016",Cloture voter: Abbr.
CLE,"New York Times, Saturday, May 21, 2016",2016 Republican convention site: Abbr.
MAHI,"New York Times, Monday, May 23, 2016","When doubled, a Hawaiian fish"
EVERY,"New York Times, Monday, May 23, 2016",Each and ___
SHOW,"New York Times, Monday, May 23, 2016",Place after win and place
RAD,"New York Times, Monday, May 23, 2016",Totally cool
NECKOFTHEWOODS,"New York Times, Monday, May 23, 2016",Locale
TNT,"New York Times, Monday, May 23, 2016","Building blaster, for short"
DRU,"New York Times, Monday, May 23, 2016",R&amp;B's ___ Hill
DEN,"New York Times, Monday, May 23, 2016",Cub Scout unit
EYEOFTHESTORM,"New York Times, Monday, May 23, 2016",Where it's calmest in a hurricane
NEA,RISE AND FALL,Largest labor union in the U.S.
BEGS,RISE AND FALL,Does a certain dog trick
NANOS,RISE AND FALL,Some iPods
CELESTA,RISE AND FALL,"""Dance of the Sugar Plum Fairy"" instrument"
DONIMUS,RISE AND FALL,Howard Stern rival
OHMAN,RISE AND FALL,"""Jeez!"""
OCA,RISE AND FALL,"""L'___ del Cairo"" (unfinished Mozart opera)"
EASEL,"New York Times, Thursday, May 12, 2016",Stand
ADVERSE,"New York Times, Thursday, May 12, 2016",Opposed
DECREPIT,"New York Times, Thursday, May 12, 2016",In bad shape
LATTE,"New York Times, Monday, May 16, 2016",Foamy coffee order
ELSAS,"New York Times, Monday, May 16, 2016","""___ Dream"" (63-Across from ""Lohengrin"")"
NEN,"New York Times, Monday, May 16, 2016",Former All-Star closer Robb
ANTIC,"New York Times, Monday, May 16, 2016",Shenanigan
PEARL,"New York Times, Monday, May 16, 2016",Gem whose authenticity can be checked by rubbing it against the teeth
ORK,"New York Times, Monday, May 16, 2016","Mork's birthplace, on TV"
COTERIE,"New York Times, Friday, May 20, 2016","Algonquin Round Table, e.g."
HOTSEAT,"New York Times, Friday, May 20, 2016",Pressure cooker
MADOFF,"New York Times, Friday, May 20, 2016",Big name in financial fraud
BINGO,"New York Times, Friday, May 20, 2016","""Correct!"""
BOOMBOX,"New York Times, Friday, May 20, 2016",Music player for a break dancer
FTC,"New York Times, Friday, May 20, 2016",Org. with scam alerts
AUF,"New York Times, Friday, May 20, 2016","""Ariadne ___ Naxos"""
PARTY,"New York Times, Tuesday, May 17, 2016",Part of G.O.P.
BAHS,"New York Times, Tuesday, May 17, 2016",Dismissive cries
LBO,"New York Times, Tuesday, May 17, 2016",Wall St. debt deal
ESTE,"New York Times, Tuesday, May 17, 2016",Villa d'___
SERENA,"New York Times, Tuesday, May 17, 2016",A Williams sister
STPETER,"New York Times, Tuesday, May 17, 2016",Heavenly gatekeeper
MADEHAY,"New York Times, Tuesday, May 17, 2016",Seized the opportunity
EDWARD,"New York Times, Tuesday, May 17, 2016",One of eight English kings
MORON,STELLAR WORK,Numbskull
ETD,STELLAR WORK,Posting at JFK or DFW
RAJAS,STELLAR WORK,Eastern royals
ONUS,STELLAR WORK,Heavy load
SELAH,STELLAR WORK,Pause word in Psalms
MONTE,STELLAR WORK,Scam with three cards
GAMETIME,STELLAR WORK,Information on a sports ticket
ICING,TRAPPED MOISTURE,Sugar coating?
KROFT,TRAPPED MOISTURE,"Longtime ""60 Minutes"" reporter"
AERIE,TRAPPED MOISTURE,High retreat
JANIE,"New York Times, Friday, May 13, 2016",Girl with a gun in an Aerosmith hit
AGENDA,"New York Times, Friday, May 13, 2016",What a chair covers
MISE,"New York Times, Friday, May 13, 2016",___ en scne
ANS,"New York Times, Friday, May 13, 2016",Puzzle hunt?: Abbr.
BEA,"New York Times, Friday, May 13, 2016","""___ dear ..."""
SAMARIA,"New York Times, Tuesday, May 10, 2016",Biblical city of Palestine
ELAPSED,"New York Times, Tuesday, May 10, 2016","Passed, as time"
SEN,"New York Times, Tuesday, May 10, 2016",Jack Reed or Harry Reid: Abbr.
SPEEDS,"New York Times, Tuesday, May 10, 2016",Barrels along
WEAR,"New York Times, Tuesday, May 10, 2016",Have on
MIGHTY,"New York Times, Tuesday, May 10, 2016",Powerful
BOCCE,"New York Times, Tuesday, May 10, 2016",Lawn game
SHOULDERS,"New York Times, Tuesday, May 24, 2016",Places for shawls
RIMS,"New York Times, Tuesday, May 24, 2016",Canyon vantage points
BOGUS,"New York Times, Tuesday, May 24, 2016",Phony
EZEK,"New York Times, Tuesday, May 24, 2016",O.T. book before Daniel
RESOURCES,"New York Times, Tuesday, May 24, 2016",Coal and natural gas
SNIDE,"New York Times, Tuesday, May 24, 2016",Like bratty comments
NNE,"New York Times, Tuesday, May 24, 2016",Reverse of SSW
LOST,EXHIBIT A,In need of a steer
RESIZE,EXHIBIT A,Shrink or enlarge
AIMAT,EXHIBIT A,Target
GREAT,EXHIBIT A,Highly regarded
HER,BEST PICTURE ADAPTATIONS,2013 Best Picture nominee in which a main character isn't human
ASP,"New York Times, Saturday, May 21, 2016",Cause of a certain dramatic departure
TMI,"New York Times, Saturday, May 21, 2016","""You could've left some of that out"""
RANI,"New York Times, Saturday, May 21, 2016",Eastern sovereign
OTIS,"New York Times, Saturday, May 21, 2016","Mr. ___, protagonist in Wilde's ""The Canterville Ghost"""
IMHIP,"New York Times, Saturday, May 21, 2016","""Gotcha,"" in old lingo"
ROLF,"New York Times, Saturday, May 21, 2016",Massage deeply
PEDAL,"New York Times, Monday, May 23, 2016",Part of a bicycle or loom
FOUR,"New York Times, Monday, May 23, 2016","An hour before office closing time, maybe"
OREO,"New York Times, Monday, May 23, 2016",Cookie in cookies-and-cream ice cream
HALLE,"New York Times, Monday, May 23, 2016",Actress Berry
EDGE,"New York Times, Monday, May 23, 2016",Brink
USSR,"New York Times, Monday, May 23, 2016","Space race competitor, for short"
DRYER,"New York Times, Monday, May 23, 2016",Clothesline alternative
TOED,"New York Times, Monday, May 23, 2016","Word that follows steel, open or pigeon"
TRI,RISE AND FALL,Prefix with lingual
RAPTLY,RISE AND FALL,With full attention
SLIME,RISE AND FALL,Gooey stuff
MOUNTAINHIGHVALLEYLOW,RISE AND FALL,"Classic song with the repeated line ""If you need me, I will be nearby"" ... shown symbolically in this puzzle"
ENDOR,RISE AND FALL,Ewoks' home in sci-fi
OSWEGO,RISE AND FALL,Upstate SUNY campus site
MARES,"New York Times, Thursday, May 12, 2016",Colt carriers
ALERTS,"New York Times, Thursday, May 12, 2016",Messages often with exclamation points
NSW,"New York Times, Thursday, May 12, 2016",Neighbor of Victoria: Abbr.
OLORD,"New York Times, Monday, May 16, 2016",Prayer starter
DONATION,"New York Times, Monday, May 16, 2016",Gift to a nonprofit
BTU,"New York Times, Monday, May 16, 2016","A/C measure, for short"
SPAMMED,"New York Times, Monday, May 16, 2016","Sent millions of emails, say"
PALEALE,"New York Times, Monday, May 16, 2016",Brew with a rhyming name
AMO,"New York Times, Monday, May 16, 2016","___, amas, amat"
IMSAFE,"New York Times, Friday, May 20, 2016",Comforting words to a worried loved one
TITIS,"New York Times, Friday, May 20, 2016",South American monkeys
GUM,"New York Times, Friday, May 20, 2016",Impulse buy at a checkout counter
MAH,"New York Times, Tuesday, May 17, 2016",___-jongg
STORE,"New York Times, Tuesday, May 17, 2016",Mall tenant
PEONS,"New York Times, Tuesday, May 17, 2016",Drudges
BEDS,"New York Times, Tuesday, May 17, 2016",Hospital capacity
OVEN,"New York Times, Tuesday, May 17, 2016",Kiln
NITE,"New York Times, Tuesday, May 17, 2016","Dark time, in ads"
IGOR,"New York Times, Tuesday, May 17, 2016",Prince of opera
OUTSTEP,STELLAR WORK,Exceed
MODISH,STELLAR WORK,Fashionable
ADESTE,STELLAR WORK,Latin carol word
HESTER,STELLAR WORK,"Prynne of ""The Scarlet Letter"""
SLASH,STELLAR WORK,Question mark's key-mate
MCG,STELLAR WORK,"""Charlie's Angels"" director, 2000"
TIEUP,STELLAR WORK,Keep occupied
ODAY,TRAPPED MOISTURE,See 112-Across
WITHHONORS,TRAPPED MOISTURE,How excellent students graduate
ODWALLA,"New York Times, Friday, May 13, 2016",Big name in energy bars and smoothies
TRIBAL,"New York Times, Friday, May 13, 2016",Like some councils
TALLY,"New York Times, Friday, May 13, 2016",It may be running
OGLES,"New York Times, Friday, May 13, 2016",Checks out
MOI,"New York Times, Friday, May 13, 2016","""J'accuse!"" reply"
SNAREDRUM,"New York Times, Friday, May 13, 2016",Punch line instrument
SMARTCAR,"New York Times, Friday, May 13, 2016",Little something for the road?
STEVENS,"New York Times, Friday, May 13, 2016",Piano-playing Cat
MILO,"New York Times, Tuesday, May 10, 2016","Minderbinder of ""Catch-22"""
ONES,"New York Times, Tuesday, May 10, 2016",Cash register compartment
PAW,"New York Times, Tuesday, May 10, 2016",Manhandle
FEN,"New York Times, Tuesday, May 10, 2016",Swamp
ANO,"New York Times, Tuesday, May 10, 2016",Enero begins it
ETTU,"New York Times, Tuesday, May 24, 2016",Rebuke to a traitor
ODD,"New York Times, Tuesday, May 24, 2016",Unusual
SIZETWO,"New York Times, Tuesday, May 24, 2016",Petite dress specification
SOPUP,"New York Times, Tuesday, May 24, 2016","Absorb, as gravy"
UNE,"New York Times, Tuesday, May 24, 2016","""Il tait ___ fois"" (""Once upon a time"": Fr.)"
SKATE,EXHIBIT A,Glide effortlessly
STATUTE,EXHIBIT A,Act
PHEW,EXHIBIT A,"""That was sure close!"""
DONATES,EXHIBIT A,Contributes to a GoFundMe campaign
ORATOR,EXHIBIT A,Stumper?
RAMEN,EXHIBIT A,Food sometimes sold with a flavor packet
AYES,EXHIBIT A,Those in favor
CUB,EXHIBIT A,Predator-to-be
CABIN,BEST PICTURE ADAPTATIONS,Airplane part
EDNA,BEST PICTURE ADAPTATIONS,"""Hairspray"" mom usually played by a man"
QUADS,BEST PICTURE ADAPTATIONS,Leg presses work them
ORA,BEST PICTURE ADAPTATIONS,60 minuti
ALEROS,BEST PICTURE ADAPTATIONS,Successors to Cutlasses
BEERHUNTER,BEST PICTURE ADAPTATIONS,"Best Picture adaptation about ... a search for the perfect brew, with ""The""?"
LIV,BEST PICTURE ADAPTATIONS,"Disney Channel's ""___ and Maddie"""
SILENCEOFTHEIAMBS,BEST PICTURE ADAPTATIONS,"... inaudible metrical poetry, with ""The""?"
ACELA,BEST PICTURE ADAPTATIONS,Northeast Corridor train
UMA,"New York Times, Saturday, May 21, 2016","She battled Lucy in ""Kill Bill: Volume 1"""
MEDAL,"New York Times, Saturday, May 21, 2016",Finish better than fourth
JED,"New York Times, Saturday, May 21, 2016","Presidential moniker on ""The West Wing"""
ODSON,"New York Times, Saturday, May 21, 2016",Stuffs one's face with
DNA,"New York Times, Saturday, May 21, 2016",It has base pairs
EDEN,"New York Times, Saturday, May 21, 2016",Sistine Chapel setting
ROTE,"New York Times, Monday, May 23, 2016",Boring way to learn
HERB,"New York Times, Monday, May 23, 2016","Oregano, for one"
ALOU,"New York Times, Monday, May 23, 2016",Baseball's Felipe
RUE,RISE AND FALL,Regret
NUT,RISE AND FALL,"Filbert, for one"
ROSIE,RISE AND FALL,Woman's floral nickname
STYRENE,RISE AND FALL,Common plastic base
MEOWERS,RISE AND FALL,Vocal cats
SAMOA,RISE AND FALL,Part of Polynesia
DEAL,RISE AND FALL,It's least palatable when raw
SIMON,"New York Times, Thursday, May 12, 2016","""America's Got Talent"" panelist"
ORANGE,"New York Times, Thursday, May 12, 2016",Buddhist monks wear it
DIRT,"New York Times, Thursday, May 12, 2016",TMZ fodder
BOOSTS,"New York Times, Monday, May 16, 2016",Raises
APPEAL,"New York Times, Monday, May 16, 2016",Take to a higher court
NESTLE,"New York Times, Monday, May 16, 2016",Snuggle
ROANS,"New York Times, Monday, May 16, 2016",Speckled horses
ORRIN,"New York Times, Monday, May 16, 2016",Utah's Sen. Hatch
UFO,"New York Times, Friday, May 20, 2016","""The Day the Earth Stood Still"" craft"
ASPECTS,"New York Times, Friday, May 20, 2016",Parts
RENE,"New York Times, Tuesday, May 17, 2016",Actor Auberjonois
VANS,"New York Times, Tuesday, May 17, 2016",Some shuttles
EDAM,"New York Times, Tuesday, May 17, 2016",Dutch export
NET,"New York Times, Tuesday, May 17, 2016",Part of a soccer goal
VERSE,STELLAR WORK,"One of 1,288 in the book of Numbers"
HEMP,STELLAR WORK,Biodiesel fuel source
AGRO,STELLAR WORK,Prefix with ecology or chemical
LOMA,STELLAR WORK,"___ Linda, Calif."
ACEY,STELLAR WORK,___-deucy
SRS,STELLAR WORK,Some 112-Down retakers: Abbr.
COS,STELLAR WORK,"Tan neighbor, on calculators"
ACT,STELLAR WORK,Exam with a Science Reasoning section
RUE,STELLAR WORK,Wish undone
LIE,TRAPPED MOISTURE,Be prone
ESC,TRAPPED MOISTURE,Mac key
RANCHHOUSE,TRAPPED MOISTURE,Home on the range
DOGES,TRAPPED MOISTURE,Venetian dignitaries of old
TABOO,TRAPPED MOISTURE,Proscribed
OLIO,TRAPPED MOISTURE,"Some of this, some of that"
SOLED,TRAPPED MOISTURE,"Like clogs, say"
INTRO,TRAPPED MOISTURE,Prelude
DOREN,TRAPPED MOISTURE,Poet Mark Van ___
SPRAT,"New York Times, Friday, May 13, 2016",Sardine relative
PAIL,"New York Times, Friday, May 13, 2016",Beach mold
PANS,"New York Times, Friday, May 13, 2016",Slams
HEH,"New York Times, Friday, May 13, 2016",Snarky syllable
SEAGRAM,"New York Times, Friday, May 13, 2016",Distillery eponym Joseph
ISPY,"New York Times, Tuesday, May 24, 2016",Kids' guessing game
SEPIAS,"New York Times, Tuesday, May 24, 2016",Some vintage photos
MAPLETREES,"New York Times, Tuesday, May 24, 2016",Syrup comes from them
RNA,EXHIBIT A,Codon carrier
RALPH,EXHIBIT A,"""Lord of the Flies"" protagonist"
ALE,EXHIBIT A,Hoppy drink
TIA,EXHIBIT A,Actress Carrere
SORBO,EXHIBIT A,Kevin who played Hercules on TV
ROTATE,EXHIBIT A,Exchange cyclically
CLAY,EXHIBIT A,"Body, metaphorically"
KOCH,EXHIBIT A,"Author of the 1984 memoir ""Mayor"""
MARX,"New York Times, Monday, May 30, 2016",Funny Groucho or Harpo
CORNY,BEST PICTURE ADAPTATIONS,Like groaners
AIT,BEST PICTURE ADAPTATIONS,River islet
REBA,BEST PICTURE ADAPTATIONS,1988 chart-topping country album
POOL,BEST PICTURE ADAPTATIONS,Game for bankers?
TRIPPY,BEST PICTURE ADAPTATIONS,Psychedelic
THEVASTEMPEROR,BEST PICTURE ADAPTATIONS,... a fat Eastern monarch?
STARER,BEST PICTURE ADAPTATIONS,One in a no-blinking contest
REVISION,BEST PICTURE ADAPTATIONS,Second draft
ABUT,BEST PICTURE ADAPTATIONS,Neighbor
ROCKS,"New York Times, Saturday, May 21, 2016",Totally rules
BUYS,"New York Times, Saturday, May 21, 2016",Accepts as true
ETAT,"New York Times, Saturday, May 21, 2016",L'___ de droit (the rule of law)
CIA,"New York Times, Saturday, May 21, 2016","Stan's employer on ""American Dad!"""
LAS,"New York Times, Saturday, May 21, 2016","""I forget the words"" sounds"
ILE,"New York Times, Saturday, May 21, 2016","Amsterdam of l'Ocan Indien, e.g."
LAI,"New York Times, Saturday, May 21, 2016",Old French narrative poem
HADAHEARTOFGOLD,"New York Times, Saturday, May 21, 2016",Was kind and generous
SMUT,"New York Times, Monday, May 23, 2016",Filth
HOTTEA,"New York Times, Monday, May 23, 2016",Good drink for a sore throat
HALFMOON,"New York Times, Monday, May 23, 2016",First or last quarter in the lunar cycle
DNA,RISE AND FALL,"Little, twisted part of us all?"
GAMETE,RISE AND FALL,"Egg, for one"
TNN,RISE AND FALL,Bygone cable inits.
GIN,RISE AND FALL,Main ingredient in a Tom Collins
WIM,RISE AND FALL,"Wenders who directed ""Buena Vista Social Club"""
ANAS,RISE AND FALL,Santa ___ (some winds)
ASA,"New York Times, Thursday, May 12, 2016",Cool-cucumber center?
DAHLIA,"New York Times, Thursday, May 12, 2016",Mexican bloom
EGOISM,"New York Times, Thursday, May 12, 2016",Self-interest doctrine
GENOME,"New York Times, Thursday, May 12, 2016",Subject of a modern map
ITSWAR,"New York Times, Thursday, May 12, 2016","""Dem's fightin' words!"""
CHEAT,"New York Times, Monday, May 16, 2016",Have an affair
KEA,"New York Times, Monday, May 16, 2016",Mauna ___ (Hawaiian peak)
ALMA,"New York Times, Monday, May 16, 2016",___ mater
